time,rnti,frame,slot,lcid,data_size,tx_list_occupancy
20:24:07.972573,35953,908,15,1,0,0
20:24:07.972575,35953,908,15,4,3,0
20:24:08.026910,35953,913,16,1,0,0
20:24:08.026912,35953,913,16,4,3,0
20:24:08.178972,35953,919,5,1,0,0
20:24:08.178974,35953,919,5,4,3,0
20:24:08.237223,7659,924,15,1,0,0
20:24:08.237225,7659,924,15,4,3,0
20:24:08.316483,7659,932,5,1,0,0
20:24:08.316485,7659,932,5,4,3,0
20:24:08.369691,35953,937,5,1,0,0
20:24:08.369693,35953,937,5,4,3,0
20:24:08.427907,7659,942,14,1,0,0
20:24:08.427909,7659,942,14,4,3,0
20:24:08.454956,7659,945,4,1,0,0
20:24:08.454958,7659,945,4,4,3,0
20:24:08.481150,7659,947,14,1,0,0
20:24:08.481152,7659,947,14,4,3,0
20:24:08.481671,35953,947,15,1,0,0
20:24:08.481672,35953,947,15,4,3,0
20:24:08.507563,7659,950,4,1,0,0
20:24:08.507565,7659,950,4,4,3,0
20:24:08.508118,35953,950,5,1,0,0
20:24:08.508119,35953,950,5,4,3,0
20:24:08.534498,7659,952,15,1,0,0
20:24:08.534500,7659,952,15,4,3,0
20:24:08.619490,35953,960,14,1,0,0
20:24:08.619492,35953,960,14,4,3,0
20:24:08.642340,7659,962,16,1,0,0
20:24:08.642342,7659,962,16,4,3,0
20:24:08.646516,35953,963,4,1,0,0
20:24:08.646517,35953,963,4,4,3,0
20:24:08.667733,7659,965,4,1,0,0
20:24:08.667734,7659,965,4,4,3,0
20:24:08.753602,35953,973,5,1,0,0
20:24:08.753604,35953,973,5,4,3,0
20:24:08.774588,7659,975,5,1,0,0
20:24:08.774590,7659,975,5,4,3,0
20:24:08.779940,35953,975,15,1,0,0
20:24:08.779942,35953,975,15,4,3,0
20:24:08.800948,7659,977,15,1,0,0
20:24:08.800949,7659,977,15,4,3,0
20:24:08.887359,35953,985,16,1,0,0
20:24:08.887360,35953,985,16,4,3,0
20:24:08.912608,35953,988,4,1,0,0
20:24:08.912610,35953,988,4,4,3,0
20:24:08.913155,7659,988,5,1,0,0
20:24:08.913155,7659,988,5,4,3,0
20:24:08.940510,35953,990,15,1,0,0
20:24:08.940511,35953,990,15,4,3,0
20:24:09.026310,7659,998,14,1,0,0
20:24:09.026312,7659,998,14,4,3,0
20:24:09.048881,35953,1000,16,1,0,0
20:24:09.048883,35953,1000,16,4,3,0
20:24:09.166522,35953,1003,4,1,0,0
