time,rnti,frame,slot,snrx10,tpc,rssi
20:24:01.771731,35953,379,7,100,1,937
20:24:01.830604,7659,384,7,100,1,937
20:24:06.550403,7659,784,7,100,1,937
20:24:09.630437,35953,21,7,100,1,937
20:24:09.705438,7659,28,7,100,1,937
20:24:09.780166,7659,35,7,100,1,937
20:24:09.982646,35953,54,7,100,1,937
20:24:10.109870,7659,61,7,100,1,937
20:24:10.171315,35953,62,17,100,1,929
20:24:10.536463,35953,95,7,100,1,944
20:24:10.615542,35953,102,7,100,1,937
20:24:10.841071,7659,122,7,100,1,937
20:24:11.010967,35953,137,7,100,1,929
20:24:11.735506,35953,191,17,100,1,937
20:24:12.068824,7659,220,17,100,1,937
20:24:12.147747,7659,227,17,100,1,937
20:24:12.422648,35953,251,17,100,1,937
20:24:12.568900,35953,264,7,100,1,937
20:24:12.782381,35953,282,17,100,1,937
20:24:13.138818,35953,312,7,100,1,937
20:24:13.200738,7659,317,7,100,1,937
20:24:13.883239,7659,373,7,100,1,937
20:24:14.114581,7659,390,7,100,1,937
20:24:14.373080,7659,410,7,100,1,937
20:24:14.806778,7659,449,17,100,1,937
20:24:14.912969,7659,460,7,100,1,937
20:24:15.115274,35953,479,17,100,1,937
20:24:15.225405,35953,489,7,100,1,937
20:24:15.481732,7659,511,7,100,1,937
20:24:15.522067,7659,514,17,100,1,937
20:24:15.819462,7659,540,7,100,1,937
20:24:16.259693,7659,577,17,100,1,937
20:24:16.351357,7659,585,17,100,1,937
20:24:16.650422,35953,609,7,100,1,944
20:24:16.702317,7659,613,17,100,1,937
20:24:16.748333,35953,617,17,100,1,937
20:24:16.917834,35953,632,7,100,1,937
20:24:17.565344,7659,684,17,100,1,937
20:24:17.700614,7659,696,7,100,1,937
20:24:18.273948,7659,745,7,100,1,937
20:24:19.273784,35953,824,7,100,1,944
20:24:19.688757,35953,852,7,100,1,937
20:24:20.169070,35953,894,7,100,1,937
20:24:20.265458,35953,902,17,100,1,929
20:24:20.561274,7659,927,7,100,1,937
20:24:21.311747,35953,989,17,100,1,937
20:24:21.368404,7659,994,7,100,1,937
20:24:22.330550,7659,54,7,100,1,937
20:24:22.364345,7659,57,7,100,1,937
20:24:22.416590,7659,61,17,100,1,937
20:24:22.520319,7659,69,17,100,1,937
20:24:22.628360,35953,76,7,100,1,937
20:24:22.686541,7659,81,7,100,1,929
20:24:23.308406,7659,134,17,100,1,937
20:24:23.413448,35953,143,17,100,1,937
20:24:24.317922,7659,215,17,100,1,929
20:24:24.529824,35953,233,7,100,1,937
20:24:24.727543,35953,241,17,100,1,937
20:24:24.766979,35953,244,17,100,1,944
20:24:25.076856,7659,271,17,100,1,937
20:24:25.772170,7659,331,17,100,1,929
20:24:26.282892,7659,377,7,100,1,937
20:24:26.799370,35953,415,7,100,1,937
20:24:26.957185,7659,428,7,100,1,937
20:24:27.126715,35953,442,7,100,1,937
20:24:27.436730,7659,467,17,100,1,929
20:24:27.567815,35953,478,17,100,1,937
20:24:27.895985,35953,501,7,100,1,929
20:24:28.375348,7659,539,17,100,1,937
20:24:28.939100,35953,585,7,100,1,937
20:24:29.120864,7659,598,17,100,1,937
20:24:29.139300,7659,600,7,100,1,937
20:24:29.224446,35953,607,7,100,1,937
20:24:30.669920,7659,720,7,100,1,937
20:24:31.833544,7659,814,17,100,1,937
20:24:32.193280,7659,844,7,100,1,937
20:24:32.399013,7659,862,7,100,1,937
20:24:33.128655,7659,917,17,100,1,937
20:24:33.694353,35953,965,17,100,1,929
20:24:33.883641,35953,981,7,100,1,937
20:24:34.565670,35953,12,17,100,1,937
20:24:34.583916,7659,14,7,100,1,937
20:24:35.164819,35953,59,17,100,1,937
20:24:35.591128,35953,92,17,100,1,937
20:24:35.633986,35953,96,7,100,1,937
20:24:35.810151,35953,110,17,100,1,937
20:24:36.504522,7659,159,17,100,1,937
20:24:36.745542,35953,179,7,100,1,937
20:24:37.952862,7659,268,17,100,1,937
20:24:39.189591,35953,361,17,100,1,937
20:24:39.710993,35953,403,17,100,1,929
20:24:40.137027,35953,436,7,100,1,937
20:24:41.166419,7659,517,17,100,1,929
20:24:42.034374,35953,587,7,100,1,937
20:24:42.788234,7659,645,7,100,1,937
20:24:42.965145,7659,659,17,100,1,937
20:24:43.002962,7659,662,17,100,1,937
20:24:43.295848,35953,686,17,100,1,937
20:24:43.890120,7659,731,7,100,1,937
20:24:44.035264,35953,743,7,100,1,929
20:24:44.833872,35953,808,7,100,1,937
20:24:44.982139,35953,819,7,100,1,937
20:24:45.258090,35953,842,7,100,1,937
20:24:45.476693,7659,860,7,100,1,937
20:24:45.611145,35953,871,7,100,1,937
20:24:45.844920,35953,890,7,100,1,929
20:24:46.074468,7659,908,7,100,1,937
20:24:46.127551,7659,913,7,100,1,937
20:24:46.204286,35953,920,7,100,1,937
20:24:46.209442,35953,920,17,100,1,929
20:24:46.220044,35953,921,17,110,1,937
20:24:46.310989,35953,930,7,100,1,937
20:24:46.757739,7659,963,17,100,1,937
20:24:47.395513,35953,1022,17,100,1,937
20:24:47.783162,35953,30,7,100,1,937
20:24:47.891988,7659,40,7,100,1,937
20:24:47.960984,35953,46,17,100,1,937
20:24:48.140324,35953,62,7,100,1,937
