time,mono_sec,mono_nsec,rnti,frame,slot,sdu_bytes
20:23:57.343689,892482,407234109,35953,2,8,101
20:23:57.412270,892482,475815293,7659,8,8,92
20:23:57.460665,892482,524210494,35953,12,8,101
20:23:57.529699,892482,593244178,7659,18,8,101
20:23:57.575146,892482,638691288,35953,22,8,101
20:23:57.644662,892482,708206975,7659,28,8,101
20:23:57.691646,892482,755190947,35953,32,8,92
20:23:57.762159,892482,825704619,7659,38,8,101
20:23:57.808833,892482,872378187,35953,42,8,101
20:23:57.878873,892482,942417913,7659,48,8,92
20:23:57.924516,892482,988061789,35953,52,8,101
20:23:57.993681,892483,57226230,7659,58,8,101
20:23:58.040370,892483,103915502,35953,62,8,101
20:23:58.109697,892483,173242145,7659,68,8,101
20:23:58.155279,892483,218824339,35953,72,8,92
20:23:58.226035,892483,289579956,7659,78,8,101
20:23:58.272887,892483,336432411,35953,82,8,101
20:23:58.340379,892483,403923989,7659,88,8,92
20:23:58.385699,892483,449244731,35953,92,8,101
20:23:58.453443,892483,516988722,7659,98,8,101
20:23:58.499160,892483,562704948,35953,102,8,101
20:23:58.568053,892483,631598200,7659,108,8,101
20:23:58.613656,892483,677200996,35953,112,8,92
20:23:58.724660,892483,788205731,7659,118,8,101
20:23:58.780460,892483,844004938,35953,122,8,101
20:23:58.845069,892483,908614222,7659,128,8,92
20:23:58.890151,892483,953696457,35953,132,8,101
20:23:58.959043,892484,22588186,7659,138,8,101
20:23:59.005117,892484,68662672,35953,142,8,101
20:23:59.074552,892484,138097473,7659,148,8,101
20:23:59.119866,892484,183411251,35953,152,8,92
20:23:59.187994,892484,251538729,7659,158,8,101
20:23:59.233552,892484,297097329,35953,162,8,101
20:23:59.303763,892484,367308641,7659,168,8,92
20:23:59.350314,892484,413859157,35953,172,8,101
20:23:59.418411,892484,481955999,7659,178,8,101
20:23:59.463954,892484,527499814,35953,182,8,101
20:23:59.532356,892484,595900991,7659,188,8,101
20:23:59.578436,892484,641980911,35953,192,8,92
20:23:59.646710,892484,710254916,7659,198,8,101
20:23:59.691723,892484,755267985,35953,202,8,101
20:23:59.759760,892484,823304923,7659,208,8,92
20:23:59.805020,892484,868565778,35953,212,8,101
20:23:59.873312,892484,936856879,7659,218,8,101
20:23:59.918494,892484,982039348,35953,222,8,101
20:24:00.011881,892485,75426109,7659,228,8,101
20:24:00.057034,892485,120579441,35953,232,8,92
20:24:00.125961,892485,189506702,7659,238,8,101
20:24:00.171271,892485,234815925,35953,242,8,101
20:24:00.239751,892485,303296397,7659,248,8,92
20:24:00.284623,892485,348168606,35953,252,8,101
20:24:00.352568,892485,416113086,7659,258,8,101
20:24:00.397935,892485,461479908,35953,262,8,101
20:24:00.465454,892485,528999771,7659,268,8,101
20:24:00.511540,892485,575085185,35953,272,8,92
20:24:00.580019,892485,643564047,7659,278,8,101
20:24:00.625682,892485,689227402,35953,282,8,101
20:24:00.694523,892485,758068742,7659,288,8,92
20:24:00.740417,892485,803962303,35953,292,8,101
20:24:00.809730,892485,873274849,7659,298,8,101
20:24:00.855724,892485,919269109,35953,302,8,101
