time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
20:23:57.343687,2,8,35953,5,0,2,8,808
20:23:57.412236,8,8,7659,5,0,2,8,736
20:23:57.460665,12,8,35953,5,0,2,8,808
20:23:57.529697,18,8,7659,5,0,2,8,808
20:23:57.575145,22,8,35953,5,0,2,8,808
20:23:57.644660,28,8,7659,5,0,2,8,808
20:23:57.691609,32,8,35953,5,0,2,8,736
20:23:57.762158,38,8,7659,5,0,2,8,808
20:23:57.808832,42,8,35953,5,0,2,8,808
20:23:57.878835,48,8,7659,5,0,2,8,736
20:23:57.924516,52,8,35953,5,0,2,8,808
20:23:57.993680,58,8,7659,5,0,2,8,808
20:23:58.040369,62,8,35953,5,0,2,8,808
20:23:58.109696,68,8,7659,5,0,2,8,808
20:23:58.155243,72,8,35953,5,0,2,8,736
20:23:58.226033,78,8,7659,5,0,2,8,808
20:23:58.272886,82,8,35953,5,0,2,8,808
20:23:58.340344,88,8,7659,5,0,2,8,736
20:23:58.385698,92,8,35953,5,0,2,8,808
20:23:58.453442,98,8,7659,5,0,2,8,808
20:23:58.499158,102,8,35953,5,0,2,8,808
20:23:58.568051,108,8,7659,5,0,2,8,808
20:23:58.613618,112,8,35953,5,0,2,8,736
20:23:58.724658,118,8,7659,5,0,2,8,808
20:23:58.780454,122,8,35953,5,0,2,8,808
20:23:58.845032,128,8,7659,5,0,2,8,736
20:23:58.890150,132,8,35953,5,0,2,8,808
20:23:58.959042,138,8,7659,5,0,2,8,808
20:23:59.005116,142,8,35953,5,0,2,8,808
20:23:59.074551,148,8,7659,5,0,2,8,808
20:23:59.119829,152,8,35953,5,0,2,8,736
20:23:59.187992,158,8,7659,5,0,2,8,808
20:23:59.233551,162,8,35953,5,0,2,8,808
20:23:59.303726,168,8,7659,5,0,2,8,736
20:23:59.350313,172,8,35953,5,0,2,8,808
20:23:59.418409,178,8,7659,5,0,2,8,808
20:23:59.463953,182,8,35953,5,0,2,8,808
20:23:59.532354,188,8,7659,5,0,2,8,808
20:23:59.578399,192,8,35953,5,0,2,8,736
20:23:59.646708,198,8,7659,5,0,2,8,808
20:23:59.691722,202,8,35953,5,0,2,8,808
20:23:59.759725,208,8,7659,5,0,2,8,736
20:23:59.805020,212,8,35953,5,0,2,8,808
20:23:59.873310,218,8,7659,5,0,2,8,808
20:23:59.918493,222,8,35953,5,0,2,8,808
20:24:00.011879,228,8,7659,5,0,2,8,808
20:24:00.056998,232,8,35953,5,0,2,8,736
20:24:00.125960,238,8,7659,5,0,2,8,808
20:24:00.171270,242,8,35953,5,0,2,8,808
20:24:00.239715,248,8,7659,5,0,2,8,736
20:24:00.284622,252,8,35953,5,0,2,8,808
20:24:00.352567,258,8,7659,5,0,2,8,808
20:24:00.397934,262,8,35953,5,0,2,8,808
20:24:00.465454,268,8,7659,5,0,2,8,808
20:24:00.511509,272,8,35953,5,0,2,8,736
20:24:00.580018,278,8,7659,5,0,2,8,808
20:24:00.625681,282,8,35953,5,0,2,8,808
20:24:00.694490,288,8,7659,5,0,2,8,736
20:24:00.740417,292,8,35953,5,0,2,8,808
20:24:00.809729,298,8,7659,5,0,2,8,808
20:24:00.855723,302,8,35953,5,0,2,8,808
20:24:00.924305,308,8,7659,5,0,2,8,808
20:24:00.999843,312,8,35953,5,0,2,8,736
20:24:01.070253,318,8,7659,5,0,2,8,808
20:24:01.116369,322,8,35953,5,0,2,8,808
20:24:01.184808,328,8,7659,5,0,2,8,736
20:24:01.230453,332,8,35953,5,0,2,8,808
20:24:01.298406,338,8,7659,5,0,2,8,808
20:24:01.345478,342,8,35953,5,0,2,8,808
20:24:01.414653,348,8,7659,5,0,2,8,808
20:24:01.460212,352,8,35953,5,0,2,8,736
20:24:01.528861,358,8,7659,5,0,2,8,808
20:24:01.574723,362,8,35953,5,0,2,8,808
20:24:01.644734,368,8,7659,5,0,2,8,736
20:24:01.690500,372,8,35953,5,0,2,8,808
20:24:01.760816,378,8,7659,5,0,2,8,808
20:24:01.807883,382,8,35953,5,0,2,8,808
20:24:01.878602,388,8,7659,5,0,2,8,808
20:24:01.924595,392,8,35953,5,0,2,8,736
20:24:02.017809,398,8,7659,5,0,2,8,808
20:24:02.063490,402,8,35953,5,0,2,8,808
20:24:02.132564,408,8,7659,5,0,2,8,736
20:24:02.178619,412,8,35953,5,0,2,8,808
20:24:02.247326,418,8,7659,5,0,2,8,808
20:24:02.293226,422,8,35953,5,0,2,8,808
