time,direction,dci_format,rnti_type,rnti,dci_frame,dci_slot,sched_frame,sched_slot,mcs,mcs_table,rb_start,rb_size,start_symbol,nr_symbols,tbs,harq_pid,ndi,rv,round,qam_mod_order,target_code_rate,tpc,n_cce,N_cce
20:23:57.405950,1,7,0,7659,8,2,8,8,8,0,0,5,0,12,92,8,1,0,0,2,6020,1,8,2
20:23:57.454269,1,7,0,35953,12,2,12,8,8,0,0,5,0,13,101,8,1,0,0,2,6020,1,14,2
20:23:57.523491,1,7,0,7659,18,2,18,8,8,0,0,5,0,13,101,10,1,0,0,2,6020,1,8,2
20:23:57.568751,1,7,0,35953,22,2,22,8,8,0,0,5,0,13,101,4,1,0,0,2,6020,1,14,2
20:23:57.638246,1,7,0,7659,28,2,28,8,8,0,0,5,0,13,101,11,1,0,0,2,6020,2,8,2
20:23:57.684995,1,7,0,35953,32,2,32,8,8,0,0,5,0,12,92,9,1,0,0,2,6020,1,14,2
20:23:57.755674,1,7,0,7659,38,2,38,8,8,0,0,5,0,13,101,12,1,0,0,2,6020,1,8,2
20:23:57.802096,1,7,0,35953,42,2,42,8,8,0,0,5,0,13,101,10,1,0,0,2,6020,2,14,2
20:23:57.872219,1,7,0,7659,48,2,48,8,8,0,0,5,0,12,92,9,1,0,0,2,6020,1,8,2
20:23:57.918155,1,7,0,35953,52,2,52,8,8,0,0,5,0,13,101,11,1,0,0,2,6020,1,14,2
20:23:57.987426,1,7,0,7659,58,2,58,8,8,0,0,5,0,13,101,13,1,0,0,2,6020,1,8,2
20:23:58.033850,1,7,0,35953,62,2,62,8,8,0,0,5,0,13,101,12,1,0,0,2,6020,1,14,2
20:23:58.103640,1,7,0,7659,68,2,68,8,8,0,0,5,0,13,101,14,1,0,0,2,6020,1,8,2
20:23:58.148837,1,7,0,35953,72,2,72,8,8,0,0,5,0,12,92,13,1,0,0,2,6020,1,14,2
20:23:58.218370,0,1,0,35953,78,0,78,0,0,0,0,5,1,13,168,11,1,0,0,2,1200,1,0,2
20:23:58.219694,1,7,0,7659,78,2,78,8,8,0,0,5,0,13,101,15,1,0,0,2,6020,2,8,2
20:23:58.226596,0,1,0,35953,78,14,78,14,0,0,0,5,1,13,168,11,0,2,1,2,1200,2,14,2
20:23:58.238314,0,1,0,35953,79,14,79,14,0,0,0,5,1,13,168,11,0,3,2,2,1200,2,14,2
20:23:58.250120,0,1,0,35953,80,14,80,14,0,0,0,5,1,13,168,11,0,1,3,2,1200,2,14,2
20:23:58.266354,1,7,0,35953,82,2,82,8,8,0,0,5,0,13,101,14,1,0,0,2,6020,2,14,2
20:23:58.288446,0,1,0,7659,84,0,84,0,0,0,0,5,1,13,168,4,1,0,0,2,1200,2,2,2
20:23:58.296323,0,1,0,7659,84,14,84,14,0,0,0,5,1,13,168,4,0,2,1,2,1200,2,10,2
20:23:58.307425,0,1,0,7659,85,14,85,14,0,0,0,5,1,13,168,4,0,3,2,2,1200,2,10,2
20:23:58.318553,0,1,0,7659,86,14,86,14,0,0,0,5,1,13,168,4,0,1,3,2,1200,2,10,2
20:23:58.334145,1,7,0,7659,88,2,88,8,8,0,0,5,0,12,92,0,1,0,0,2,6020,1,8,2
20:23:58.379292,1,7,0,35953,92,2,92,8,8,0,0,5,0,13,101,15,1,0,0,2,6020,1,14,2
20:23:58.447266,1,7,0,7659,98,2,98,8,8,0,0,5,0,13,101,1,1,0,0,2,6020,1,8,2
20:23:58.492523,1,7,0,35953,102,2,102,8,8,0,0,5,0,13,101,0,1,0,0,2,6020,1,14,2
20:23:58.562052,1,7,0,7659,108,2,108,8,8,0,0,5,0,13,101,2,1,0,0,2,6020,1,8,2
20:23:58.607385,1,7,0,35953,112,2,112,8,8,0,0,5,0,12,92,1,1,0,0,2,6020,1,14,2
20:23:58.675979,1,7,0,7659,118,2,118,8,8,0,0,5,0,13,101,3,1,0,0,2,6020,1,8,2
20:23:58.759230,1,7,0,35953,122,2,122,8,8,0,0,5,0,13,101,3,1,0,0,2,6020,1,14,2
20:23:58.839044,1,7,0,7659,128,2,128,8,8,0,0,5,0,12,92,4,1,0,0,2,6020,2,8,2
20:23:58.883858,1,7,0,35953,132,2,132,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,2,14,2
20:23:58.952789,1,7,0,7659,138,2,138,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,1,8,2
20:23:58.998761,1,7,0,35953,142,2,142,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,1,14,2
20:23:59.067955,1,7,0,7659,148,2,148,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,1,8,2
20:23:59.113323,1,7,0,35953,152,2,152,8,8,0,0,5,0,12,92,2,1,0,0,2,6020,1,14,2
20:23:59.181452,1,7,0,7659,158,2,158,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,1,8,2
20:23:59.226936,1,7,0,35953,162,2,162,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,1,14,2
20:23:59.297305,1,7,0,7659,168,2,168,8,8,0,0,5,0,12,92,8,1,0,0,2,6020,2,8,2
20:23:59.343719,1,7,0,35953,172,2,172,8,8,0,0,5,0,13,101,8,1,0,0,2,6020,1,14,2
20:23:59.410815,0,1,0,35953,178,0,178,0,0,0,0,5,1,13,168,13,1,0,0,2,1200,2,0,2
20:23:59.412238,1,7,0,7659,178,2,178,8,8,0,0,5,0,13,101,10,1,0,0,2,6020,1,8,2
20:23:59.418949,0,1,0,35953,178,14,178,14,0,0,0,5,1,13,168,13,0,2,1,2,1200,2,14,2
20:23:59.430380,0,1,0,35953,179,14,179,14,0,0,0,5,1,13,168,13,0,3,2,2,1200,2,14,2
20:23:59.441792,0,1,0,35953,180,14,180,14,0,0,0,5,1,13,168,13,0,1,3,2,1200,2,14,2
20:23:59.457713,1,7,0,35953,182,2,182,8,8,0,0,5,0,13,101,4,1,0,0,2,6020,2,14,2
20:23:59.479525,0,1,0,7659,184,0,184,0,0,0,0,5,1,12,152,15,1,0,0,2,1200,2,2,2
20:23:59.487288,0,1,0,7659,184,14,184,14,0,0,0,5,1,12,152,15,0,2,1,2,1200,2,10,2
20:23:59.498727,0,1,0,7659,185,14,185,14,0,0,0,5,1,12,152,15,0,3,2,2,1200,2,10,2
20:23:59.510209,0,1,0,7659,186,14,186,14,0,0,0,5,1,12,152,15,0,1,3,2,1200,2,10,2
20:23:59.526040,1,7,0,7659,188,2,188,8,8,0,0,5,0,13,101,11,1,0,0,2,6020,1,8,2
20:23:59.571874,1,7,0,35953,192,2,192,8,8,0,0,5,0,12,92,9,1,0,0,2,6020,1,14,2
20:23:59.640603,1,7,0,7659,198,2,198,8,8,0,0,5,0,13,101,12,1,0,0,2,6020,1,8,2
20:23:59.685523,1,7,0,35953,202,2,202,8,8,0,0,5,0,13,101,10,1,0,0,2,6020,1,14,2
20:23:59.753768,1,7,0,7659,208,2,208,8,8,0,0,5,0,12,92,9,1,0,0,2,6020,1,8,2
20:23:59.798642,1,7,0,35953,212,2,212,8,8,0,0,5,0,13,101,11,1,0,0,2,6020,1,14,2
20:23:59.867274,1,7,0,7659,218,2,218,8,8,0,0,5,0,13,101,13,1,0,0,2,6020,2,8,2
20:23:59.912240,1,7,0,35953,222,2,222,8,8,0,0,5,0,13,101,12,1,0,0,2,6020,2,14,2
20:24:00.005341,1,7,0,7659,228,2,228,8,8,0,0,5,0,13,101,14,1,0,0,2,6020,1,8,2
20:24:00.050662,1,7,0,35953,232,2,232,8,8,0,0,5,0,12,92,13,1,0,0,2,6020,1,14,2
20:24:00.119540,1,7,0,7659,238,2,238,8,8,0,0,5,0,13,101,15,1,0,0,2,6020,1,8,2
20:24:00.164881,1,7,0,35953,242,2,242,8,8,0,0,5,0,13,101,14,1,0,0,2,6020,1,14,2
20:24:00.233466,1,7,0,7659,248,2,248,8,8,0,0,5,0,12,92,0,1,0,0,2,6020,1,8,2
20:24:00.278299,1,7,0,35953,252,2,252,8,8,0,0,5,0,13,101,15,1,0,0,2,6020,1,14,2
20:24:00.346503,1,7,0,7659,258,2,258,8,8,0,0,5,0,13,101,1,1,0,0,2,6020,1,8,2
20:24:00.391655,1,7,0,35953,262,2,262,8,8,0,0,5,0,13,101,0,1,0,0,2,6020,1,14,2
20:24:00.459383,1,7,0,7659,268,2,268,8,8,0,0,5,0,13,101,2,1,0,0,2,6020,2,8,2
20:24:00.505018,1,7,0,35953,272,2,272,8,8,0,0,5,0,12,92,1,1,0,0,2,6020,2,14,2
20:24:00.572798,0,1,0,35953,278,0,278,0,0,0,0,5,1,13,168,10,1,0,0,2,1200,2,0,2
20:24:00.574147,1,7,0,7659,278,2,278,8,8,0,0,5,0,13,101,3,1,0,0,2,6020,1,8,2
20:24:00.580768,0,1,0,35953,278,14,278,14,0,0,0,5,1,13,168,10,0,2,1,2,1200,2,14,2
20:24:00.591810,0,1,0,35953,279,14,279,14,0,0,0,5,1,13,168,10,0,3,2,2,1200,2,14,2
20:24:00.603160,0,1,0,35953,280,14,280,14,0,0,0,5,1,13,168,10,0,1,3,2,1200,2,14,2
20:24:00.619332,1,7,0,35953,282,2,282,8,8,0,0,5,0,13,101,3,1,0,0,2,6020,1,14,2
20:24:00.641541,0,1,0,7659,284,0,284,0,0,0,0,5,1,13,168,14,1,0,0,2,1200,2,2,2
20:24:00.649384,0,1,0,7659,284,14,284,14,0,0,0,5,1,13,168,14,0,2,1,2,1200,2,10,2
20:24:00.660845,0,1,0,7659,285,14,285,14,0,0,0,5,1,13,168,14,0,3,2,2,1200,2,10,2
20:24:00.672252,0,1,0,7659,286,14,286,14,0,0,0,5,1,13,168,14,0,1,3,2,1200,2,10,2
20:24:00.688607,1,7,0,7659,288,2,288,8,8,0,0,5,0,12,92,4,1,0,0,2,6020,1,8,2
20:24:00.733974,1,7,0,35953,292,2,292,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,1,14,2
20:24:00.803744,1,7,0,7659,298,2,298,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,1,8,2
20:24:00.849424,1,7,0,35953,302,2,302,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,1,14,2
20:24:00.917984,1,7,0,7659,308,2,308,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,1,8,2
20:24:00.993516,1,7,0,35953,312,2,312,8,8,0,0,5,0,12,92,2,1,0,0,2,6020,1,14,2
20:24:01.063978,1,7,0,7659,318,2,318,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,2,8,2
20:24:01.109897,1,7,0,35953,322,2,322,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,2,14,2
20:24:01.178663,1,7,0,7659,328,2,328,8,8,0,0,5,0,12,92,8,1,0,0,2,6020,1,8,2
20:24:01.223939,1,7,0,35953,332,2,332,8,8,0,0,5,0,13,101,8,1,0,0,2,6020,1,14,2
20:24:01.292638,1,7,0,7659,338,2,338,8,8,0,0,5,0,13,101,10,1,0,0,2,6020,1,8,2
20:24:01.339131,1,7,0,35953,342,2,342,8,8,0,0,5,0,13,101,4,1,0,0,2,6020,1,14,2
20:24:01.408403,1,7,0,7659,348,2,348,8,8,0,0,5,0,13,101,11,1,0,0,2,6020,1,8,2
20:24:01.453789,1,7,0,35953,352,2,352,8,8,0,0,5,0,12,92,9,1,0,0,2,6020,1,14,2
