time,mono_sec,mono_nsec,ue_id,lcid,pdu_bytes
20:24:07.903733,892492,967277892,1,4,94
20:24:07.913784,892492,977329829,1,4,464
20:24:07.914237,892492,977782281,1,4,959
20:24:07.914239,892492,977784557,1,4,1208
20:24:07.914967,892492,978512242,1,4,304
20:24:07.914968,892492,978513256,1,4,1507
20:24:07.914969,892492,978514160,1,4,356
20:24:07.919390,892492,982935765,1,4,464
20:24:07.920419,892492,983964813,1,4,697
20:24:07.920420,892492,983965733,1,4,1473
20:24:07.920700,892492,984245094,1,4,39
20:24:07.920701,892492,984246008,1,4,1507
20:24:07.920701,892492,984246395,1,4,332
20:24:07.924767,892492,988312427,1,4,464
20:24:07.925247,892492,988792393,1,4,721
20:24:07.925248,892492,988793535,1,4,1221
20:24:07.925785,892492,989329845,1,4,291
20:24:07.925785,892492,989330371,1,4,1507
20:24:07.925786,892492,989330905,1,4,145
20:24:07.931135,892492,994680574,1,4,464
20:24:07.931289,892492,994834288,1,4,908
20:24:07.931290,892492,994835180,1,4,1262
20:24:07.931369,892492,994914474,1,4,250
20:24:07.931370,892492,994915389,1,4,1507
20:24:07.931371,892492,994915908,1,4,410
20:24:07.935602,892492,999146877,1,4,464
20:24:07.936101,892492,999646398,1,4,643
20:24:07.936102,892492,999647180,1,4,1507
20:24:07.936103,892492,999647937,1,4,15
20:24:07.936582,892493,127682,1,4,1497
20:24:07.936583,892493,128638,1,4,673
20:24:07.940825,892493,4369911,1,4,464
20:24:07.941359,892493,4904671,1,4,380
20:24:07.941360,892493,4905359,1,4,1507
20:24:07.941361,892493,4906037,1,4,280
20:24:07.941849,892493,5394068,1,4,1232
20:24:07.941849,892493,5394664,1,4,649
20:24:07.946011,892493,9555904,1,4,464
20:24:07.946634,892493,10178987,1,4,404
20:24:07.946635,892493,10180177,1,4,1507
20:24:07.946636,892493,10181381,1,4,253
20:24:07.947013,892493,10558645,1,4,1259
20:24:07.947014,892493,10559300,1,4,911
20:24:07.951406,892493,14951427,1,4,464
20:24:07.951904,892493,15449477,1,4,142
20:24:07.951905,892493,15449960,1,4,1507
20:24:07.951905,892493,15450505,1,4,518
20:24:07.952679,892493,16224146,1,4,994
20:24:07.952680,892493,16224933,1,4,1176
20:24:07.956746,892493,20291361,1,4,336
20:24:07.956747,892493,20291876,1,4,126
20:24:07.957243,892493,20787953,1,4,1386
20:24:07.957243,892493,20788740,1,4,781
20:24:07.957843,892493,21388620,1,4,731
20:24:07.957844,892493,21389339,1,4,1439
20:24:07.961946,892493,25491514,1,4,73
20:24:07.961947,892493,25491970,1,4,388
20:24:07.962441,892493,25986338,1,4,1124
20:24:07.962442,892493,25987240,1,4,1046
20:24:07.963159,892493,26703892,1,4,466
20:24:07.963159,892493,26704704,1,4,1415
20:24:07.967335,892493,30880510,1,4,97
20:24:07.967336,892493,30881084,1,4,364
20:24:07.967835,892493,31380377,1,4,1148
