time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
20:23:57.407743,8,8,7659,5,0,2,8,736
20:23:57.456039,12,8,35953,5,0,2,8,808
20:23:57.525302,18,8,7659,5,0,2,8,808
20:23:57.570499,22,8,35953,5,0,2,8,808
20:23:57.639997,28,8,7659,5,0,2,8,808
20:23:57.686846,32,8,35953,5,0,2,8,736
20:23:57.757505,38,8,7659,5,0,2,8,808
20:23:57.803948,42,8,35953,5,0,2,8,808
20:23:57.874206,48,8,7659,5,0,2,8,736
20:23:57.919997,52,8,35953,5,0,2,8,808
20:23:57.989217,58,8,7659,5,0,2,8,808
20:23:58.035806,62,8,35953,5,0,2,8,808
20:23:58.105438,68,8,7659,5,0,2,8,808
20:23:58.150607,72,8,35953,5,0,2,8,736
20:23:58.221644,78,8,7659,5,0,2,8,808
20:23:58.268230,82,8,35953,5,0,2,8,808
20:23:58.336095,88,8,7659,5,0,2,8,736
20:23:58.380972,92,8,35953,5,0,2,8,808
20:23:58.449117,98,8,7659,5,0,2,8,808
20:23:58.494289,102,8,35953,5,0,2,8,808
20:23:58.563570,108,8,7659,5,0,2,8,808
20:23:58.609548,112,8,35953,5,0,2,8,736
20:23:58.677734,118,8,7659,5,0,2,8,808
20:23:58.761142,122,8,35953,5,0,2,8,808
20:23:58.840571,128,8,7659,5,0,2,8,736
20:23:58.885681,132,8,35953,5,0,2,8,808
20:23:58.954602,138,8,7659,5,0,2,8,808
20:23:59.000838,142,8,35953,5,0,2,8,808
20:23:59.069821,148,8,7659,5,0,2,8,808
20:23:59.115112,152,8,35953,5,0,2,8,736
20:23:59.183262,158,8,7659,5,0,2,8,808
20:23:59.228736,162,8,35953,5,0,2,8,808
20:23:59.299130,168,8,7659,5,0,2,8,736
20:23:59.345508,172,8,35953,5,0,2,8,808
20:23:59.414014,178,8,7659,5,0,2,8,808
20:23:59.459542,182,8,35953,5,0,2,8,808
20:23:59.527876,188,8,7659,5,0,2,8,808
20:23:59.573694,192,8,35953,5,0,2,8,736
20:23:59.642681,198,8,7659,5,0,2,8,808
20:23:59.687409,202,8,35953,5,0,2,8,808
20:23:59.755497,208,8,7659,5,0,2,8,736
20:23:59.800433,212,8,35953,5,0,2,8,808
20:23:59.869088,218,8,7659,5,0,2,8,808
20:23:59.914149,222,8,35953,5,0,2,8,808
20:24:00.007291,228,8,7659,5,0,2,8,808
20:24:00.052465,232,8,35953,5,0,2,8,736
20:24:00.121304,238,8,7659,5,0,2,8,808
20:24:00.166953,242,8,35953,5,0,2,8,808
20:24:00.235233,248,8,7659,5,0,2,8,736
20:24:00.280223,252,8,35953,5,0,2,8,808
20:24:00.348297,258,8,7659,5,0,2,8,808
20:24:00.393542,262,8,35953,5,0,2,8,808
20:24:00.461658,268,8,7659,5,0,2,8,808
20:24:00.506799,272,8,35953,5,0,2,8,736
20:24:00.575869,278,8,7659,5,0,2,8,808
20:24:00.621163,282,8,35953,5,0,2,8,808
20:24:00.690380,288,8,7659,5,0,2,8,736
20:24:00.735778,292,8,35953,5,0,2,8,808
20:24:00.805491,298,8,7659,5,0,2,8,808
20:24:00.851312,302,8,35953,5,0,2,8,808
20:24:00.919768,308,8,7659,5,0,2,8,808
20:24:00.995598,312,8,35953,5,0,2,8,736
20:24:01.065711,318,8,7659,5,0,2,8,808
