time,direction,rnti,frame,diff,old_mcs,new_mcs,max_mcs_input,max_mcs_applied,min_mcs,opt_max_mcs,num_sched,num_retx,bler_window_ppm,bler_before_ppm,bler_after_ppm,lower_ppm,upper_ppm,branch,updated
20:19:34.040302,0,35953,106,100,0,0,28,28,0,28,1,1,1000000,999844,999860,50000,150000,3,1
20:19:34.099162,0,7659,112,100,0,0,28,28,0,28,1,1,1000000,999291,999362,50000,150000,3,1
20:19:35.076234,0,35953,206,100,0,0,28,28,0,28,1,1,1000000,999860,999874,50000,150000,3,1
20:19:35.135198,0,7659,212,100,0,0,28,28,0,28,1,1,1000000,999362,999426,50000,150000,3,1
20:19:36.085740,0,35953,306,100,0,0,28,28,0,28,1,1,1000000,999874,999886,50000,150000,3,1
20:19:36.144351,0,7659,312,100,0,0,28,28,0,28,1,1,1000000,999426,999483,50000,150000,3,1
20:19:37.114390,0,35953,406,100,0,0,28,28,0,28,1,1,1000000,999886,999898,50000,150000,3,1
20:19:37.173327,0,7659,412,100,0,0,28,28,0,28,1,1,1000000,999483,999535,50000,150000,3,1
20:19:38.190399,0,35953,506,100,0,0,28,28,0,28,1,1,1000000,999898,999908,50000,150000,3,1
20:19:38.249097,0,7659,512,100,0,0,28,28,0,28,1,1,1000000,999535,999581,50000,150000,3,1
20:19:39.181770,0,35953,606,100,0,0,28,28,0,28,1,1,1000000,999908,999917,50000,150000,3,1
20:19:39.240463,0,7659,612,100,0,0,28,28,0,28,1,1,1000000,999581,999623,50000,150000,3,1
20:19:40.174384,0,35953,706,100,0,0,28,28,0,28,1,1,1000000,999917,999925,50000,150000,3,1
20:19:40.232471,0,7659,712,100,0,0,28,28,0,28,1,1,1000000,999623,999661,50000,150000,3,1
20:19:41.167683,0,35953,806,100,0,0,28,28,0,28,1,1,1000000,999925,999933,50000,150000,3,1
20:19:41.225766,0,7659,812,100,0,0,28,28,0,28,1,1,1000000,999661,999695,50000,150000,3,1
20:19:42.165265,0,35953,906,100,0,0,28,28,0,28,1,1,1000000,999933,999939,50000,150000,3,1
20:19:42.223646,0,7659,912,100,0,0,28,28,0,28,1,1,1000000,999695,999725,50000,150000,3,1
20:19:43.164766,0,35953,1006,100,0,0,28,28,0,28,1,1,1000000,999939,999945,50000,150000,3,1
20:19:43.223059,0,7659,1012,100,0,0,28,28,0,28,1,0,0,999725,899753,50000,150000,3,1
20:19:44.043699,0,7659,69,81,0,0,28,28,0,28,1,1,1000000,899753,909777,50000,150000,3,1
20:19:44.068006,0,7659,72,3,0,0,28,28,0,28,-1,-1,-1,909777,909777,50000,150000,0,0
20:19:44.092950,0,7659,74,5,0,0,28,28,0,28,-1,-1,-1,909777,909777,50000,150000,0,0
20:19:44.117441,0,7659,77,8,0,0,28,28,0,28,-1,-1,-1,909777,909777,50000,150000,0,0
20:19:44.165385,0,35953,82,100,0,0,28,28,0,28,1,1,1000000,999945,999951,50000,150000,3,1
20:19:44.167906,0,7659,82,13,0,0,28,28,0,28,4,4,1000000,909777,918800,50000,150000,2,1
20:19:44.218400,0,7659,87,5,0,0,28,28,0,28,-1,-1,-1,918800,918800,50000,150000,0,0
20:19:44.225408,0,7659,88,6,0,0,28,28,0,28,-1,-1,-1,918800,918800,50000,150000,0,0
20:19:44.273257,0,7659,92,10,0,0,28,28,0,28,3,3,1000000,918800,926920,50000,150000,3,1
20:19:44.323660,0,7659,97,5,0,0,28,28,0,28,-1,-1,-1,926920,926920,50000,150000,0,0
20:19:44.378014,0,7659,103,11,0,0,28,28,0,28,2,2,1000000,926920,934228,50000,150000,3,1
20:19:44.402525,0,7659,105,2,0,0,28,28,0,28,-1,-1,-1,934228,934228,50000,150000,0,0
20:19:44.427612,0,7659,108,5,0,0,28,28,0,28,-1,-1,-1,934228,934228,50000,150000,0,0
20:19:44.443743,0,7659,109,6,0,0,28,28,0,28,-1,-1,-1,934228,934228,50000,150000,0,0
20:19:44.860730,0,35953,151,69,0,0,28,28,0,28,1,1,1000000,999951,999956,50000,150000,3,1
20:19:44.946985,0,35953,156,5,0,0,28,28,0,28,-1,-1,-1,999956,999956,50000,150000,0,0
20:19:45.000612,0,35953,162,11,0,0,28,28,0,28,2,2,1000000,999956,999960,50000,150000,3,1
20:19:45.025083,0,35953,164,2,0,0,28,28,0,28,-1,-1,-1,999960,999960,50000,150000,0,0
20:19:45.075658,0,35953,169,7,0,0,28,28,0,28,-1,-1,-1,999960,999960,50000,150000,0,0
20:19:45.099733,0,35953,172,10,0,0,28,28,0,28,3,3,1000000,999960,999964,50000,150000,3,1
20:19:45.149992,0,35953,177,5,0,0,28,28,0,28,-1,-1,-1,999964,999964,50000,150000,0,0
20:19:45.174322,0,35953,179,7,0,0,28,28,0,28,-1,-1,-1,999964,999964,50000,150000,0,0
20:19:45.197324,0,35953,182,10,0,0,28,28,0,28,3,2,666666,999964,966634,50000,150000,3,1
20:19:45.199302,0,35953,182,0,0,0,28,28,0,28,-1,-1,-1,966634,966634,50000,150000,0,0
20:19:45.250025,0,35953,187,5,0,0,28,28,0,28,-1,-1,-1,966634,966634,50000,150000,0,0
20:19:45.257507,0,7659,188,85,0,0,28,28,0,28,4,4,1000000,934228,940805,50000,150000,2,1
20:19:45.274853,0,35953,189,7,0,0,28,28,0,28,-1,-1,-1,966634,966634,50000,150000,0,0
20:19:45.292340,0,35953,191,9,0,0,28,28,0,28,-1,-1,-1,966634,966634,50000,150000,0,0
20:19:45.739313,0,7659,235,47,0,0,28,28,0,28,1,1,1000000,940805,946724,50000,150000,3,1
20:19:45.764532,0,7659,238,3,0,0,28,28,0,28,-1,-1,-1,946724,946724,50000,150000,0,0
20:19:45.789537,0,7659,240,5,0,0,28,28,0,28,-1,-1,-1,946724,946724,50000,150000,0,0
20:19:45.815852,0,7659,243,8,0,0,28,28,0,28,-1,-1,-1,946724,946724,50000,150000,0,0
20:19:45.921110,0,7659,248,13,0,0,28,28,0,28,4,4,1000000,946724,952052,50000,150000,2,1
20:19:46.024561,0,7659,253,5,0,0,28,28,0,28,-1,-1,-1,952052,952052,50000,150000,0,0
20:19:46.087337,0,7659,258,10,0,0,28,28,0,28,2,2,1000000,952052,956846,50000,150000,3,1
