time,rnti,frame,slot,lcid,data_size,tx_list_occupancy
20:19:44.043708,7659,69,15,1,0,0
20:19:44.043710,7659,69,15,4,3,0
20:19:44.068011,7659,72,4,1,0,0
20:19:44.068013,7659,72,4,4,3,0
20:19:44.092955,7659,74,14,1,0,0
20:19:44.092956,7659,74,14,4,3,0
20:19:44.117445,7659,77,4,1,0,0
20:19:44.117447,7659,77,4,4,3,0
20:19:44.167910,7659,82,5,1,0,0
20:19:44.167911,7659,82,5,4,3,0
20:19:44.218406,7659,87,6,1,0,0
20:19:44.218407,7659,87,6,4,3,0
20:19:44.273263,7659,92,15,1,0,0
20:19:44.273265,7659,92,15,4,3,0
20:19:44.323666,7659,97,16,1,0,0
20:19:44.323667,7659,97,16,4,3,0
20:19:44.378025,7659,103,4,1,0,0
20:19:44.378027,7659,103,4,4,3,0
20:19:44.402528,7659,105,14,1,0,0
20:19:44.402529,7659,105,14,4,3,0
20:19:44.427615,7659,108,4,1,0,0
20:19:44.427616,7659,108,4,4,3,0
20:19:44.443747,7659,109,16,1,0,0
20:19:44.443748,7659,109,16,4,3,0
20:19:44.860739,35953,151,16,1,0,0
20:19:44.860741,35953,151,16,4,3,0
20:19:44.947004,35953,156,16,1,0,0
20:19:44.947006,35953,156,16,4,3,0
20:19:45.000617,35953,162,4,1,0,0
20:19:45.000619,35953,162,4,4,3,0
20:19:45.025086,35953,164,14,1,0,0
20:19:45.025087,35953,164,14,4,3,0
20:19:45.075664,35953,169,15,1,0,0
20:19:45.075665,35953,169,15,4,3,0
20:19:45.099737,35953,172,4,1,0,0
20:19:45.099738,35953,172,4,4,3,0
20:19:45.150001,35953,177,5,1,0,0
20:19:45.150003,35953,177,5,4,3,0
20:19:45.174329,35953,179,14,1,0,0
20:19:45.174331,35953,179,14,4,3,0
20:19:45.199304,35953,182,4,1,0,0
20:19:45.199306,35953,182,4,4,3,0
20:19:45.250031,35953,187,5,1,0,0
20:19:45.250033,35953,187,5,4,3,0
20:19:45.274859,35953,189,14,1,0,0
20:19:45.274860,35953,189,14,4,3,0
20:19:45.292344,35953,191,7,1,0,0
20:19:45.292346,35953,191,7,4,3,0
20:19:45.739322,7659,235,15,1,0,0
20:19:45.739324,7659,235,15,4,3,0
20:19:45.764536,7659,238,4,1,0,0
20:19:45.764537,7659,238,4,4,3,0
20:19:45.789541,7659,240,14,1,0,0
20:19:45.789542,7659,240,14,4,3,0
20:19:45.815860,7659,243,4,1,0,0
20:19:45.815861,7659,243,4,4,3,0
20:19:45.921121,7659,248,5,1,0,0
20:19:45.921122,7659,248,5,4,3,0
20:19:46.024567,7659,253,6,1,0,0
20:19:46.024568,7659,253,6,4,3,0
