time,mono_sec,mono_nsec,rnti,frame,slot,sdu_bytes
20:19:33.320787,892218,384332033,7659,37,8,101
20:19:33.340317,892218,403862714,35953,39,8,101
20:19:33.418429,892218,481974068,7659,47,8,101
20:19:33.438096,892218,501641832,35953,49,8,101
20:19:33.557712,892218,621257291,7659,57,8,101
20:19:33.577253,892218,640798328,35953,59,8,101
20:19:33.656145,892218,719690165,7659,67,8,101
20:19:33.686077,892218,749622049,35953,69,8,101
20:19:33.764883,892218,828428529,7659,77,8,101
20:19:33.783847,892218,847391817,35953,79,8,101
20:19:33.862059,892218,925604356,7659,87,8,101
20:19:33.881578,892218,945122850,35953,89,8,101
20:19:33.960027,892219,23572711,7659,97,8,101
20:19:33.978986,892219,42531557,35953,99,8,101
20:19:34.057361,892219,120906065,7659,107,8,101
20:19:34.076993,892219,140538458,35953,109,8,101
20:19:34.155115,892219,218660719,7659,117,8,101
20:19:34.174614,892219,238159343,35953,119,8,101
20:19:34.252794,892219,316339581,7659,127,8,101
20:19:34.272927,892219,336472047,35953,129,8,101
20:19:34.350409,892219,413954681,7659,137,8,101
20:19:34.370025,892219,433570571,35953,139,8,101
20:19:34.448070,892219,511615227,7659,147,8,101
20:19:34.467771,892219,531316249,35953,149,8,101
20:19:34.596100,892219,659645575,7659,157,8,101
20:19:34.622928,892219,686473248,35953,159,8,101
20:19:34.700991,892219,764536521,7659,167,8,101
20:19:34.720977,892219,784521932,35953,169,8,101
20:19:34.799132,892219,862677616,7659,177,8,101
20:19:34.818856,892219,882401275,35953,179,8,101
20:19:34.897140,892219,960685238,7659,187,8,101
20:19:34.916669,892219,980213942,35953,189,8,101
20:19:34.995299,892220,58844436,7659,197,8,101
20:19:35.014717,892220,78262702,35953,199,8,101
20:19:35.093157,892220,156702672,7659,207,8,101
20:19:35.113246,892220,176791239,35953,209,8,101
20:19:35.191258,892220,254803149,7659,217,8,101
20:19:35.211226,892220,274771373,35953,219,8,101
20:19:35.288780,892220,352325042,7659,227,8,101
