time,rnti,frame,slot,mcs,tbs
20:19:33.314668,7659,37,2,8,101
20:19:33.334318,35953,39,2,8,101
20:19:33.412379,7659,47,2,8,101
20:19:33.431871,35953,49,2,8,101
20:19:33.551353,7659,57,2,8,101
20:19:33.570864,35953,59,2,8,101
20:19:33.649380,7659,67,2,8,101
20:19:33.678257,35953,69,2,8,101
20:19:33.758409,7659,77,2,8,101
20:19:33.777821,35953,79,2,8,101
20:19:33.855909,7659,87,2,8,101
20:19:33.875405,35953,89,2,8,101
20:19:33.953858,7659,97,2,8,101
20:19:33.973102,35953,99,2,8,101
20:19:34.051227,7659,107,2,8,101
20:19:34.070624,35953,109,2,8,101
20:19:34.149017,7659,117,2,8,101
20:19:34.168530,35953,119,2,8,101
20:19:34.246493,7659,127,2,8,101
20:19:34.266146,35953,129,2,8,101
20:19:34.344292,7659,137,2,8,101
20:19:34.363703,35953,139,2,8,101
20:19:34.441908,7659,147,2,8,101
20:19:34.461476,35953,149,2,8,101
20:19:34.589676,7659,157,2,8,101
20:19:34.611596,35953,159,2,8,101
20:19:34.694854,7659,167,2,8,101
20:19:34.714491,35953,169,2,8,101
20:19:34.793031,7659,177,2,8,101
20:19:34.812569,35953,179,2,8,101
20:19:34.891001,7659,187,2,8,101
20:19:34.910536,35953,189,2,8,101
20:19:34.989069,7659,197,2,8,101
20:19:35.008539,35953,199,2,8,101
20:19:35.087087,7659,207,2,8,101
20:19:35.106654,35953,209,2,8,101
20:19:35.185119,7659,217,2,8,101
20:19:35.204601,35953,219,2,8,101
20:19:35.282725,7659,227,2,8,101
20:19:35.302392,35953,229,2,8,101
20:19:35.380505,7659,237,2,8,101
20:19:35.400280,35953,239,2,8,101
20:19:35.478237,7659,247,2,8,101
20:19:35.497800,35953,249,2,8,101
20:19:35.575920,7659,257,2,8,101
20:19:35.595703,35953,259,2,8,101
20:19:35.673986,7659,267,2,8,101
20:19:35.693470,35953,269,2,8,101
20:19:35.771852,7659,277,2,8,101
20:19:35.791301,35953,279,2,8,101
20:19:35.885135,7659,287,2,8,101
20:19:35.904693,35953,289,2,8,101
20:19:35.998933,7659,297,2,8,101
20:19:36.018364,35953,299,2,8,101
20:19:36.096478,7659,307,2,8,101
20:19:36.115965,35953,309,2,8,101
20:19:36.194178,7659,317,2,8,101
20:19:36.214196,35953,319,2,8,101
20:19:36.293673,7659,327,2,8,101
20:19:36.314199,35953,329,2,8,101
20:19:36.394572,7659,337,2,8,101
20:19:36.414798,35953,339,2,8,101
20:19:36.495409,7659,347,2,8,101
20:19:36.515767,35953,349,2,8,101
20:19:36.594976,7659,357,2,8,101
20:19:36.615163,35953,359,2,8,101
20:19:36.694841,7659,367,2,8,101
20:19:36.714763,35953,369,2,8,101
20:19:36.794429,7659,377,2,8,101
20:19:36.814532,35953,379,2,8,101
20:19:36.894451,7659,387,2,8,101
20:19:36.914674,35953,389,2,8,101
20:19:37.025807,7659,397,2,8,101
20:19:37.045862,35953,399,2,8,101
20:19:37.125140,7659,407,2,8,101
20:19:37.144777,35953,409,2,8,101
20:19:37.223379,7659,417,2,8,101
20:19:37.243055,35953,419,2,8,101
20:19:37.321543,7659,427,2,8,101
20:19:37.341356,35953,429,2,8,101
20:19:37.420267,7659,437,2,8,101
20:19:37.439832,35953,439,2,8,101
20:19:37.519301,7659,447,2,8,101
20:19:37.538873,35953,449,2,8,101
20:19:37.617564,7659,457,2,8,101
20:19:37.637377,35953,459,2,8,101
20:19:37.774460,7659,467,2,8,101
20:19:37.794275,35953,469,2,8,101
20:19:37.873747,7659,477,2,8,101
20:19:37.893326,35953,479,2,8,101
20:19:37.972090,7659,487,2,8,101
20:19:37.991689,35953,489,2,8,101
20:19:38.090935,7659,497,2,8,101
20:19:38.115020,35953,499,2,8,101
20:19:38.201090,7659,507,2,8,101
20:19:38.220745,35953,509,2,8,101
20:19:38.298923,7659,517,2,8,101
20:19:38.318510,35953,519,2,8,101
20:19:38.397141,7659,527,2,8,101
20:19:38.416778,35953,529,2,8,101
20:19:38.495103,7659,537,2,8,101
20:19:38.514632,35953,539,2,8,101
20:19:38.592874,7659,547,2,8,101
20:19:38.612389,35953,549,2,8,101
20:19:38.690705,7659,557,2,8,101
20:19:38.710447,35953,559,2,8,101
20:19:38.788691,7659,567,2,8,101
20:19:38.808194,35953,569,2,8,101
20:19:38.886704,7659,577,2,8,101
20:19:38.906430,35953,579,2,8,101
20:19:38.985800,7659,587,2,8,101
20:19:39.005290,35953,589,2,8,101
20:19:39.083551,7659,597,2,8,101
20:19:39.103084,35953,599,2,8,101
20:19:39.192513,7659,607,2,8,101
20:19:39.212128,35953,609,2,8,101
20:19:39.290497,7659,617,2,8,101
20:19:39.310137,35953,619,2,8,101
20:19:39.388339,7659,627,2,8,101
20:19:39.407762,35953,629,2,8,101
20:19:39.485930,7659,637,2,8,101
20:19:39.505399,35953,639,2,8,101
20:19:39.584591,7659,647,2,8,101
20:19:39.604149,35953,649,2,8,101
20:19:39.682381,7659,657,2,8,101
20:19:39.701806,35953,659,2,8,101
20:19:39.780036,7659,667,2,8,101
20:19:39.799545,35953,669,2,8,101
20:19:39.878020,7659,677,2,8,101
20:19:39.897549,35953,679,2,8,101
20:19:39.989450,7659,687,2,8,101
20:19:40.009085,35953,689,2,8,101
20:19:40.087533,7659,697,2,8,101
20:19:40.107057,35953,699,2,8,101
20:19:40.184980,7659,707,2,8,101
20:19:40.204400,35953,709,2,8,101
20:19:40.281942,7659,717,2,8,101
20:19:40.301326,35953,719,2,8,101
20:19:40.378646,7659,727,2,8,101
20:19:40.397981,35953,729,2,8,101
20:19:40.475389,7659,737,2,8,101
