time,rnti,ue_id,frame,slot,lcid,lcgid,bytes_in_buffer,bj,pbr,priority
20:19:33.340804,35953,1,39,17,1,0,0,2147483647,-1,1
20:19:33.340804,35953,1,39,17,2,0,0,2147483647,-1,3
20:19:33.340805,35953,1,39,17,4,1,0,364290,8000,13
20:19:33.341070,7659,0,39,17,1,0,0,2147483647,-1,1
20:19:33.341070,7659,0,39,17,2,0,0,2147483647,-1,3
20:19:33.341071,7659,0,39,17,4,1,0,779952,8000,13
20:19:33.341395,35953,1,39,18,1,0,0,2147483647,-1,1
20:19:33.341395,35953,1,39,18,2,0,0,2147483647,-1,3
20:19:33.341395,35953,1,39,18,4,1,0,364322,8000,13
20:19:33.341606,7659,0,39,18,1,0,0,2147483647,-1,1
20:19:33.341607,7659,0,39,18,2,0,0,2147483647,-1,3
20:19:33.341607,7659,0,39,18,4,1,0,779984,8000,13
20:19:33.341764,35953,1,39,19,1,0,0,2147483647,-1,1
20:19:33.341764,35953,1,39,19,2,0,0,2147483647,-1,3
20:19:33.341765,35953,1,39,19,4,1,0,364326,8000,13
20:19:33.342016,7659,0,39,19,1,0,0,2147483647,-1,1
20:19:33.342017,7659,0,39,19,2,0,0,2147483647,-1,3
20:19:33.342017,7659,0,39,19,4,1,0,779988,8000,13
20:19:33.345730,35953,1,40,7,1,0,0,2147483647,-1,1
20:19:33.345731,35953,1,40,7,2,0,0,2147483647,-1,3
20:19:33.345731,35953,1,40,7,4,1,0,364330,8000,13
20:19:33.345980,7659,0,40,7,1,0,0,2147483647,-1,1
20:19:33.345980,7659,0,40,7,2,0,0,2147483647,-1,3
20:19:33.345981,7659,0,40,7,4,1,0,779992,8000,13
20:19:33.346143,35953,1,40,8,1,0,0,2147483647,-1,1
20:19:33.346144,35953,1,40,8,2,0,0,2147483647,-1,3
20:19:33.346144,35953,1,40,8,4,1,0,364362,8000,13
20:19:33.346398,7659,0,40,8,1,0,0,2147483647,-1,1
20:19:33.346398,7659,0,40,8,2,0,0,2147483647,-1,3
20:19:33.346399,7659,0,40,8,4,1,0,780024,8000,13
20:19:33.346613,35953,1,40,9,1,0,0,2147483647,-1,1
20:19:33.346613,35953,1,40,9,2,0,0,2147483647,-1,3
20:19:33.346613,35953,1,40,9,4,1,0,364366,8000,13
20:19:33.346874,7659,0,40,9,1,0,0,2147483647,-1,1
20:19:33.346874,7659,0,40,9,2,0,0,2147483647,-1,3
20:19:33.346874,7659,0,40,9,4,1,0,780028,8000,13
20:19:33.350557,35953,1,40,17,1,0,0,2147483647,-1,1
20:19:33.350557,35953,1,40,17,2,0,0,2147483647,-1,3
20:19:33.350557,35953,1,40,17,4,1,0,364370,8000,13
20:19:33.350821,7659,0,40,17,1,0,0,2147483647,-1,1
20:19:33.350821,7659,0,40,17,2,0,0,2147483647,-1,3
20:19:33.350821,7659,0,40,17,4,1,0,780032,8000,13
20:19:33.350962,35953,1,40,18,1,0,0,2147483647,-1,1
20:19:33.350962,35953,1,40,18,2,0,0,2147483647,-1,3
20:19:33.350963,35953,1,40,18,4,1,0,364402,8000,13
20:19:33.351226,7659,0,40,18,1,0,0,2147483647,-1,1
20:19:33.351226,7659,0,40,18,2,0,0,2147483647,-1,3
20:19:33.351226,7659,0,40,18,4,1,0,780064,8000,13
20:19:33.351557,35953,1,40,19,1,0,0,2147483647,-1,1
20:19:33.351558,35953,1,40,19,2,0,0,2147483647,-1,3
20:19:33.351558,35953,1,40,19,4,1,0,364406,8000,13
20:19:33.351764,7659,0,40,19,1,0,0,2147483647,-1,1
20:19:33.351764,7659,0,40,19,2,0,0,2147483647,-1,3
20:19:33.351764,7659,0,40,19,4,1,0,780068,8000,13
20:19:33.355409,35953,1,41,7,1,0,0,2147483647,-1,1
20:19:33.355409,35953,1,41,7,2,0,0,2147483647,-1,3
20:19:33.355410,35953,1,41,7,4,1,0,364410,8000,13
20:19:33.355673,7659,0,41,7,1,0,0,2147483647,-1,1
20:19:33.355673,7659,0,41,7,2,0,0,2147483647,-1,3
20:19:33.355673,7659,0,41,7,4,1,0,780072,8000,13
20:19:33.355877,35953,1,41,8,1,0,0,2147483647,-1,1
20:19:33.355878,35953,1,41,8,2,0,0,2147483647,-1,3
20:19:33.355878,35953,1,41,8,4,1,0,364442,8000,13
20:19:33.356131,7659,0,41,8,1,0,0,2147483647,-1,1
20:19:33.356131,7659,0,41,8,2,0,0,2147483647,-1,3
20:19:33.356132,7659,0,41,8,4,1,0,780104,8000,13
20:19:33.356342,35953,1,41,9,1,0,0,2147483647,-1,1
20:19:33.356342,35953,1,41,9,2,0,0,2147483647,-1,3
20:19:33.356342,35953,1,41,9,4,1,0,364446,8000,13
20:19:33.356602,7659,0,41,9,1,0,0,2147483647,-1,1
20:19:33.356602,7659,0,41,9,2,0,0,2147483647,-1,3
20:19:33.356602,7659,0,41,9,4,1,0,780108,8000,13
20:19:33.360410,35953,1,41,17,1,0,0,2147483647,-1,1
20:19:33.360410,35953,1,41,17,2,0,0,2147483647,-1,3
20:19:33.360411,35953,1,41,17,4,1,0,364450,8000,13
20:19:33.360620,7659,0,41,17,1,0,0,2147483647,-1,1
20:19:33.360621,7659,0,41,17,2,0,0,2147483647,-1,3
20:19:33.360621,7659,0,41,17,4,1,0,780112,8000,13
20:19:33.360788,35953,1,41,18,1,0,0,2147483647,-1,1
