time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
20:20:36.323687,7659,343,8,60,48,1,101,0,5,8,890
20:20:36.370663,35953,347,8,60,48,1,101,0,5,8,890
20:20:36.440394,7659,353,8,60,48,1,101,0,5,8,890
20:20:36.486788,35953,357,8,60,48,1,101,0,5,8,890
20:20:36.556031,7659,363,8,60,48,2,101,0,5,8,890
20:20:36.695394,35953,367,8,55,48,1,101,0,5,8,890
20:20:36.766162,7659,373,8,60,48,1,101,0,5,8,890
20:20:36.813034,35953,377,8,60,48,1,101,0,5,8,890
20:20:36.878484,7659,383,8,60,48,1,101,0,5,8,890
20:20:36.919703,35953,387,8,60,48,2,101,0,5,8,890
20:20:36.980894,7659,393,8,60,48,1,101,0,5,8,890
20:20:37.021659,35953,397,8,60,48,1,101,0,5,8,890
20:20:37.089074,7659,403,8,55,48,2,101,0,5,8,890
20:20:37.135292,35953,407,8,60,48,1,101,0,5,8,890
20:20:37.204268,7659,413,8,60,48,1,101,0,5,8,890
20:20:37.250660,35953,417,8,60,48,1,101,0,5,8,890
20:20:37.320076,7659,423,8,60,48,1,101,0,5,8,890
20:20:37.367047,35953,427,8,60,48,2,101,0,5,8,890
20:20:37.436287,7659,433,8,60,48,1,101,0,5,8,890
20:20:37.482066,35953,437,8,60,48,1,101,0,5,8,890
20:20:37.551751,7659,443,8,60,48,1,101,0,5,8,890
20:20:37.597689,35953,447,8,60,48,1,101,0,5,8,890
20:20:37.666491,7659,453,8,60,48,2,101,0,5,8,890
20:20:37.712582,35953,457,8,60,48,1,101,0,5,8,890
20:20:37.781482,7659,463,8,60,48,1,101,0,5,8,890
20:20:37.827789,35953,467,8,60,48,1,101,0,5,8,890
20:20:37.897250,7659,473,8,60,48,1,101,0,5,8,890
20:20:37.943431,35953,477,8,60,48,2,101,0,5,8,890
20:20:38.012464,7659,483,8,60,48,1,101,0,5,8,890
20:20:38.058304,35953,487,8,60,48,1,101,0,5,8,890
20:20:38.127439,7659,493,8,60,48,1,101,0,5,8,890
20:20:38.173126,35953,497,8,60,48,1,101,0,5,8,890
20:20:38.241590,7659,503,8,60,48,2,101,0,5,8,890
20:20:38.287609,35953,507,8,60,48,1,101,0,5,8,890
20:20:38.355664,7659,513,8,60,48,1,101,0,5,8,890
20:20:38.401646,35953,517,8,60,48,1,101,0,5,8,890
20:20:38.470630,7659,523,8,60,48,1,101,0,5,8,890
20:20:38.516185,35953,527,8,60,48,2,101,0,5,8,890
20:20:38.584023,7659,533,8,60,48,1,101,0,5,8,890
20:20:38.629300,35953,537,8,60,48,1,101,0,5,8,890
20:20:38.697007,7659,543,8,55,48,2,101,0,5,8,890
20:20:38.742298,35953,547,8,60,48,1,101,0,5,8,890
20:20:38.810178,7659,553,8,60,48,1,101,0,5,8,890
20:20:38.855349,35953,557,8,60,48,1,101,0,5,8,890
20:20:38.923170,7659,563,8,60,48,1,101,0,5,8,890
20:20:38.990911,35953,567,8,60,48,1,101,0,5,8,890
20:20:39.058814,7659,573,8,60,48,1,101,0,5,8,890
20:20:39.104025,35953,577,8,60,48,2,101,0,5,8,890
20:20:39.165647,7659,583,8,60,48,1,101,0,5,8,890
20:20:39.207366,35953,587,8,60,48,1,101,0,5,8,890
20:20:39.269501,7659,593,8,60,48,2,101,0,5,8,890
20:20:39.311564,35953,597,8,60,48,1,101,0,5,8,890
20:20:39.373519,7659,603,8,60,48,1,101,0,5,8,890
20:20:39.413957,35953,607,8,55,48,1,101,0,5,8,890
20:20:39.474286,7659,613,8,60,48,1,101,0,5,8,890
20:20:39.515006,35953,617,8,60,48,2,101,0,5,8,890
20:20:39.581771,7659,623,8,60,48,1,101,0,5,8,890
20:20:39.628438,35953,627,8,60,48,1,101,0,5,8,890
20:20:39.786316,7659,633,8,60,48,1,101,0,5,8,890
20:20:39.832210,35953,637,8,60,48,1,101,0,5,8,890
20:20:39.903270,7659,643,8,60,48,2,101,0,5,8,890
20:20:39.948798,35953,647,8,60,48,1,101,0,5,8,890
20:20:40.016923,7659,653,8,60,48,1,101,0,5,8,890
20:20:40.064277,35953,657,8,60,48,1,101,0,5,8,890
20:20:40.133793,7659,663,8,60,48,1,101,0,5,8,890
20:20:40.180539,35953,667,8,60,48,2,101,0,5,8,890
20:20:40.249949,7659,673,8,60,48,1,101,0,5,8,890
20:20:40.298310,35953,677,8,60,48,1,101,0,5,8,890
20:20:40.367332,7659,683,8,60,48,2,101,0,5,8,890
20:20:40.414050,35953,687,8,60,48,1,101,0,5,8,890
20:20:40.481949,7659,693,8,60,48,1,101,0,5,8,890
20:20:40.527650,35953,697,8,60,48,1,101,0,5,8,890
20:20:40.597235,7659,703,8,60,48,1,101,0,5,8,890
20:20:40.643731,35953,707,8,60,48,1,101,0,5,8,890
20:20:40.713520,7659,713,8,60,48,1,101,0,5,8,890
20:20:40.851188,35953,717,8,60,48,2,101,0,5,8,890
20:20:40.919745,7659,723,8,60,48,1,101,0,5,8,890
