time,rnti,frame,slot,lcid,data_size,tx_list_occupancy
20:22:54.731332,35953,857,15,1,0,0
20:22:54.731334,35953,857,15,4,3,0
20:22:54.788367,35953,862,16,1,0,0
20:22:54.788368,35953,862,16,4,3,0
20:22:54.853498,35953,868,7,1,0,0
20:22:54.853500,35953,868,7,4,3,0
20:22:54.918621,35953,873,5,1,0,0
20:22:54.918623,35953,873,5,4,3,0
20:22:54.946620,35953,875,14,1,0,0
20:22:54.946621,35953,875,14,4,3,0
20:22:54.974892,35953,878,4,1,0,0
20:22:54.974894,35953,878,4,4,3,0
20:22:55.032105,35953,883,5,1,0,0
20:22:55.032107,35953,883,5,4,3,0
20:22:55.105616,7659,889,15,1,0,0
20:22:55.105618,7659,889,15,4,3,0
20:22:55.163260,35953,894,17,1,0,0
20:22:55.163262,35953,894,17,4,3,0
20:22:55.167270,7659,895,4,1,0,0
20:22:55.167271,7659,895,4,4,3,0
20:22:55.196208,7659,897,15,1,0,0
20:22:55.196209,7659,897,15,4,3,0
20:22:55.281993,35953,905,5,1,0,0
20:22:55.281996,35953,905,5,4,3,0
20:22:55.310553,35953,907,15,1,0,0
20:22:55.310554,35953,907,15,4,3,0
20:22:55.311097,7659,907,16,1,0,0
20:22:55.311098,7659,907,16,4,3,0
20:22:55.440023,7659,910,5,1,0,0
20:22:55.440024,7659,910,5,4,3,0
20:22:55.525880,35953,917,17,1,0,0
20:22:55.525881,35953,917,17,4,3,0
20:22:55.552349,35953,920,4,1,0,0
20:22:55.552350,35953,920,4,4,3,0
20:22:55.553502,7659,920,6,1,0,0
20:22:55.553503,7659,920,6,4,3,0
20:22:55.580520,7659,922,14,1,0,0
20:22:55.580521,7659,922,14,4,3,0
20:22:55.581669,35953,922,16,1,0,0
20:22:55.581670,35953,922,16,4,3,0
20:22:55.608747,7659,925,4,1,0,0
20:22:55.608749,7659,925,4,4,3,0
20:22:55.696999,35953,933,0,1,0,0
20:22:55.697000,35953,933,0,4,3,0
20:22:55.721974,35953,935,4,1,0,0
20:22:55.721975,35953,935,4,4,3,0
20:22:55.723095,7659,935,6,1,0,0
20:22:55.723096,7659,935,6,4,3,0
20:22:55.750199,35953,937,14,1,0,0
20:22:55.750200,35953,937,14,4,3,0
20:22:55.778838,35953,940,4,1,0,0
20:22:55.778840,35953,940,4,4,3,0
20:22:55.842138,7659,945,15,1,0,0
20:22:55.842139,7659,945,15,4,3,0
20:22:55.893248,35953,950,5,1,0,0
20:22:55.893249,35953,950,5,4,3,0
20:22:55.964287,7659,956,10,1,0,0
20:22:55.964289,7659,956,10,4,3,0
20:22:56.013642,35953,960,17,1,0,0
20:22:56.013643,35953,960,17,4,3,0
20:22:56.079502,7659,966,14,1,0,0
20:22:56.079504,7659,966,14,4,3,0
20:22:56.132171,35953,971,7,1,0,0
20:22:56.132172,35953,971,7,4,3,0
20:22:56.199235,7659,977,4,1,0,0
20:22:56.199236,7659,977,4,4,3,0
20:22:56.250563,35953,981,14,1,0,0
