time,eNB_ID,frame,subframe,rsrp,rssi,snr,rx_power,noise_power,w_cqi,freq_offset
20:22:45.089985,0,22,0,-2147483648,-183,-93,-90,3,-93,6
20:22:45.158712,0,28,0,-2147483648,-183,-93,-90,3,-93,6
20:22:46.243365,0,122,0,-2147483648,-183,-93,-90,3,-93,6
20:22:46.313753,0,128,0,-2147483648,-183,-93,-90,3,-93,6
20:22:47.396362,0,222,0,-2147483648,-183,-93,-90,3,-93,6
20:22:47.465172,0,228,0,-2147483648,-183,-93,-90,3,-93,6
20:22:48.558077,0,322,0,-2147483648,-183,-90,-90,0,-90,6
20:22:48.626582,0,328,0,-2147483648,-183,-93,-90,3,-93,6
20:22:49.754938,0,422,0,-2147483648,-183,-95,-90,5,-95,6
20:22:49.823728,0,428,0,-2147483648,-183,-93,-90,3,-93,6
20:22:51.016277,0,522,0,-2147483648,-183,-93,-90,3,-93,6
20:22:51.085325,0,528,0,-2147483648,-183,-95,-90,5,-95,6
20:22:52.107608,0,622,0,-2147483648,-183,-95,-90,5,-95,6
20:22:52.168212,0,628,0,-2147483648,-183,-95,-90,5,-95,6
20:22:53.245510,0,722,0,-2147483648,-183,-93,-90,3,-93,6
20:22:53.409040,0,728,0,-2147483648,-183,-93,-90,3,-93,6
20:22:54.359468,0,822,0,-2147483648,-183,-90,-90,0,-90,6
20:22:54.420615,0,828,0,-2147483648,-183,-93,-90,3,-93,6
20:22:55.573393,0,922,0,-2147483648,-183,-95,-90,5,-95,6
20:22:55.641722,0,928,0,-2147483648,-183,-93,-90,3,-93,6
20:22:55.697819,0,933,0,-2147483648,-183,-97,-90,7,-97,6
20:22:56.712796,0,1022,0,-2147483648,-183,-96,-90,6,-96,6
20:22:56.781760,0,4,0,-2147483648,-183,-95,-90,5,-95,6
20:22:57.871047,0,98,0,-2147483648,-183,-95,-90,5,-95,6
20:22:57.937071,0,104,0,-2147483648,-183,-95,-90,5,-95,6
20:22:59.076679,0,198,0,-2147483648,-183,-95,-90,5,-95,6
20:22:59.145611,0,204,0,-2147483648,-183,-96,-90,6,-96,6
20:23:00.317417,0,298,0,-2147483648,-183,-90,-90,0,-90,6
20:23:00.386533,0,304,0,-2147483648,-183,-93,-90,3,-93,6
20:23:01.484586,0,398,0,-2147483648,-183,-93,-90,3,-93,6
20:23:01.557081,0,404,0,-2147483648,-183,-95,-90,5,-95,6
20:23:02.719120,0,498,0,-2147483648,-183,-90,-90,0,-90,6
20:23:02.787831,0,504,0,-2147483648,-183,-93,-90,3,-93,6
20:23:03.957712,0,598,0,-2147483648,-183,-93,-90,3,-93,6
20:23:04.019098,0,604,0,-2147483648,-183,-95,-90,5,-95,6
20:23:05.050735,0,698,0,-2147483648,-183,-93,-90,3,-93,6
20:23:05.114151,0,704,0,-2147483648,-183,-95,-90,5,-95,6
20:23:06.104189,0,798,0,-2147483648,-183,-95,-90,5,-95,6
20:23:06.164683,0,804,0,-2147483648,-183,-95,-90,5,-95,6
20:23:07.244678,0,898,0,-2147483648,-183,-93,-90,3,-93,6
20:23:07.306123,0,904,0,-2147483648,-183,-93,-90,3,-93,6
20:23:08.461817,0,998,0,-2147483648,-183,-93,-90,3,-93,6
20:23:08.531021,0,1004,0,-2147483648,-183,-95,-90,5,-95,6
20:23:09.611290,0,74,0,-2147483648,-183,-93,-90,3,-93,6
20:23:09.681053,0,80,0,-2147483648,-183,-93,-90,3,-93,6
20:23:10.873499,0,174,0,-2147483648,-183,-95,-90,5,-95,6
20:23:10.943867,0,180,0,-2147483648,-183,-95,-90,5,-95,6
20:23:12.111688,0,274,0,-2147483648,-183,-95,-90,5,-95,6
20:23:12.179991,0,280,0,-2147483648,-183,-95,-90,5,-95,6
20:23:13.321628,0,374,0,-2147483648,-183,-95,-90,5,-95,6
20:23:13.389866,0,380,0,-2147483648,-183,-93,-90,3,-93,6
20:23:14.566319,0,474,0,-2147483648,-183,-93,-90,3,-93,6
20:23:14.635522,0,480,0,-2147483648,-183,-95,-90,5,-95,6
20:23:15.747120,0,574,0,-2147483648,-183,-93,-90,3,-93,6
20:23:15.815774,0,580,0,-2147483648,-183,-93,-90,3,-93,6
20:23:16.966053,0,674,0,-2147483648,-183,-95,-90,5,-95,6
20:23:17.035125,0,680,0,-2147483648,-183,-93,-90,3,-93,6
20:23:18.167287,0,774,0,-2147483648,-183,-95,-90,5,-95,6
20:23:18.229664,0,780,0,-2147483648,-183,-95,-90,5,-95,6
20:23:19.362076,0,874,0,-2147483648,-183,-95,-90,5,-95,6
20:23:19.430643,0,880,0,-2147483648,-183,-93,-90,3,-93,6
20:23:20.579007,0,974,0,-2147483648,-183,-93,-90,3,-93,6
20:23:20.647498,0,980,0,-2147483648,-183,-95,-90,5,-95,6
20:23:21.049819,0,1011,0,-2147483648,-183,-93,-90,3,-93,6
20:23:21.773483,0,50,0,-2147483648,-183,-93,-90,3,-93,6
20:23:21.842719,0,56,0,-2147483648,-183,-93,-90,3,-93,6
20:23:23.002939,0,150,0,-2147483648,-183,-95,-90,5,-95,6
20:23:23.149559,0,156,0,-2147483648,-183,-95,-90,5,-95,6
20:23:24.294750,0,250,0,-2147483648,-183,-95,-90,5,-95,6
20:23:24.361428,0,256,0,-2147483648,-183,-93,-90,3,-93,6
20:23:25.525484,0,350,0,-2147483648,-183,-90,-90,0,-90,6
20:23:25.600506,0,356,0,-2147483648,-183,-93,-90,3,-93,6
20:23:26.754202,0,450,0,-2147483648,-183,-93,-90,3,-93,6
20:23:26.824497,0,456,0,-2147483648,-183,-93,-90,3,-93,6
20:23:28.018793,0,550,0,-2147483648,-183,-93,-90,3,-93,6
20:23:28.088004,0,556,0,-2147483648,-183,-95,-90,5,-95,6
20:23:29.144563,0,650,0,-2147483648,-183,-93,-90,3,-93,6
20:23:29.205186,0,656,0,-2147483648,-183,-93,-90,3,-93,6
20:23:29.225373,0,658,0,-2147483648,-183,-93,-90,3,-93,6
20:23:30.195376,0,750,0,-2147483648,-183,-95,-90,5,-95,6
20:23:30.256426,0,756,0,-2147483648,-183,-93,-90,3,-93,6
20:23:31.254842,0,850,0,-2147483648,-183,-95,-90,5,-95,6
20:23:31.315340,0,856,0,-2147483648,-183,-95,-90,5,-95,6
20:23:32.336616,0,950,0,-2147483648,-183,-93,-90,3,-93,6
20:23:32.398283,0,956,0,-2147483648,-183,-93,-90,3,-93,6
20:23:32.690106,0,980,0,-2147483648,-183,-95,-90,5,-95,6
20:23:32.699774,0,981,0,-2147483648,-183,-93,-90,3,-93,6
20:23:32.821696,0,993,0,-2147483648,-183,-93,-90,3,-93,6
20:23:33.064429,0,1017,0,-2147483648,-183,-93,-90,3,-93,6
20:23:33.064709,0,1017,0,-2147483648,-183,-93,-90,3,-93,6
20:23:33.397862,0,26,0,-2147483648,-183,-93,-90,3,-93,6
20:23:33.459172,0,32,0,-2147483648,-183,-93,-90,3,-93,6
20:23:34.517521,0,126,0,-2147483648,-183,-93,-90,3,-93,6
20:23:34.585444,0,132,0,-2147483648,-183,-93,-90,3,-93,6
