time,rnti,frame,slot,mcs,tbs
20:21:33.254415,35953,166,0,0,21
20:21:33.322207,7659,172,0,0,21
20:21:34.416099,35953,266,0,0,21
20:21:34.484304,7659,272,0,0,19
20:21:35.580348,35953,366,0,0,21
20:21:35.647937,7659,372,0,0,21
20:21:36.741777,35953,466,0,0,21
20:21:36.810846,7659,472,0,0,19
20:21:37.946963,35953,566,0,0,21
20:21:38.017120,7659,572,0,0,21
20:21:39.161741,35953,666,0,0,21
20:21:39.233289,7659,672,0,0,19
20:21:40.429918,35953,766,0,0,21
20:21:40.498395,7659,772,0,0,21
20:21:41.608888,35953,866,0,0,21
20:21:41.678814,7659,872,0,0,19
20:21:42.799147,35953,966,0,0,21
20:21:42.868711,7659,972,0,0,21
20:21:43.894422,35953,31,15,0,21
20:21:43.945006,35953,36,16,0,21
20:21:43.968702,35953,39,4,0,21
20:21:43.993706,35953,41,14,0,21
20:21:43.996622,35953,42,0,0,21
20:21:44.018764,35953,44,4,0,21
20:21:44.057473,7659,48,0,0,19
20:21:44.070091,35953,49,5,0,21
20:21:44.095099,35953,51,15,0,21
20:21:44.190067,7659,61,5,0,21
20:21:44.249050,7659,66,15,0,21
20:21:44.258524,35953,67,14,0,21
20:21:44.353465,7659,77,5,0,21
20:21:44.362836,35953,78,4,0,21
20:21:44.457619,7659,87,15,0,21
20:21:44.462576,35953,88,5,0,21
20:21:44.561817,7659,98,5,0,21
20:21:44.567262,35953,98,16,0,21
20:21:44.665918,7659,108,14,0,21
20:21:44.671864,35953,109,6,0,21
20:21:44.691004,7659,111,4,0,21
20:21:44.775696,35953,119,14,0,21
20:21:44.791233,7659,121,5,0,21
20:21:44.849403,35953,122,13,0,21
20:21:44.865129,7659,124,2,0,21
20:21:44.974932,35953,132,5,0,21
20:21:44.990437,7659,133,16,0,21
20:21:45.014166,7659,136,4,0,21
20:21:45.071776,35953,142,0,0,21
20:21:45.079928,35953,142,16,0,21
20:21:45.114361,7659,146,5,0,21
20:21:45.131819,7659,148,0,0,21
20:21:45.139879,7659,148,16,0,21
20:21:45.163826,7659,151,4,0,21
20:21:45.185018,35953,153,6,0,21
20:21:45.265581,7659,161,5,0,21
20:21:45.290682,35953,163,14,0,21
20:21:45.291212,7659,163,15,0,21
20:21:45.315991,35953,166,4,0,21
20:21:45.342142,35953,168,15,0,21
20:21:45.397407,7659,174,5,0,21
20:21:45.443062,35953,178,16,0,21
20:21:45.467835,35953,181,5,0,21
20:21:45.492727,35953,183,14,0,21
20:21:45.503332,7659,184,15,0,21
20:21:45.517833,35953,186,4,0,21
20:21:45.527972,7659,187,4,0,21
20:21:45.543537,35953,188,15,0,21
20:21:45.552944,7659,189,14,0,21
20:21:45.643883,35953,198,16,0,21
20:21:45.657790,7659,200,4,0,21
20:21:45.667810,35953,201,4,0,21
20:21:45.683921,7659,202,15,0,21
20:21:45.693347,35953,203,14,0,21
20:21:45.718624,35953,206,4,0,21
20:21:45.743984,35953,208,15,0,21
20:21:45.784541,7659,212,16,0,21
20:21:45.808381,7659,215,4,0,21
20:21:45.844557,35953,218,16,0,21
20:21:45.868591,35953,221,4,0,21
20:21:45.893882,35953,223,14,0,21
20:21:45.909602,7659,225,5,0,21
20:21:45.968347,7659,227,15,0,21
20:21:46.070110,35953,234,4,0,21
20:21:46.106930,7659,237,16,0,21
20:21:46.131032,7659,240,4,0,21
20:21:46.149293,35953,242,0,0,21
20:21:46.156890,7659,242,15,0,21
20:21:46.171867,35953,244,5,0,21
20:21:46.210059,7659,248,0,0,19
20:21:46.260492,7659,252,16,0,21
20:21:46.283452,35953,254,16,0,21
20:21:46.288714,7659,255,5,0,21
20:21:46.316476,7659,257,14,0,21
20:21:46.345458,7659,260,4,0,21
20:21:46.375209,7659,262,15,0,21
20:21:46.404617,35953,265,6,0,21
20:21:46.493593,7659,272,16,0,21
20:21:46.527625,35953,275,14,0,21
20:21:46.559388,35953,278,4,0,21
20:21:46.589631,35953,280,16,0,21
20:21:46.618160,7659,283,6,0,21
20:21:46.704647,35953,290,16,0,21
20:21:46.735904,35953,293,4,0,21
20:21:46.743738,7659,293,16,0,21
20:21:46.766233,35953,295,14,0,21
20:21:46.795430,35953,298,4,0,21
20:21:46.865456,7659,304,6,0,21
20:21:46.910701,35953,308,5,0,21
20:21:47.050889,7659,314,15,0,21
20:21:47.099330,35953,318,16,0,21
20:21:47.168895,7659,324,16,0,21
20:21:47.196387,7659,327,4,0,21
20:21:47.220537,35953,329,6,0,21
20:21:47.313519,7659,337,5,0,21
20:21:47.341776,35953,339,14,0,21
20:21:47.342395,7659,339,15,0,21
20:21:47.368665,35953,342,0,0,21
20:21:47.437383,7659,348,0,0,21
20:21:47.458117,7659,349,16,0,21
20:21:47.462597,35953,350,4,0,21
20:21:47.485211,7659,352,4,0,21
20:21:47.491417,35953,352,15,0,21
20:21:47.514350,7659,354,15,0,21
20:21:47.606644,35953,362,16,0,21
20:21:47.629498,7659,364,16,0,21
20:21:47.634055,35953,365,4,0,21
20:21:47.656875,7659,367,4,0,21
20:21:47.685349,7659,369,14,0,21
20:21:47.714724,7659,372,5,0,21
20:21:47.743541,7659,374,15,0,21
20:21:47.749360,35953,375,5,0,21
20:21:47.778512,35953,377,15,0,21
20:21:47.851026,7659,384,16,0,21
20:21:47.886119,35953,388,5,0,21
20:21:47.958760,7659,395,6,0,21
20:21:47.992626,35953,398,14,0,21
20:21:48.064772,7659,405,16,0,21
20:21:48.099992,35953,409,4,0,21
20:21:48.172527,7659,416,6,0,21
20:21:48.202359,35953,419,5,0,21
20:21:48.278745,7659,426,15,0,21
20:21:48.308726,35953,429,15,0,21
20:21:48.379482,7659,436,16,0,21
20:21:48.403859,7659,439,4,0,21
20:21:48.414494,35953,440,5,0,21
20:21:48.429381,7659,441,14,0,21
20:21:48.432505,35953,442,0,0,21
20:21:48.494891,7659,448,0,0,19
20:21:48.523024,35953,450,14,0,21
20:21:48.538338,7659,452,4,0,21
20:21:48.548433,35953,453,4,0,21
20:21:48.564188,7659,454,15,0,21
20:21:48.573667,35953,455,14,0,21
20:21:48.598792,35953,458,4,0,21
20:21:48.669650,7659,465,5,0,21
20:21:48.699579,35953,468,5,0,21
20:21:48.775962,7659,475,15,0,21
20:21:48.801576,7659,478,5,0,21
20:21:48.807325,35953,478,16,0,21
20:21:48.908211,7659,488,14,0,21
20:21:48.914259,35953,489,6,0,21
20:21:48.933491,7659,491,4,0,21
20:21:49.096958,35953,499,14,0,21
20:21:49.114777,7659,501,5,0,21
20:21:49.126477,35953,502,5,0,21
20:21:49.156143,35953,504,15,0,21
20:21:49.237994,7659,511,15,0,21
20:21:49.273055,35953,514,16,0,21
20:21:49.359637,7659,522,5,0,21
20:21:49.394598,35953,525,6,0,21
20:21:49.480413,7659,532,14,0,21
20:21:49.509324,7659,535,4,0,21
20:21:49.516342,35953,535,16,0,21
20:21:49.537951,7659,537,14,0,21
20:21:49.566724,7659,540,4,0,21
20:21:49.587359,35953,542,0,0,21
20:21:49.636901,35953,546,6,0,21
20:21:49.656447,7659,548,0,0,21
20:21:49.682299,7659,550,5,0,21
20:21:49.756759,35953,556,15,0,21
20:21:49.804298,7659,560,17,0,15
20:21:49.873215,35953,566,16,0,21
20:21:49.900625,35953,569,4,0,21
20:21:49.927225,7659,571,10,0,21
20:21:50.016285,35953,579,5,0,21
20:21:50.044473,7659,581,14,0,21
20:21:50.045051,35953,581,15,0,21
20:21:50.073030,7659,584,4,0,21
20:21:50.102269,7659,586,15,0,21
20:21:50.160159,35953,591,16,0,21
20:21:50.187526,35953,594,4,0,21
20:21:50.216659,35953,596,15,0,21
20:21:50.217210,7659,596,16,0,21
20:21:50.244552,7659,599,4,0,21
20:21:50.273076,7659,601,14,0,21
20:21:50.301357,7659,604,4,0,21
20:21:50.330545,7659,606,15,0,21
20:21:50.331088,35953,606,16,0,21
20:21:50.358538,35953,609,4,0,21
20:21:50.387033,35953,611,14,0,21
20:21:50.415666,35953,614,4,0,21
20:21:50.444700,35953,616,15,0,21
20:21:50.445261,7659,616,16,0,21
20:21:50.472923,7659,619,4,0,21
20:21:50.501785,7659,621,14,0,21
20:21:50.530320,7659,624,4,0,21
20:21:50.559611,7659,626,15,0,21
20:21:50.560165,35953,626,16,0,21
20:21:50.587579,35953,629,4,0,21
20:21:50.616016,35953,631,14,0,21
20:21:50.644285,35953,634,4,0,21
20:21:50.673186,35953,636,15,0,21
20:21:50.673725,7659,636,16,0,21
20:21:50.733098,35953,642,0,0,21
20:21:50.787618,35953,646,16,0,21
