time,rnti,frame,slot,lcid,data_size
20:21:43.833792,35953,25,8,4,752
20:21:43.843221,35953,26,7,4,3712
20:21:43.843928,35953,26,8,4,7672
20:21:43.843928,35953,26,8,4,8632
20:21:43.844464,35953,26,9,4,3464
20:21:43.844464,35953,26,9,4,12056
20:21:43.844465,35953,26,9,4,1824
20:21:43.848283,35953,26,17,4,3712
20:21:43.849017,35953,26,18,4,6600
20:21:43.849017,35953,26,18,4,10760
20:21:43.849430,35953,26,19,4,1336
20:21:43.849431,35953,26,19,4,12056
20:21:43.849431,35953,26,19,4,3944
20:21:43.853354,35953,27,7,4,3712
20:21:43.854004,35953,27,8,4,4480
20:21:43.854004,35953,27,8,4,12056
20:21:43.854004,35953,27,8,4,784
20:21:43.854444,35953,27,9,4,11312
20:21:43.854444,35953,27,9,4,6048
20:21:43.858386,35953,27,17,4,3712
20:21:43.859059,35953,27,18,4,2376
20:21:43.859059,35953,27,18,4,12056
20:21:43.859059,35953,27,18,4,2904
20:21:43.859415,35953,27,19,4,9192
20:21:43.859415,35953,27,19,4,5856
20:21:43.863434,35953,28,7,4,3712
20:21:43.863990,35953,28,8,4,2568
20:21:43.863991,35953,28,8,4,12056
20:21:43.863991,35953,28,8,4,2688
20:21:43.864842,35953,28,9,4,9408
20:21:43.864842,35953,28,9,4,7952
20:21:43.868332,35953,28,17,4,3712
20:21:43.868972,35953,28,18,4,472
20:21:43.868973,35953,28,18,4,12056
20:21:43.868973,35953,28,18,4,4808
20:21:43.869640,35953,28,19,4,7288
20:21:43.869640,35953,28,19,4,10072
20:21:43.873653,35953,29,7,4,2024
20:21:43.873653,35953,29,7,4,1672
20:21:43.874363,35953,29,8,4,10424
20:21:43.874363,35953,29,8,4,6912
20:21:43.874789,35953,29,9,4,5184
20:21:43.874789,35953,29,9,4,12056
20:21:43.874789,35953,29,9,4,104
20:21:43.878629,35953,29,17,4,3712
20:21:43.879130,35953,29,18,4,8320
20:21:43.879130,35953,29,18,4,9040
20:21:43.879662,35953,29,19,4,3056
20:21:43.879663,35953,29,19,4,11992
20:21:43.883808,35953,30,7,4,104
20:21:43.883808,35953,30,7,4,3584
20:21:43.884231,35953,30,8,4,8512
20:21:43.884232,35953,30,8,4,8824
20:21:43.884922,35953,30,9,4,3272
20:21:43.884922,35953,30,9,4,12056
20:21:43.884922,35953,30,9,4,2016
20:21:43.888592,35953,30,17,4,3712
20:21:43.889200,35953,30,18,4,6408
20:21:43.889201,35953,30,18,4,10952
20:21:43.889734,35953,30,19,4,1144
20:21:43.889734,35953,30,19,4,12056
20:21:43.889735,35953,30,19,4,4136
20:21:43.893828,35953,31,7,4,3712
20:21:43.894328,35953,31,8,4,4288
20:21:43.894329,35953,31,8,4,12056
20:21:43.894329,35953,31,8,4,976
20:21:43.894738,35953,31,9,4,11120
20:21:43.894738,35953,31,9,4,6240
20:21:43.899095,35953,31,17,4,3712
20:21:43.899425,35953,31,18,4,2184
20:21:43.899426,35953,31,18,4,12056
20:21:43.899426,35953,31,18,4,3096
20:21:43.899940,35953,31,19,4,9000
20:21:43.899941,35953,31,19,4,6048
20:21:43.903608,35953,32,7,4,3712
20:21:43.904263,35953,32,8,4,2376
20:21:43.904263,35953,32,8,4,12056
20:21:43.904263,35953,32,8,4,1088
20:21:43.904864,35953,32,9,4,11008
20:21:43.904864,35953,32,9,4,4552
20:21:43.908591,35953,32,17,4,2168
20:21:43.908592,35953,32,17,4,1528
20:21:43.909390,35953,32,18,4,10568
20:21:43.909390,35953,32,18,4,6792
20:21:43.909714,35953,32,19,4,5304
20:21:43.909714,35953,32,19,4,12056
20:21:43.914039,35953,33,7,4,3712
20:21:43.914358,35953,33,8,4,8384
20:21:43.914358,35953,33,8,4,8952
20:21:43.914770,35953,33,9,4,3144
20:21:43.914771,35953,33,9,4,12056
20:21:43.914771,35953,33,9,4,2136
20:21:43.918549,35953,33,17,4,3712
20:21:43.919229,35953,33,18,4,6288
20:21:43.919229,35953,33,18,4,11072
20:21:43.919786,35953,33,19,4,1024
20:21:43.919787,35953,33,19,4,12056
20:21:43.919787,35953,33,19,4,1952
20:21:43.923612,35953,34,7,4,3712
20:21:43.924301,35953,34,8,4,6472
20:21:43.924302,35953,34,8,4,10864
20:21:43.924759,35953,34,9,4,1232
20:21:43.924760,35953,34,9,4,12056
20:21:43.924760,35953,34,9,4,4048
20:21:43.928556,35953,34,17,4,3712
20:21:43.929426,35953,34,18,4,4376
20:21:43.929427,35953,34,18,4,12056
20:21:43.929427,35953,34,18,4,912
20:21:43.929661,35953,34,19,4,11184
20:21:43.929661,35953,34,19,4,6176
20:21:43.933847,35953,35,7,4,3712
20:21:43.934283,35953,35,8,4,2248
20:21:43.934283,35953,35,8,4,12056
20:21:43.934283,35953,35,8,4,3008
20:21:43.934824,35953,35,9,4,9088
20:21:43.934824,35953,35,9,4,8272
20:21:43.938870,35953,35,17,4,3712
20:21:43.939448,35953,35,18,4,152
20:21:43.939449,35953,35,18,4,12056
