time,rnti,frame,slot,lcid,data_size,tx_list_occupancy
20:18:51.487638,35953,332,4,1,0,0
20:18:51.487639,35953,332,4,4,3,0
20:18:51.515725,35953,334,14,1,0,0
20:18:51.515725,35953,334,14,4,3,0
20:18:51.544008,35953,337,4,1,0,0
20:18:51.544009,35953,337,4,4,3,0
20:18:51.572274,35953,339,14,1,0,0
20:18:51.572275,35953,339,14,4,3,0
20:18:51.600680,35953,342,4,1,0,0
20:18:51.600681,35953,342,4,4,3,0
20:18:51.629063,35953,344,14,1,0,0
20:18:51.629064,35953,344,14,4,3,0
20:18:51.686340,35953,349,15,1,0,0
20:18:51.686341,35953,349,15,4,3,0
20:18:51.713853,35953,352,4,1,0,0
20:18:51.713853,35953,352,4,4,3,0
20:18:51.771295,35953,357,5,1,0,0
20:18:51.771296,35953,357,5,4,3,0
20:18:51.798962,35953,359,14,1,0,0
20:18:51.798963,35953,359,14,4,3,0
20:18:51.827092,35953,362,4,1,0,0
20:18:51.827094,35953,362,4,4,3,0
20:18:51.855510,35953,364,14,1,0,0
20:18:51.855511,35953,364,14,4,3,0
20:18:51.883901,35953,367,4,1,0,0
20:18:51.883902,35953,367,4,4,3,0
20:18:51.912424,35953,369,14,1,0,0
20:18:51.912425,35953,369,14,4,3,0
20:18:51.959499,35953,371,7,1,0,0
20:18:51.959500,35953,371,7,4,3,0
20:18:52.247429,7659,396,15,1,0,0
20:18:52.247430,7659,396,15,4,3,0
20:18:52.275173,7659,399,4,1,0,0
20:18:52.275175,7659,399,4,4,3,0
20:18:52.332099,7659,404,5,1,0,0
20:18:52.332101,7659,404,5,4,3,0
20:18:52.359590,7659,406,14,1,0,0
20:18:52.359592,7659,406,14,4,3,0
20:18:52.416942,7659,411,15,1,0,0
20:18:52.416943,7659,411,15,4,3,0
20:18:52.474671,7659,416,16,1,0,0
20:18:52.474672,7659,416,16,4,3,0
20:18:52.501982,7659,419,4,1,0,0
20:18:52.501984,7659,419,4,4,3,0
20:18:52.530301,7659,421,14,1,0,0
20:18:52.530302,7659,421,14,4,3,0
20:18:52.558476,7659,424,4,1,0,0
20:18:52.558477,7659,424,4,4,3,0
20:18:52.586761,7659,426,14,1,0,0
20:18:52.586762,7659,426,14,4,3,0
20:18:52.615079,7659,429,4,1,0,0
20:18:52.615080,7659,429,4,4,3,0
20:18:52.672121,7659,434,5,1,0,0
20:18:52.672122,7659,434,5,4,3,0
20:18:52.689545,7659,435,16,1,0,0
20:18:52.689546,7659,435,16,4,3,0
20:18:53.105916,35953,467,15,1,0,0
20:18:53.105918,35953,467,15,4,3,0
20:18:53.133928,35953,470,4,1,0,0
20:18:53.133930,35953,470,4,4,3,0
20:18:53.162194,35953,472,14,1,0,0
20:18:53.162196,35953,472,14,4,3,0
20:18:53.190504,35953,475,4,1,0,0
20:18:53.190506,35953,475,4,4,3,0
20:18:53.218859,35953,477,14,1,0,0
20:18:53.218860,35953,477,14,4,3,0
20:18:53.247562,35953,480,4,1,0,0
20:18:53.247564,35953,480,4,4,3,0
20:18:53.304861,35953,485,5,1,0,0
