time,eNB_ID,frame,subframe,rsrp,rssi,snr,rx_power,noise_power,w_cqi,freq_offset
20:18:41.031755,0,426,0,-2147483648,-183,-93,-90,3,-93,6
20:18:41.100438,0,432,0,-2147483648,-183,-90,-90,0,-90,6
20:18:42.123174,0,526,0,-2147483648,-183,-93,-90,3,-93,6
20:18:42.182144,0,532,0,-2147483648,-183,-93,-90,3,-93,6
20:18:43.179297,0,626,0,-2147483648,-183,-93,-90,3,-93,6
20:18:43.239558,0,632,0,-2147483648,-183,-93,-90,3,-93,6
20:18:44.269478,0,726,0,-2147483648,-183,-93,-90,3,-93,6
20:18:44.328435,0,732,0,-2147483648,-183,-93,-90,3,-93,6
20:18:45.279505,0,826,0,-2147483648,-183,-93,-90,3,-93,6
20:18:45.339531,0,832,0,-2147483648,-183,-93,-90,3,-93,6
20:18:46.311232,0,926,0,-2147483648,-183,-95,-90,5,-95,6
20:18:46.375687,0,932,0,-2147483648,-183,-93,-90,3,-93,6
20:18:47.403241,0,2,0,-2147483648,-183,-95,-90,5,-95,6
20:18:47.474835,0,8,0,-2147483648,-183,-93,-90,3,-93,6
20:18:48.663735,0,102,0,-2147483648,-183,-96,-90,6,-96,6
20:18:48.732104,0,108,0,-2147483648,-183,-93,-90,3,-93,6
20:18:49.910506,0,202,0,-2147483648,-183,-95,-90,5,-95,6
20:18:50.074433,0,208,0,-2147483648,-183,-93,-90,3,-93,6
20:18:51.144704,0,302,0,-2147483648,-183,-93,-90,3,-93,6
20:18:51.212491,0,308,0,-2147483648,-183,-93,-90,3,-93,6
20:18:52.307491,0,402,0,-2147483648,-183,-95,-90,5,-95,6
20:18:52.375593,0,408,0,-2147483648,-183,-93,-90,3,-93,6
20:18:53.496729,0,502,0,-2147483648,-183,-95,-90,5,-95,6
20:18:53.565493,0,508,0,-2147483648,-183,-90,-90,0,-90,6
20:18:54.678788,0,602,0,-2147483648,-183,-93,-90,3,-93,6
20:18:54.747554,0,608,0,-2147483648,-183,-95,-90,5,-95,6
20:18:55.854437,0,702,0,-2147483648,-183,-93,-90,3,-93,6
20:18:55.922921,0,708,0,-2147483648,-183,-90,-90,0,-90,6
20:18:56.265547,0,735,0,-2147483648,-183,-95,-90,5,-95,6
20:18:57.041403,0,802,0,-2147483648,-183,-93,-90,3,-93,6
20:18:57.158931,0,808,0,-2147483648,-183,-93,-90,3,-93,6
20:18:58.282231,0,902,0,-2147483648,-183,-95,-90,5,-95,6
20:18:58.350864,0,908,0,-2147483648,-183,-93,-90,3,-93,6
20:18:59.552678,0,1002,0,-2147483648,-183,-95,-90,5,-95,6
20:18:59.621744,0,1008,0,-2147483648,-183,-93,-90,3,-93,6
20:19:00.776045,0,78,0,-2147483648,-183,-90,-90,0,-90,6
20:19:00.845048,0,84,0,-2147483648,-183,-93,-90,3,-93,6
20:19:02.018223,0,178,0,-2147483648,-183,-95,-90,5,-95,6
20:19:02.085798,0,184,0,-2147483648,-183,-90,-90,0,-90,6
20:19:03.277402,0,278,0,-2147483648,-183,-93,-90,3,-93,6
20:19:03.346308,0,284,0,-2147483648,-183,-93,-90,3,-93,6
20:19:04.485086,0,378,0,-2147483648,-183,-93,-90,3,-93,6
20:19:04.553476,0,384,0,-2147483648,-183,-95,-90,5,-95,6
20:19:05.667503,0,478,0,-2147483648,-183,-95,-90,5,-95,6
20:19:05.735811,0,484,0,-2147483648,-183,-93,-90,3,-93,6
20:19:06.739972,0,578,0,-2147483648,-183,-93,-90,3,-93,6
20:19:06.800989,0,584,0,-2147483648,-183,-90,-90,0,-90,6
20:19:07.815955,0,678,0,-2147483648,-183,-93,-90,3,-93,6
20:19:07.876527,0,684,0,-2147483648,-183,-95,-90,5,-95,6
20:19:08.823923,0,778,0,-2147483648,-183,-93,-90,3,-93,6
20:19:08.885698,0,784,0,-2147483648,-183,-95,-90,5,-95,6
20:19:09.898692,0,878,0,-2147483648,-183,-95,-90,5,-95,6
20:19:09.958827,0,884,0,-2147483648,-183,-95,-90,5,-95,6
20:19:10.910905,0,978,0,-2147483648,-183,-90,-90,0,-90,6
20:19:10.983756,0,984,0,-2147483648,-183,-95,-90,5,-95,6
20:19:11.933731,0,54,0,-2147483648,-183,-93,-90,3,-93,6
20:19:12.006355,0,60,0,-2147483648,-183,-93,-90,3,-93,6
20:19:12.966012,0,154,0,-2147483648,-183,-93,-90,3,-93,6
20:19:13.025861,0,160,0,-2147483648,-183,-95,-90,5,-95,6
20:19:13.983145,0,254,0,-2147483648,-183,-93,-90,3,-93,6
20:19:14.042845,0,260,0,-2147483648,-183,-93,-90,3,-93,6
20:19:15.013866,0,354,0,-2147483648,-183,-93,-90,3,-93,6
20:19:15.073105,0,360,0,-2147483648,-183,-93,-90,3,-93,6
20:19:16.033290,0,454,0,-2147483648,-183,-90,-90,0,-90,6
20:19:16.093443,0,460,0,-2147483648,-183,-93,-90,3,-93,6
