ue_id,frame_id,message_id,scheduled_raw_ns,first_chunk_raw_ns,complete_raw_ns,complete_latency_ms,payload_bytes,chunks,onwire_bytes,checksum_expected,checksum_actual,checksum_ok,identity_ok,source_ip
0,100000000,368435456,890181430344027,890181596390834,890182029866165,599.522138,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000000,736870912,890182230344027,890182385975595,890182837923061,607.579034,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000001,368435457,890182980344027,890183187133416,890183655920648,675.576621,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000001,736870913,890183780344027,890183876209620,890184319980375,539.636348,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000002,368435458,890184580344027,890184695924718,890185133690360,553.346333,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000002,736870914,890185380344027,890185581605893,890186013913207,633.56918,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000003,368435459,890186180344027,890186354195659,890186860700850,680.356823,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000003,736870915,890186930344027,890187084146703,890187613439256,683.095229,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000004,368435460,890187730344027,890187842891893,890188282319615,551.975588,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000004,736870916,890188530344027,890188675579395,890189115278781,584.934754,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
