ue_id,frame_id,scheduled_raw_ns,scheduled_elapsed_s,demand_rate_mbps,controller,status,decision_raw_ns,send_start_raw_ns,send_end_raw_ns,send_lag_ms,payload_bytes,chunks,onwire_bytes,c_hat_mbps,c1_budget_mbps,admit_reason,local_error
0,100000000,890181430344027,0.15,2.08,decentralized_c1,sent,890181430447909,890181430448391,890181431363811,0.104364,409600,7,409852,5.2,3.6399999999999997,local_token_available,
1,200000000,890182230344027,0.95,2.08,decentralized_c1,sent,890182230437159,890182230437470,890182231156160,0.093443,409600,7,409852,5.2,3.6399999999999997,local_token_available,
0,100000001,890182980344027,1.7,2.08,decentralized_c1,sent,890182980446784,890182980447072,890182981282415,0.103045,409600,7,409852,5.2,3.6399999999999997,local_token_available,
1,200000001,890183780344027,2.5,2.08,decentralized_c1,sent,890183780540749,890183780541615,890183781419785,0.197588,409600,7,409852,5.2,3.6399999999999997,local_token_available,
0,100000002,890184580344027,3.3,2.08,decentralized_c1,sent,890184580439600,890184580439899,890184581301711,0.095872,409600,7,409852,5.2,3.6399999999999997,local_token_available,
1,200000002,890185380344027,4.1,2.08,decentralized_c1,sent,890185380452389,890185380452663,890185381303240,0.108636,409600,7,409852,5.2,3.6399999999999997,local_token_available,
0,100000003,890186180344027,4.9,2.08,decentralized_c1,sent,890186180461934,890186180462216,890186181293954,0.118189,409600,7,409852,5.2,3.6399999999999997,local_token_available,
1,200000003,890186930344027,5.65,2.08,decentralized_c1,sent,890186930489571,890186930489869,890186931376994,0.145842,409600,7,409852,5.2,3.6399999999999997,local_token_available,
0,100000004,890187730344027,6.45,2.08,decentralized_c1,sent,890187730458499,890187730459165,890187731331081,0.115138,409600,7,409852,5.2,3.6399999999999997,local_token_available,
1,200000004,890188530344027,7.25,2.08,decentralized_c1,sent,890188530450552,890188530450846,890188531311183,0.106819,409600,7,409852,5.2,3.6399999999999997,local_token_available,
