ue_id,frame_id,scheduled_raw_ns,scheduled_elapsed_s,demand_rate_mbps,controller,status,decision_raw_ns,send_start_raw_ns,send_end_raw_ns,send_lag_ms,payload_bytes,chunks,onwire_bytes,c_hat_mbps,c1_budget_mbps,admit_reason,local_error
1,200000000,890129903458189,0.2,2.08,open_loop,sent,890129903717716,890129903719183,890129904724570,0.260994,409600,7,409852,nan,nan,open_loop,
0,100000000,890130703458189,1.0,2.08,open_loop,sent,890130703536764,890130703537105,890130704233933,0.078916,409600,7,409852,nan,nan,open_loop,
1,200000001,890131453458189,1.75,2.08,open_loop,sent,890131453556531,890131453557510,890131455254599,0.099321,409600,7,409852,nan,nan,open_loop,
0,100000001,890132253458189,2.55,2.08,open_loop,sent,890132253542456,890132253543137,890132254394862,0.084948,409600,7,409852,nan,nan,open_loop,
1,200000002,890133053458189,3.35,2.08,open_loop,sent,890133053549049,890133053550097,890133054421413,0.091908,409600,7,409852,nan,nan,open_loop,
0,100000002,890133853458189,4.15,2.08,open_loop,sent,890133853531327,890133853532127,890133854458960,0.073938,409600,7,409852,nan,nan,open_loop,
1,200000003,890134603458189,4.9,2.08,open_loop,sent,890134603550532,890134603551260,890134604404598,0.093071,409600,7,409852,nan,nan,open_loop,
0,100000003,890135403458189,5.7,2.08,open_loop,sent,890135403540353,890135403540731,890135404394005,0.082542,409600,7,409852,nan,nan,open_loop,
1,200000004,890136203458189,6.5,2.08,open_loop,sent,890136203546056,890136203546778,890136204478103,0.088589,409600,7,409852,nan,nan,open_loop,
0,100000004,890137003458189,7.3,2.08,open_loop,sent,890137003574172,890137003575661,890137004419540,0.117472,409600,7,409852,nan,nan,open_loop,
1,200000005,890137753458189,8.05,2.08,open_loop,sent,890137753720957,890137753722451,890137754637749,0.264262,409600,7,409852,nan,nan,open_loop,
0,100000005,890138553458189,8.85,2.08,open_loop,sent,890138553676531,890138553677762,890138554488014,0.219573,409600,7,409852,nan,nan,open_loop,
1,200000006,890139353458189,9.65,2.08,open_loop,sent,890139353721285,890139353722190,890139354631281,0.264001,409600,7,409852,nan,nan,open_loop,
0,100000006,890140153458189,10.45,2.08,open_loop,sent,890140153573337,890140153574890,890140154421329,0.116701,409600,7,409852,nan,nan,open_loop,
1,200000007,890140953458189,11.25,2.08,open_loop,sent,890140953548200,890140953548835,890140954459021,0.090646,409600,7,409852,nan,nan,open_loop,
0,100000007,890141703458189,12.0,2.08,open_loop,sent,890141703536529,890141703536939,890141704251977,0.07875,409600,7,409852,nan,nan,open_loop,
1,200000008,890142503458189,12.8,2.08,open_loop,sent,890142503609060,890142503609446,890142504361414,0.151257,409600,7,409852,nan,nan,open_loop,
0,100000008,890143303458189,13.6,2.08,open_loop,sent,890143303649526,890143303650101,890143304458070,0.191912,409600,7,409852,nan,nan,open_loop,
1,200000009,890144103458189,14.4,2.08,open_loop,sent,890144103557824,890144103558325,890144104446189,0.100136,409600,7,409852,nan,nan,open_loop,
