time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
19:44:42.755700,587,8,23716,5,0,6,28,3840
19:44:42.767158,588,7,23716,23,0,6,28,3840
19:44:42.779485,589,7,23716,23,0,6,28,3840
19:44:42.791914,590,7,23716,23,0,6,28,3840
19:44:42.792296,590,8,57405,5,0,6,28,3840
19:44:42.803741,591,7,57405,23,0,6,28,3840
19:44:42.815510,592,7,57405,23,0,6,28,3840
19:44:42.827458,593,7,57405,23,0,6,28,3840
19:44:42.908739,600,8,23716,5,0,6,28,3496
19:44:42.919211,601,7,23716,21,0,6,28,3496
19:44:42.930774,602,7,23716,21,0,6,28,3496
19:44:42.942712,603,7,23716,21,0,6,28,3496
19:44:42.943429,603,8,57405,5,0,6,28,3840
19:44:42.954403,604,7,57405,23,0,6,28,3840
19:44:42.966352,605,7,57405,23,0,6,28,3840
19:44:42.977790,606,7,57405,23,0,6,28,3840
19:44:43.060359,613,8,23716,5,0,6,28,3840
19:44:43.071421,614,7,23716,23,0,6,28,3840
19:44:43.082765,615,7,23716,23,0,6,28,3840
19:44:43.094368,616,7,23716,23,0,6,28,3840
19:44:43.095007,616,8,57405,5,0,6,28,3496
19:44:43.105733,617,7,57405,21,0,6,28,3496
19:44:43.117648,618,7,57405,21,0,6,28,3496
19:44:43.128788,619,7,57405,21,0,6,28,3496
19:44:43.210615,626,8,23716,5,0,6,28,3840
19:44:43.221967,627,7,23716,23,0,6,28,3840
19:44:43.233160,628,7,23716,23,0,6,28,3840
19:44:43.244701,629,7,23716,23,0,6,28,3840
19:44:43.245471,629,8,57405,5,0,6,28,3840
19:44:43.256301,630,7,57405,23,0,6,28,3840
19:44:43.267878,631,7,57405,23,0,6,28,3840
19:44:43.279065,632,7,57405,23,0,6,28,3840
19:44:43.361443,639,8,23716,5,0,6,28,3840
19:44:43.372684,640,7,23716,23,0,6,28,3840
19:44:43.383878,641,7,23716,23,0,6,28,3840
19:44:43.394956,642,7,23716,23,0,6,28,3840
19:44:43.395662,642,8,57405,5,0,6,28,3840
19:44:43.406089,643,7,57405,23,0,6,28,3840
19:44:43.417242,644,7,57405,23,0,6,28,3840
19:44:43.428868,645,7,57405,23,0,6,28,3840
19:44:43.508578,652,8,23716,5,0,6,28,3840
19:44:43.519352,653,7,23716,23,0,6,28,3840
19:44:43.530690,654,7,23716,23,0,6,28,3840
19:44:43.542106,655,7,23716,23,0,6,28,3840
19:44:43.542647,655,8,57405,5,0,6,28,3840
19:44:43.553246,656,7,57405,23,0,6,28,3840
19:44:43.564883,657,7,57405,23,0,6,28,3840
19:44:43.576339,658,7,57405,23,0,6,28,3840
19:44:43.657156,665,8,23716,5,0,6,28,3840
19:44:43.668209,666,7,23716,23,0,6,28,3840
19:44:43.679698,667,7,23716,23,0,6,28,3840
19:44:43.691330,668,7,23716,23,0,6,28,3840
19:44:43.692074,668,8,57405,5,0,6,28,3840
19:44:43.703062,669,7,57405,23,0,6,28,3840
19:44:43.714448,670,7,57405,23,0,6,28,3840
19:44:43.725564,671,7,57405,23,0,6,28,3840
19:44:43.807180,678,8,23716,5,0,6,27,3752
19:44:43.818080,679,7,23716,23,0,6,27,3752
19:44:43.829791,680,7,23716,23,0,6,27,3752
19:44:43.841087,681,7,23716,23,0,6,27,3752
19:44:43.841769,681,8,57405,5,0,6,27,3752
19:44:43.852957,682,7,57405,23,0,6,27,3752
19:44:43.864864,683,7,57405,23,0,6,27,3752
19:44:43.876542,684,7,57405,23,0,6,27,3752
19:44:43.986971,691,8,23716,5,0,6,27,3752
19:44:43.997693,692,7,23716,23,0,6,27,3752
19:44:44.008748,693,7,23716,23,0,6,27,3752
19:44:44.020020,694,7,23716,23,0,6,27,3752
19:44:44.020440,694,8,57405,5,0,6,27,3752
19:44:44.031412,695,7,57405,23,0,6,27,3752
19:44:44.042512,696,7,57405,23,0,6,27,3752
19:44:44.053933,697,7,57405,23,0,6,27,3752
19:44:44.134321,704,8,23716,5,0,6,25,3104
19:44:44.145191,705,7,23716,21,0,6,25,3104
19:44:44.156254,706,7,23716,21,0,6,25,3104
19:44:44.167846,707,7,23716,21,0,6,25,3104
19:44:44.168125,707,8,57405,5,0,6,25,3368
19:44:44.178830,708,7,57405,23,0,6,25,3368
19:44:44.190278,709,7,57405,23,0,6,25,3368
19:44:44.201480,710,7,57405,23,0,6,25,3368
19:44:44.282532,717,8,23716,5,0,6,23,2976
19:44:44.293588,718,7,23716,23,0,6,23,2976
19:44:44.304639,719,7,23716,23,0,6,23,2976
19:44:44.316275,720,7,23716,23,0,6,23,2976
19:44:44.316679,720,8,57405,5,0,6,23,2664
19:44:44.327822,721,7,57405,21,0,6,23,2664
19:44:44.339299,722,7,57405,21,0,6,23,2664
19:44:44.350696,723,7,57405,21,0,6,23,2664
19:44:44.431335,730,8,23716,5,0,6,22,2728
19:44:44.442080,731,7,23716,23,0,6,22,2728
19:44:44.453985,732,7,23716,23,0,6,22,2728
19:44:44.465192,733,7,23716,23,0,6,22,2728
19:44:44.465691,733,8,57405,5,0,6,22,2728
19:44:44.476557,734,7,57405,23,0,6,22,2728
19:44:44.488342,735,7,57405,23,0,6,22,2728
19:44:44.499581,736,7,57405,23,0,6,22,2728
19:44:44.580406,743,8,23716,5,0,6,20,2280
19:44:44.591246,744,7,23716,23,0,6,20,2280
19:44:44.602977,745,7,23716,23,0,6,20,2280
19:44:44.614024,746,7,23716,23,0,6,20,2280
19:44:44.614936,746,8,57405,5,0,6,20,2280
19:44:44.625213,747,7,57405,23,0,6,20,2280
19:44:44.636898,748,7,57405,23,0,6,20,2280
