time,rnti,ue_id,frame,slot,lcid,lcgid,bytes_in_buffer,bj,pbr,priority
19:44:42.720495,23716,1,584,17,1,0,0,2147483647,-1,1
19:44:42.720495,23716,1,584,17,2,0,0,2147483647,-1,3
19:44:42.720496,23716,1,584,17,4,1,0,177978,8000,13
19:44:42.720761,57405,0,584,17,1,0,0,2147483647,-1,1
19:44:42.720761,57405,0,584,17,2,0,0,2147483647,-1,3
19:44:42.720762,57405,0,584,17,4,1,0,177958,8000,13
19:44:42.721034,23716,1,584,18,1,0,0,2147483647,-1,1
19:44:42.721034,23716,1,584,18,2,0,0,2147483647,-1,3
19:44:42.721035,23716,1,584,18,4,1,0,178010,8000,13
19:44:42.721248,57405,0,584,18,1,0,0,2147483647,-1,1
19:44:42.721248,57405,0,584,18,2,0,0,2147483647,-1,3
19:44:42.721248,57405,0,584,18,4,1,0,177990,8000,13
19:44:42.721619,23716,1,584,19,1,0,0,2147483647,-1,1
19:44:42.721620,23716,1,584,19,2,0,0,2147483647,-1,3
19:44:42.721620,23716,1,584,19,4,1,0,178014,8000,13
19:44:42.721878,57405,0,584,19,1,0,0,2147483647,-1,1
19:44:42.721878,57405,0,584,19,2,0,0,2147483647,-1,3
19:44:42.721878,57405,0,584,19,4,1,0,177994,8000,13
19:44:42.726528,23716,1,585,7,1,0,0,2147483647,-1,1
19:44:42.726528,23716,1,585,7,2,0,0,2147483647,-1,3
19:44:42.726529,23716,1,585,7,4,1,0,178018,8000,13
19:44:42.726791,57405,0,585,7,1,0,0,2147483647,-1,1
19:44:42.726791,57405,0,585,7,2,0,0,2147483647,-1,3
19:44:42.726792,57405,0,585,7,4,1,0,177998,8000,13
19:44:42.727084,23716,1,585,8,1,0,0,2147483647,-1,1
19:44:42.727084,23716,1,585,8,2,0,0,2147483647,-1,3
19:44:42.727085,23716,1,585,8,4,1,0,178050,8000,13
19:44:42.727347,57405,0,585,8,1,0,0,2147483647,-1,1
19:44:42.727347,57405,0,585,8,2,0,0,2147483647,-1,3
19:44:42.727347,57405,0,585,8,4,1,0,178030,8000,13
19:44:42.727710,23716,1,585,9,1,0,0,2147483647,-1,1
19:44:42.727710,23716,1,585,9,2,0,0,2147483647,-1,3
19:44:42.727711,23716,1,585,9,4,1,0,178054,8000,13
19:44:42.727976,57405,0,585,9,1,0,0,2147483647,-1,1
19:44:42.727976,57405,0,585,9,2,0,0,2147483647,-1,3
19:44:42.727976,57405,0,585,9,4,1,0,178034,8000,13
19:44:42.732464,23716,1,585,17,1,0,0,2147483647,-1,1
19:44:42.732464,23716,1,585,17,2,0,0,2147483647,-1,3
19:44:42.732465,23716,1,585,17,4,1,0,178058,8000,13
19:44:42.732722,57405,0,585,17,1,0,0,2147483647,-1,1
19:44:42.732723,57405,0,585,17,2,0,0,2147483647,-1,3
19:44:42.732723,57405,0,585,17,4,1,0,178038,8000,13
19:44:42.733068,23716,1,585,18,1,0,0,2147483647,-1,1
19:44:42.733068,23716,1,585,18,2,0,0,2147483647,-1,3
19:44:42.733068,23716,1,585,18,4,1,0,178090,8000,13
19:44:42.733299,57405,0,585,18,1,0,0,2147483647,-1,1
19:44:42.733299,57405,0,585,18,2,0,0,2147483647,-1,3
19:44:42.733299,57405,0,585,18,4,1,0,178070,8000,13
19:44:42.733659,23716,1,585,19,1,0,0,2147483647,-1,1
19:44:42.733659,23716,1,585,19,2,0,0,2147483647,-1,3
19:44:42.733659,23716,1,585,19,4,1,0,178094,8000,13
19:44:42.733930,57405,0,585,19,1,0,0,2147483647,-1,1
19:44:42.733931,57405,0,585,19,2,0,0,2147483647,-1,3
19:44:42.733931,57405,0,585,19,4,1,0,178074,8000,13
19:44:42.738431,23716,1,586,7,1,0,0,2147483647,-1,1
19:44:42.738431,23716,1,586,7,2,0,0,2147483647,-1,3
19:44:42.738431,23716,1,586,7,4,1,0,178098,8000,13
19:44:42.738695,57405,0,586,7,1,0,0,2147483647,-1,1
19:44:42.738695,57405,0,586,7,2,0,0,2147483647,-1,3
19:44:42.738695,57405,0,586,7,4,1,0,178078,8000,13
19:44:42.739085,23716,1,586,8,1,0,0,2147483647,-1,1
19:44:42.739085,23716,1,586,8,2,0,0,2147483647,-1,3
19:44:42.739086,23716,1,586,8,4,1,0,178130,8000,13
19:44:42.739325,57405,0,586,8,1,0,0,2147483647,-1,1
19:44:42.739325,57405,0,586,8,2,0,0,2147483647,-1,3
19:44:42.739325,57405,0,586,8,4,1,0,178110,8000,13
19:44:42.739677,23716,1,586,9,1,0,0,2147483647,-1,1
19:44:42.739677,23716,1,586,9,2,0,0,2147483647,-1,3
19:44:42.739678,23716,1,586,9,4,1,0,178134,8000,13
19:44:42.739937,57405,0,586,9,1,0,0,2147483647,-1,1
19:44:42.739937,57405,0,586,9,2,0,0,2147483647,-1,3
19:44:42.739938,57405,0,586,9,4,1,0,178114,8000,13
19:44:42.744582,23716,1,586,17,1,0,0,2147483647,-1,1
19:44:42.744583,23716,1,586,17,2,0,0,2147483647,-1,3
19:44:42.744583,23716,1,586,17,4,1,0,178138,8000,13
19:44:42.744684,57405,0,586,17,1,0,0,2147483647,-1,1
19:44:42.744684,57405,0,586,17,2,0,0,2147483647,-1,3
19:44:42.744684,57405,0,586,17,4,1,0,178118,8000,13
19:44:42.744895,23716,1,586,18,1,0,0,2147483647,-1,1
19:44:42.744895,23716,1,586,18,2,0,0,2147483647,-1,3
19:44:42.744896,23716,1,586,18,4,1,0,178170,8000,13
19:44:42.745160,57405,0,586,18,1,0,0,2147483647,-1,1
19:44:42.745160,57405,0,586,18,2,0,0,2147483647,-1,3
19:44:42.745161,57405,0,586,18,4,1,0,178150,8000,13
19:44:42.745552,23716,1,586,19,1,0,0,2147483647,-1,1
19:44:42.745552,23716,1,586,19,2,0,0,2147483647,-1,3
19:44:42.745552,23716,1,586,19,4,1,0,178174,8000,13
19:44:42.745715,57405,0,586,19,1,0,0,2147483647,-1,1
19:44:42.745715,57405,0,586,19,2,0,0,2147483647,-1,3
19:44:42.745716,57405,0,586,19,4,1,0,178154,8000,13
19:44:42.750078,23716,1,587,7,1,0,0,2147483647,-1,1
19:44:42.750078,23716,1,587,7,2,0,0,2147483647,-1,3
19:44:42.750079,23716,1,587,7,4,1,0,178178,8000,13
19:44:42.750341,57405,0,587,7,1,0,0,2147483647,-1,1
19:44:42.750341,57405,0,587,7,2,0,0,2147483647,-1,3
19:44:42.750341,57405,0,587,7,4,1,0,178158,8000,13
19:44:42.750685,23716,1,587,8,1,0,0,2147483647,-1,1
19:44:42.750686,23716,1,587,8,2,0,0,2147483647,-1,3
19:44:42.750686,23716,1,587,8,4,1,0,178210,8000,13
19:44:42.750951,57405,0,587,8,1,0,0,2147483647,-1,1
19:44:42.750951,57405,0,587,8,2,0,0,2147483647,-1,3
19:44:42.750952,57405,0,587,8,4,1,0,178190,8000,13
19:44:42.751351,23716,1,587,9,1,0,0,2147483647,-1,1
19:44:42.751351,23716,1,587,9,2,0,0,2147483647,-1,3
19:44:42.751352,23716,1,587,9,4,1,0,178214,8000,13
19:44:42.751617,57405,0,587,9,1,0,0,2147483647,-1,1
19:44:42.751617,57405,0,587,9,2,0,0,2147483647,-1,3
19:44:42.751617,57405,0,587,9,4,1,0,178194,8000,13
19:44:42.756499,23716,1,587,17,1,0,0,2147483647,-1,1
19:44:42.756499,23716,1,587,17,2,0,0,2147483647,-1,3
19:44:42.756500,23716,1,587,17,4,1,0,178218,8000,13
19:44:42.756573,57405,0,587,17,1,0,0,2147483647,-1,1
19:44:42.756573,57405,0,587,17,2,0,0,2147483647,-1,3
19:44:42.756574,57405,0,587,17,4,1,0,178198,8000,13
19:44:42.756858,23716,1,587,18,1,0,0,2147483647,-1,1
19:44:42.756858,23716,1,587,18,2,0,0,2147483647,-1,3
19:44:42.756858,23716,1,587,18,4,1,0,178250,8000,13
19:44:42.757124,57405,0,587,18,1,0,0,2147483647,-1,1
19:44:42.757125,57405,0,587,18,2,0,0,2147483647,-1,3
19:44:42.757125,57405,0,587,18,4,1,0,178230,8000,13
19:44:42.757509,23716,1,587,19,1,0,0,2147483647,-1,1
19:44:42.757509,23716,1,587,19,2,0,0,2147483647,-1,3
19:44:42.757509,23716,1,587,19,4,1,0,178254,8000,13
19:44:42.757635,57405,0,587,19,1,0,0,2147483647,-1,1
19:44:42.757636,57405,0,587,19,2,0,0,2147483647,-1,3
19:44:42.757636,57405,0,587,19,4,1,0,178234,8000,13
19:44:42.762018,23716,1,588,7,1,0,0,2147483647,-1,1
19:44:42.762019,23716,1,588,7,2,0,0,2147483647,-1,3
19:44:42.762019,23716,1,588,7,4,1,0,178258,8000,13
19:44:42.762285,57405,0,588,7,1,0,0,2147483647,-1,1
19:44:42.762286,57405,0,588,7,2,0,0,2147483647,-1,3
19:44:42.762286,57405,0,588,7,4,1,0,178238,8000,13
19:44:42.762680,23716,1,588,8,1,0,0,2147483647,-1,1
19:44:42.762680,23716,1,588,8,2,0,0,2147483647,-1,3
19:44:42.762680,23716,1,588,8,4,1,0,178290,8000,13
19:44:42.762943,57405,0,588,8,1,0,0,2147483647,-1,1
19:44:42.762943,57405,0,588,8,2,0,0,2147483647,-1,3
19:44:42.762943,57405,0,588,8,4,1,0,178270,8000,13
19:44:42.763219,23716,1,588,9,1,0,0,2147483647,-1,1
19:44:42.763219,23716,1,588,9,2,0,0,2147483647,-1,3
19:44:42.763220,23716,1,588,9,4,1,0,178294,8000,13
19:44:42.763486,57405,0,588,9,1,0,0,2147483647,-1,1
19:44:42.763486,57405,0,588,9,2,0,0,2147483647,-1,3
19:44:42.763486,57405,0,588,9,4,1,0,178274,8000,13
19:44:42.768159,23716,1,588,17,1,0,0,2147483647,-1,1
19:44:42.768159,23716,1,588,17,2,0,0,2147483647,-1,3
19:44:42.768159,23716,1,588,17,4,1,0,178298,8000,13
19:44:42.768425,57405,0,588,17,1,0,0,2147483647,-1,1
19:44:42.768425,57405,0,588,17,2,0,0,2147483647,-1,3
19:44:42.768426,57405,0,588,17,4,1,0,178278,8000,13
19:44:42.768731,23716,1,588,18,1,0,0,2147483647,-1,1
19:44:42.768732,23716,1,588,18,2,0,0,2147483647,-1,3
19:44:42.768732,23716,1,588,18,4,1,0,178330,8000,13
19:44:42.768985,57405,0,588,18,1,0,0,2147483647,-1,1
19:44:42.768985,57405,0,588,18,2,0,0,2147483647,-1,3
19:44:42.768985,57405,0,588,18,4,1,0,178310,8000,13
19:44:42.769370,23716,1,588,19,1,0,0,2147483647,-1,1
19:44:42.769371,23716,1,588,19,2,0,0,2147483647,-1,3
19:44:42.769371,23716,1,588,19,4,1,0,178334,8000,13
19:44:42.769635,57405,0,588,19,1,0,0,2147483647,-1,1
19:44:42.769635,57405,0,588,19,2,0,0,2147483647,-1,3
19:44:42.769635,57405,0,588,19,4,1,0,178314,8000,13
19:44:42.774256,23716,1,589,7,1,0,0,2147483647,-1,1
19:44:42.774256,23716,1,589,7,2,0,0,2147483647,-1,3
19:44:42.774256,23716,1,589,7,4,1,0,178338,8000,13
19:44:42.774523,57405,0,589,7,1,0,0,2147483647,-1,1
19:44:42.774523,57405,0,589,7,2,0,0,2147483647,-1,3
19:44:42.774524,57405,0,589,7,4,1,0,178318,8000,13
19:44:42.774809,23716,1,589,8,1,0,0,2147483647,-1,1
19:44:42.774809,23716,1,589,8,2,0,0,2147483647,-1,3
19:44:42.774809,23716,1,589,8,4,1,0,178370,8000,13
19:44:42.775039,57405,0,589,8,1,0,0,2147483647,-1,1
19:44:42.775039,57405,0,589,8,2,0,0,2147483647,-1,3
19:44:42.775039,57405,0,589,8,4,1,0,178350,8000,13
19:44:42.775399,23716,1,589,9,1,0,0,2147483647,-1,1
19:44:42.775399,23716,1,589,9,2,0,0,2147483647,-1,3
19:44:42.775399,23716,1,589,9,4,1,0,178374,8000,13
19:44:42.775659,57405,0,589,9,1,0,0,2147483647,-1,1
19:44:42.775659,57405,0,589,9,2,0,0,2147483647,-1,3
19:44:42.775660,57405,0,589,9,4,1,0,178354,8000,13
19:44:42.780434,23716,1,589,17,1,0,0,2147483647,-1,1
19:44:42.780435,23716,1,589,17,2,0,0,2147483647,-1,3
19:44:42.780435,23716,1,589,17,4,1,0,178378,8000,13
19:44:42.780701,57405,0,589,17,1,0,0,2147483647,-1,1
19:44:42.780701,57405,0,589,17,2,0,0,2147483647,-1,3
19:44:42.780702,57405,0,589,17,4,1,0,178358,8000,13
19:44:42.781036,23716,1,589,18,1,0,0,2147483647,-1,1
19:44:42.781036,23716,1,589,18,2,0,0,2147483647,-1,3
19:44:42.781036,23716,1,589,18,4,1,0,178410,8000,13
19:44:42.781263,57405,0,589,18,1,0,0,2147483647,-1,1
19:44:42.781263,57405,0,589,18,2,0,0,2147483647,-1,3
19:44:42.781263,57405,0,589,18,4,1,0,178390,8000,13
19:44:42.781635,23716,1,589,19,1,0,0,2147483647,-1,1
19:44:42.781635,23716,1,589,19,2,0,0,2147483647,-1,3
19:44:42.781635,23716,1,589,19,4,1,0,178414,8000,13
19:44:42.781900,57405,0,589,19,1,0,0,2147483647,-1,1
19:44:42.781900,57405,0,589,19,2,0,0,2147483647,-1,3
19:44:42.781901,57405,0,589,19,4,1,0,178394,8000,13
19:44:42.786611,23716,1,590,7,1,0,0,2147483647,-1,1
19:44:42.786611,23716,1,590,7,2,0,0,2147483647,-1,3
19:44:42.786611,23716,1,590,7,4,1,0,178418,8000,13
19:44:42.786878,57405,0,590,7,1,0,0,2147483647,-1,1
19:44:42.786879,57405,0,590,7,2,0,0,2147483647,-1,3
19:44:42.786879,57405,0,590,7,4,1,0,178398,8000,13
19:44:42.787179,23716,1,590,8,1,0,0,2147483647,-1,1
19:44:42.787179,23716,1,590,8,2,0,0,2147483647,-1,3
19:44:42.787179,23716,1,590,8,4,1,0,178450,8000,13
19:44:42.787442,57405,0,590,8,1,0,0,2147483647,-1,1
19:44:42.787442,57405,0,590,8,2,0,0,2147483647,-1,3
19:44:42.787442,57405,0,590,8,4,1,0,178430,8000,13
19:44:42.787730,23716,1,590,9,1,0,0,2147483647,-1,1
19:44:42.787730,23716,1,590,9,2,0,0,2147483647,-1,3
19:44:42.787730,23716,1,590,9,4,1,0,178454,8000,13
19:44:42.787977,57405,0,590,9,1,0,0,2147483647,-1,1
19:44:42.787978,57405,0,590,9,2,0,0,2147483647,-1,3
19:44:42.787978,57405,0,590,9,4,1,0,178434,8000,13
19:44:42.792565,23716,1,590,17,1,0,0,2147483647,-1,1
19:44:42.792565,23716,1,590,17,2,0,0,2147483647,-1,3
19:44:42.792565,23716,1,590,17,4,1,0,178458,8000,13
19:44:42.792828,57405,0,590,17,1,0,0,2147483647,-1,1
19:44:42.792829,57405,0,590,17,2,0,0,2147483647,-1,3
19:44:42.792829,57405,0,590,17,4,1,0,178438,8000,13
19:44:42.793168,23716,1,590,18,1,0,0,2147483647,-1,1
19:44:42.793168,23716,1,590,18,2,0,0,2147483647,-1,3
19:44:42.793168,23716,1,590,18,4,1,0,178490,8000,13
19:44:42.793426,57405,0,590,18,1,0,0,2147483647,-1,1
19:44:42.793426,57405,0,590,18,2,0,0,2147483647,-1,3
19:44:42.793426,57405,0,590,18,4,1,0,178470,8000,13
19:44:42.793731,23716,1,590,19,1,0,0,2147483647,-1,1
