time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
19:44:42.750696,587,8,23716,5,0,6,28,3840
19:44:42.762024,588,7,23716,23,0,6,28,3840
19:44:42.774261,589,7,23716,23,0,6,28,3840
19:44:42.786614,590,7,23716,23,0,6,28,3840
19:44:42.787452,590,8,57405,5,0,6,28,3840
19:44:42.798867,591,7,57405,23,0,6,28,3840
19:44:42.810694,592,7,57405,23,0,6,28,3840
19:44:42.822427,593,7,57405,23,0,6,28,3840
19:44:42.903470,600,8,23716,5,0,6,28,3496
19:44:42.914668,601,7,23716,21,0,6,28,3496
19:44:42.925816,602,7,23716,21,0,6,28,3496
19:44:42.938079,603,7,23716,21,0,6,28,3496
19:44:42.938666,603,8,57405,5,0,6,28,3840
19:44:42.949944,604,7,57405,23,0,6,28,3840
19:44:42.961699,605,7,57405,23,0,6,28,3840
19:44:42.973282,606,7,57405,23,0,6,28,3840
19:44:43.055515,613,8,23716,5,0,6,28,3840
19:44:43.066396,614,7,23716,23,0,6,28,3840
19:44:43.078055,615,7,23716,23,0,6,28,3840
19:44:43.089600,616,7,23716,23,0,6,28,3840
19:44:43.090283,616,8,57405,5,0,6,28,3496
19:44:43.101221,617,7,57405,21,0,6,28,3496
19:44:43.112679,618,7,57405,21,0,6,28,3496
19:44:43.124142,619,7,57405,21,0,6,28,3496
19:44:43.206017,626,8,23716,5,0,6,28,3840
19:44:43.217156,627,7,23716,23,0,6,28,3840
19:44:43.228623,628,7,23716,23,0,6,28,3840
19:44:43.240271,629,7,23716,23,0,6,28,3840
19:44:43.240988,629,8,57405,5,0,6,28,3840
19:44:43.251863,630,7,57405,23,0,6,28,3840
19:44:43.263508,631,7,57405,23,0,6,28,3840
19:44:43.274689,632,7,57405,23,0,6,28,3840
19:44:43.356675,639,8,23716,5,0,6,28,3840
19:44:43.367961,640,7,23716,23,0,6,28,3840
19:44:43.379484,641,7,23716,23,0,6,28,3840
19:44:43.390591,642,7,23716,23,0,6,28,3840
19:44:43.391219,642,8,57405,5,0,6,28,3840
19:44:43.401834,643,7,57405,23,0,6,28,3840
19:44:43.412942,644,7,57405,23,0,6,28,3840
19:44:43.424468,645,7,57405,23,0,6,28,3840
19:44:43.504012,652,8,23716,5,0,6,28,3840
19:44:43.514620,653,7,23716,23,0,6,28,3840
19:44:43.526209,654,7,23716,23,0,6,28,3840
19:44:43.537704,655,7,23716,23,0,6,28,3840
19:44:43.538367,655,8,57405,5,0,6,28,3840
19:44:43.548974,656,7,57405,23,0,6,28,3840
19:44:43.560150,657,7,57405,23,0,6,28,3840
19:44:43.571969,658,7,57405,23,0,6,28,3840
19:44:43.652483,665,8,23716,5,0,6,28,3840
19:44:43.663301,666,7,23716,23,0,6,28,3840
19:44:43.675332,667,7,23716,23,0,6,28,3840
19:44:43.686668,668,7,23716,23,0,6,28,3840
19:44:43.687503,668,8,57405,5,0,6,28,3840
19:44:43.698415,669,7,57405,23,0,6,28,3840
19:44:43.710071,670,7,57405,23,0,6,28,3840
19:44:43.721513,671,7,57405,23,0,6,28,3840
19:44:43.802287,678,8,23716,5,0,6,27,3752
19:44:43.813511,679,7,23716,23,0,6,27,3752
19:44:43.824811,680,7,23716,23,0,6,27,3752
19:44:43.836822,681,7,23716,23,0,6,27,3752
19:44:43.837539,681,8,57405,5,0,6,27,3752
19:44:43.848584,682,7,57405,23,0,6,27,3752
19:44:43.860302,683,7,57405,23,0,6,27,3752
19:44:43.872178,684,7,57405,23,0,6,27,3752
19:44:43.982268,691,8,23716,5,0,6,27,3752
19:44:43.992978,692,7,23716,23,0,6,27,3752
19:44:44.004313,693,7,23716,23,0,6,27,3752
19:44:44.015384,694,7,23716,23,0,6,27,3752
19:44:44.016064,694,8,57405,5,0,6,27,3752
19:44:44.027100,695,7,57405,23,0,6,27,3752
19:44:44.038238,696,7,57405,23,0,6,27,3752
19:44:44.049529,697,7,57405,23,0,6,27,3752
19:44:44.129855,704,8,23716,5,0,6,25,3104
19:44:44.140463,705,7,23716,21,0,6,25,3104
19:44:44.152001,706,7,23716,21,0,6,25,3104
19:44:44.162985,707,7,23716,21,0,6,25,3104
19:44:44.163828,707,8,57405,5,0,6,25,3368
19:44:44.174790,708,7,57405,23,0,6,25,3368
19:44:44.185728,709,7,57405,23,0,6,25,3368
19:44:44.197459,710,7,57405,23,0,6,25,3368
19:44:44.278067,717,8,23716,5,0,6,23,2976
19:44:44.288536,718,7,23716,23,0,6,23,2976
19:44:44.299987,719,7,23716,23,0,6,23,2976
19:44:44.311577,720,7,23716,23,0,6,23,2976
19:44:44.312560,720,8,57405,5,0,6,23,2664
19:44:44.323223,721,7,57405,21,0,6,23,2664
19:44:44.334895,722,7,57405,21,0,6,23,2664
19:44:44.346208,723,7,57405,21,0,6,23,2664
19:44:44.426615,730,8,23716,5,0,6,22,2728
19:44:44.437520,731,7,23716,23,0,6,22,2728
19:44:44.449172,732,7,23716,23,0,6,22,2728
19:44:44.460811,733,7,23716,23,0,6,22,2728
19:44:44.461532,733,8,57405,5,0,6,22,2728
19:44:44.472486,734,7,57405,23,0,6,22,2728
19:44:44.483757,735,7,57405,23,0,6,22,2728
19:44:44.495588,736,7,57405,23,0,6,22,2728
19:44:44.575500,743,8,23716,5,0,6,20,2280
19:44:44.586459,744,7,23716,23,0,6,20,2280
19:44:44.598092,745,7,23716,23,0,6,20,2280
19:44:44.609492,746,7,23716,23,0,6,20,2280
19:44:44.610209,746,8,57405,5,0,6,20,2280
19:44:44.621205,747,7,57405,23,0,6,20,2280
19:44:44.632707,748,7,57405,23,0,6,20,2280
19:44:44.644334,749,7,57405,23,0,6,20,2280
19:44:44.724275,756,8,23716,5,0,6,19,2088
19:44:44.735063,757,7,23716,23,0,6,19,2088
19:44:44.746350,758,7,23716,23,0,6,19,2088
19:44:44.758072,759,7,23716,23,0,6,19,2088
19:44:44.758828,759,8,57405,5,0,6,19,2088
19:44:44.768940,760,7,57405,23,0,6,19,2088
19:44:44.780366,761,7,57405,23,0,6,19,2088
19:44:44.791874,762,7,57405,23,0,6,19,2088
19:44:44.870993,769,8,23716,5,0,6,18,1928
19:44:44.881997,770,7,23716,23,0,6,18,1928
19:44:44.893196,771,7,23716,23,0,6,18,1928
19:44:44.904608,772,7,23716,23,0,6,18,1928
19:44:44.905730,772,8,57405,5,0,6,18,1928
19:44:44.916472,773,7,57405,23,0,6,18,1928
19:44:44.960685,774,7,57405,23,0,6,18,1928
19:44:44.973442,775,7,57405,23,0,6,18,1928
19:44:45.055486,782,8,23716,5,0,4,16,1800
19:44:45.066384,783,7,23716,23,0,4,16,1800
19:44:45.077533,784,7,23716,23,0,4,16,1800
19:44:45.088854,785,7,23716,23,0,4,16,1800
19:44:45.089619,785,8,57405,5,0,6,17,1800
19:44:45.100650,786,7,57405,23,0,6,17,1800
19:44:45.111633,787,7,57405,23,0,6,17,1800
19:44:45.123019,788,7,57405,23,0,6,17,1800
19:44:45.202203,795,8,23716,5,0,4,16,1800
19:44:45.213235,796,7,23716,23,0,4,16,1800
19:44:45.224272,797,7,23716,23,0,4,16,1800
19:44:45.235592,798,7,23716,23,0,4,16,1800
19:44:45.236544,798,8,57405,5,0,4,16,1800
19:44:45.247035,799,7,57405,23,0,4,16,1800
19:44:45.258318,800,7,57405,23,0,4,16,1800
19:44:45.269550,801,7,57405,23,0,4,16,1800
19:44:45.348486,808,8,23716,5,0,4,16,1672
19:44:45.359031,809,7,23716,21,0,4,16,1672
19:44:45.370351,810,7,23716,21,0,4,16,1672
19:44:45.381525,811,7,23716,21,0,4,16,1672
19:44:45.382477,811,8,57405,5,0,4,16,1800
19:44:45.392944,812,7,57405,23,0,4,16,1800
19:44:45.404190,813,7,57405,23,0,4,16,1800
19:44:45.415413,814,7,57405,23,0,4,16,1800
19:44:45.494269,821,8,23716,5,0,4,15,1672
19:44:45.504826,822,7,23716,23,0,4,15,1672
19:44:45.516082,823,7,23716,23,0,4,15,1672
19:44:45.527593,824,7,23716,23,0,4,15,1672
19:44:45.528514,824,8,57405,5,0,4,15,1544
19:44:45.539133,825,7,57405,21,0,4,15,1544
19:44:45.550519,826,7,57405,21,0,4,15,1544
19:44:45.640942,834,8,23716,5,0,4,14,1544
19:44:45.651588,835,7,23716,23,0,4,14,1544
19:44:45.662842,836,7,23716,23,0,4,14,1544
19:44:45.663613,836,8,57405,5,0,4,14,1544
19:44:45.674567,837,7,57405,23,0,4,14,1544
19:44:45.687055,838,7,57405,23,0,4,14,1544
19:44:45.779194,846,8,23716,5,0,4,13,1320
19:44:45.789961,847,7,23716,23,0,4,13,1320
19:44:45.801222,848,7,23716,23,0,4,13,1320
19:44:45.802209,848,8,57405,5,0,4,13,1224
19:44:45.812703,849,7,57405,21,0,4,13,1224
19:44:45.823915,850,7,57405,21,0,4,13,1224
19:44:45.914495,858,8,23716,5,0,4,13,1320
19:44:45.925263,859,7,23716,23,0,4,13,1320
19:44:45.960250,860,7,23716,23,0,4,13,1320
19:44:45.960925,860,8,57405,5,0,4,13,1320
19:44:45.972929,861,7,57405,23,0,4,13,1320
19:44:45.984175,862,7,57405,23,0,4,13,1320
19:44:46.074838,870,8,23716,5,0,4,12,1192
19:44:46.085344,871,7,23716,23,0,4,12,1192
19:44:46.096629,872,7,23716,23,0,4,12,1192
19:44:46.097316,872,8,57405,5,0,4,12,1064
19:44:46.108090,873,7,57405,21,0,4,12,1064
19:44:46.210030,882,8,23716,5,0,4,12,1192
19:44:46.220867,883,7,23716,23,0,4,12,1192
19:44:46.221723,883,8,57405,5,0,4,12,1192
19:44:46.232170,884,7,23716,23,23,4,12,1192
19:44:46.232378,884,7,57405,23,0,4,12,1192
19:44:46.243689,885,7,57405,23,0,4,12,1192
19:44:46.348066,894,8,23716,5,0,4,11,1032
19:44:46.358526,895,7,23716,23,0,4,11,1032
19:44:46.359517,895,8,57405,5,0,4,12,1192
19:44:46.370062,896,7,57405,23,0,4,12,1192
19:44:46.381371,897,7,57405,23,0,4,12,1192
