ue_id,frame_id,message_id,scheduled_raw_ns,first_chunk_raw_ns,complete_raw_ns,complete_latency_ms,payload_bytes,chunks,onwire_bytes,checksum_expected,checksum_actual,checksum_ok,identity_ok,source_ip
1,200000000,736870912,895639594766921,895639595939867,895639596163397,1.396476,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000000,368435456,895639844766921,895639845768960,895639846156152,1.389231,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000001,736870913,895640094766921,895640096054346,895640096200864,1.433943,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000001,368435457,895640294766921,895640295755079,895640295905729,1.138808,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000002,736870914,895640544766921,895640545705020,895640545855291,1.08837,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000002,368435458,895640794766921,895640795666652,895640795828823,1.061902,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000003,736870915,895641044766921,895641045538520,895641045660436,0.893515,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000003,368435459,895641294766921,895641295786590,895641295927552,1.160631,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000004,736870916,895641544766921,895641545727501,895641545891810,1.124889,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000004,368435460,895641744766921,895641745631954,895641745791050,1.024129,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000005,736870917,895641994766921,895641995919131,895641996194123,1.427202,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000005,368435461,895642244766921,895642245636180,895642245795402,1.028481,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000006,736870918,895642494766921,895642495955836,895642496188385,1.421464,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000006,368435462,895642744766921,895642745939377,895642746214130,1.447209,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000007,736870919,895642994766921,895642995602851,895642995790536,1.023615,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000007,368435463,895643244766921,895643245609138,895643245745772,0.978851,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000008,736870920,895643444766921,895643445691574,895643445833940,1.067019,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000008,368435464,895643694766921,895643695629553,895643695787762,1.020841,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000009,736870921,895643944766921,895643945714828,895643945878273,1.111352,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000009,368435465,895644194766921,895644195622663,895644195803609,1.036688,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000010,736870922,895644444766921,895644445688476,895644445849596,1.082675,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000010,368435466,895644694766921,895644695712667,895644695873274,1.106353,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000011,736870923,895644944766921,895644945685516,895644945836933,1.070012,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000011,368435467,895645144766921,895645145668990,895645145820525,1.053604,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000012,736870924,895645394766921,895645395880631,895645396035166,1.268245,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000012,368435468,895645644766921,895645645711052,895645645924046,1.157125,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000013,736870925,895645894766921,895645895701713,895645895860417,1.093496,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000013,368435469,895646144766921,895646145680110,895646146064470,1.297549,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000014,736870926,895646394766921,895646395743090,895646395928146,1.161225,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000014,368435470,895646594766921,895646595711634,895646595886462,1.119541,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000015,736870927,895646844766921,895646845653251,895646845807650,1.040729,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
0,100000015,368435471,895647094766921,895647097558502,895647097688025,2.921104,409600,7,409852,3512885954,3512885954,1,1,127.0.0.1
1,200000016,736870928,895647344766921,895647345806537,895647345969236,1.202315,409600,7,409852,3346413535,3346413535,1,1,127.0.0.1
