ue_id,frame_id,message_id,scheduled_raw_ns,first_chunk_raw_ns,complete_raw_ns,complete_latency_ms,payload_bytes,chunks,onwire_bytes,checksum_expected,checksum_actual,checksum_ok,source_ip
1,200000000,736870912,880043657066954,880043704012290,880043793277075,136.210121,409600,7,409852,3346413535,3346413535,1,192.168.70.134
0,100000000,368435456,880044457066954,880044595924663,880044687649958,230.583004,409600,7,409852,3512885954,3512885954,1,192.168.70.134
1,200000001,736870913,880045257066954,880045302160734,880045390196076,133.129122,409600,7,409852,3346413535,3346413535,1,192.168.70.134
0,100000001,368435457,880046057066954,880046102103760,880046194583902,137.516948,409600,7,409852,3512885954,3512885954,1,192.168.70.134
1,200000002,736870914,880046807066954,880046843556666,880046930264044,123.19709,409600,7,409852,3346413535,3346413535,1,192.168.70.134
0,100000002,368435458,880047607066954,880047654067796,880047744950415,137.883461,409600,7,409852,3512885954,3512885954,1,192.168.70.134
1,200000003,736870915,880048407066954,880048444234641,880048551969092,144.902138,409600,7,409852,3346413535,3346413535,1,192.168.70.134
0,100000003,368435459,880049207066954,880049251949817,880049332835854,125.7689,409600,7,409852,3512885954,3512885954,1,192.168.70.134
1,200000004,736870916,880049957066954,880050002527998,880050086340237,129.273283,409600,7,409852,3346413535,3346413535,1,192.168.70.134
0,100000004,368435460,880050757066954,880050848602690,880050928152865,171.085911,409600,7,409852,3512885954,3512885954,1,192.168.70.134
1,200000005,736870917,880051557066954,880051598215396,880051681399763,124.332809,409600,7,409852,3346413535,3346413535,1,192.168.70.134
0,100000005,368435461,880052357066954,880052393419040,880052480350619,123.283665,409600,7,409852,3512885954,3512885954,1,192.168.70.134
1,200000006,736870918,880053107066954,880053159878361,880053253275398,146.208444,409600,7,409852,3346413535,3346413535,1,192.168.70.134
0,100000006,368435462,880053907066954,880053985991920,880054078251715,171.184761,409600,7,409852,3512885954,3512885954,1,192.168.70.134
1,200000007,736870919,880054707066954,880054755224707,880054847097288,140.030334,409600,7,409852,3346413535,3346413535,1,192.168.70.134
0,100000007,368435463,880055507066954,880055535761401,880055623375692,116.308738,409600,7,409852,3512885954,3512885954,1,192.168.70.134
1,200000008,736870920,880056257066954,880056297727410,880056385771000,128.704046,409600,7,409852,3346413535,3346413535,1,192.168.70.134
0,100000008,368435464,880057057066954,880057104288958,880057191411228,134.344274,409600,7,409852,3512885954,3512885954,1,192.168.70.134
1,200000009,736870921,880057857066954,880057904227965,880058083656624,226.58967,409600,7,409852,3346413535,3346413535,1,192.168.70.134
