time,rnti,frame,slot,mcs,tbs
16:56:36.679048,26731,514,0,0,21
16:56:36.718836,4687,518,0,0,21
16:56:37.684774,26731,614,0,0,21
16:56:37.724762,4687,618,0,0,21
16:56:38.738949,26731,714,0,0,21
16:56:38.778578,4687,718,0,0,21
16:56:39.740151,26731,814,0,0,21
16:56:39.780194,4687,818,0,0,21
16:56:40.846445,26731,914,0,0,21
16:56:40.891077,4687,918,0,0,21
16:56:42.008231,26731,1014,0,0,21
16:56:42.051498,4687,1018,0,0,21
16:56:43.141258,26731,90,0,0,21
16:56:43.186380,4687,94,0,0,21
16:56:44.310805,26731,190,0,0,21
16:56:44.356242,4687,194,0,0,21
16:56:45.471306,26731,290,0,0,21
16:56:45.515291,4687,294,0,0,21
16:56:46.565529,26731,390,0,0,21
16:56:46.607751,4687,394,0,0,21
16:56:47.159407,26731,435,14,0,21
16:56:47.177406,26731,437,7,0,15
16:56:47.195418,26731,439,0,0,21
16:56:47.213192,26731,440,12,0,21
16:56:47.231087,26731,442,4,0,21
16:56:47.249134,26731,443,16,0,21
16:56:47.758518,26731,490,0,1,28
16:56:47.802062,4687,494,0,0,21
16:56:48.051072,4687,507,14,0,21
16:56:48.068977,4687,509,6,0,21
16:56:48.087890,4687,511,0,0,21
16:56:48.106867,4687,512,12,0,21
16:56:48.124377,4687,514,4,0,21
16:56:48.142190,4687,515,16,0,21
16:56:48.757387,26731,572,4,0,21
16:56:48.775023,26731,573,16,0,21
16:56:48.793874,26731,575,10,0,21
16:56:48.811476,26731,577,2,0,21
16:56:48.829131,26731,578,14,0,21
16:56:48.846865,26731,580,6,0,21
16:56:48.950490,26731,590,0,1,28
16:56:48.993014,4687,594,0,1,28
16:56:49.558232,4687,642,5,0,21
16:56:49.575501,4687,643,16,0,21
16:56:49.594073,4687,645,10,0,21
16:56:49.611329,4687,647,2,0,21
16:56:49.628860,4687,648,14,0,21
16:56:49.646735,4687,650,6,0,21
16:56:50.167188,26731,690,0,0,21
16:56:50.209946,4687,694,0,1,28
