time,rnti,frame,slot,lcid,data_size,tx_list_occupancy
16:56:47.159405,26731,435,14,1,0,0
16:56:47.159407,26731,435,14,4,3,0
16:56:47.177404,26731,437,7,1,0,0
16:56:47.177405,26731,437,7,4,3,0
16:56:47.195417,26731,439,0,1,0,0
16:56:47.195418,26731,439,0,4,3,0
16:56:47.213191,26731,440,12,1,0,0
16:56:47.213192,26731,440,12,4,3,0
16:56:47.231085,26731,442,4,1,0,0
16:56:47.231086,26731,442,4,4,3,0
16:56:47.249132,26731,443,16,1,0,0
16:56:47.249133,26731,443,16,4,3,0
16:56:48.051071,4687,507,14,1,0,0
16:56:48.051072,4687,507,14,4,3,0
16:56:48.068976,4687,509,6,1,0,0
16:56:48.068977,4687,509,6,4,3,0
16:56:48.087888,4687,511,0,1,0,0
16:56:48.087890,4687,511,0,4,3,0
16:56:48.106865,4687,512,12,1,0,0
16:56:48.106867,4687,512,12,4,3,0
16:56:48.124375,4687,514,4,1,0,0
16:56:48.124376,4687,514,4,4,3,0
16:56:48.142188,4687,515,16,1,0,0
16:56:48.142189,4687,515,16,4,3,0
16:56:48.757385,26731,572,4,1,0,0
16:56:48.757387,26731,572,4,4,3,0
16:56:48.775021,26731,573,16,1,0,0
16:56:48.775022,26731,573,16,4,3,0
16:56:48.793873,26731,575,10,1,0,0
16:56:48.793874,26731,575,10,4,3,0
16:56:48.811475,26731,577,2,1,0,0
16:56:48.811476,26731,577,2,4,3,0
16:56:48.829130,26731,578,14,1,0,0
16:56:48.829131,26731,578,14,4,3,0
16:56:48.846863,26731,580,6,1,0,0
16:56:48.846864,26731,580,6,4,3,0
16:56:49.558230,4687,642,5,1,0,0
16:56:49.558232,4687,642,5,4,3,0
16:56:49.575499,4687,643,16,1,0,0
16:56:49.575501,4687,643,16,4,3,0
16:56:49.594072,4687,645,10,1,0,0
16:56:49.594073,4687,645,10,4,3,0
16:56:49.611328,4687,647,2,1,0,0
16:56:49.611329,4687,647,2,4,3,0
16:56:49.628858,4687,648,14,1,0,0
16:56:49.628859,4687,648,14,4,3,0
16:56:49.646734,4687,650,6,1,0,0
16:56:49.646735,4687,650,6,4,3,0
16:56:50.298853,26731,702,4,1,0,0
16:56:50.298855,26731,702,4,4,3,0
16:56:50.316876,26731,703,17,1,0,0
16:56:50.316878,26731,703,17,4,3,0
16:56:50.334630,26731,705,10,1,0,0
16:56:50.334632,26731,705,10,4,3,0
16:56:50.351343,26731,707,1,1,0,0
16:56:50.351344,26731,707,1,4,3,0
16:56:50.369299,26731,708,14,1,0,0
16:56:50.369300,26731,708,14,4,3,0
16:56:50.386175,26731,710,5,1,0,0
16:56:50.386176,26731,710,5,4,3,0
16:56:51.109699,4687,778,5,1,0,0
16:56:51.109701,4687,778,5,4,3,0
16:56:51.126917,4687,779,17,1,0,0
16:56:51.126918,4687,779,17,4,3,0
16:56:51.144785,4687,781,10,1,0,0
16:56:51.144786,4687,781,10,4,3,0
16:56:51.162168,4687,783,2,1,0,0
16:56:51.162169,4687,783,2,4,3,0
16:56:51.180319,4687,784,15,1,0,0
16:56:51.180319,4687,784,15,4,3,0
16:56:51.197121,4687,786,6,1,0,0
16:56:51.197122,4687,786,6,4,3,0
16:56:51.899434,26731,852,4,1,0,0
16:56:51.899436,26731,852,4,4,3,0
16:56:51.917150,26731,853,17,1,0,0
16:56:51.917152,26731,853,17,4,3,0
16:56:51.934846,26731,855,10,1,0,0
16:56:51.934847,26731,855,10,4,3,0
16:56:51.973555,26731,857,2,1,0,0
16:56:51.973556,26731,857,2,4,3,0
16:56:51.991603,26731,858,15,1,0,0
16:56:51.991604,26731,858,15,4,3,0
16:56:52.008885,26731,860,7,1,0,0
16:56:52.008886,26731,860,7,4,3,0
16:56:52.707141,4687,925,14,1,0,0
16:56:52.707143,4687,925,14,4,3,0
16:56:52.724940,4687,927,7,1,0,0
16:56:52.724941,4687,927,7,4,3,0
16:56:52.741336,4687,929,0,1,0,0
16:56:52.741337,4687,929,0,4,3,0
16:56:52.756885,4687,930,12,1,0,0
16:56:52.756887,4687,930,12,4,3,0
16:56:52.772556,4687,932,4,1,0,0
16:56:52.772557,4687,932,4,4,3,0
16:56:52.788281,4687,933,16,1,0,0
16:56:52.788282,4687,933,16,4,3,0
16:56:53.457963,26731,1001,15,1,0,0
16:56:53.457966,26731,1001,15,4,3,0
16:56:53.473814,26731,1003,7,1,0,0
16:56:53.473816,26731,1003,7,4,3,0
16:56:53.490268,26731,1005,0,1,0,0
16:56:53.490269,26731,1005,0,4,3,0
16:56:53.506077,26731,1006,12,1,0,0
16:56:53.506079,26731,1006,12,4,3,0
16:56:53.522852,26731,1008,5,1,0,0
16:56:53.522853,26731,1008,5,4,3,0
16:56:53.538796,26731,1009,17,1,0,0
16:56:53.538797,26731,1009,17,4,3,0
16:56:54.304048,4687,52,5,1,0,0
16:56:54.304050,4687,52,5,4,3,0
16:56:54.319841,4687,53,17,1,0,0
16:56:54.319843,4687,53,17,4,3,0
16:56:54.336101,4687,55,10,1,0,0
16:56:54.336102,4687,55,10,4,3,0
16:56:54.352634,4687,57,3,1,0,0
16:56:54.352635,4687,57,3,4,3,0
16:56:54.368569,4687,58,15,1,0,0
16:56:54.368570,4687,58,15,4,3,0
16:56:54.384543,4687,60,7,1,0,0
16:56:54.384543,4687,60,7,4,3,0
16:56:55.053087,26731,127,14,1,0,0
16:56:55.053088,26731,127,14,4,3,0
16:56:55.069462,26731,129,7,1,0,0
16:56:55.069463,26731,129,7,4,3,0
16:56:55.086343,26731,131,0,1,0,0
16:56:55.086345,26731,131,0,4,3,0
16:56:55.103363,26731,132,13,1,0,0
16:56:55.103365,26731,132,13,4,3,0
16:56:55.120400,26731,134,4,1,0,0
16:56:55.120402,26731,134,4,4,3,0
16:56:55.137813,26731,135,16,1,0,0
16:56:55.137815,26731,135,16,4,3,0
16:56:55.849402,4687,202,5,1,0,0
16:56:55.849404,4687,202,5,4,3,0
16:56:55.866092,4687,203,16,1,0,0
16:56:55.866092,4687,203,16,4,3,0
16:56:55.884572,4687,205,10,1,0,0
16:56:55.884574,4687,205,10,4,3,0
16:56:55.902503,4687,207,3,1,0,0
16:56:55.902505,4687,207,3,4,3,0
16:56:55.919395,4687,208,14,1,0,0
16:56:55.919396,4687,208,14,4,3,0
16:56:55.937557,4687,210,7,1,0,0
16:56:55.937558,4687,210,7,4,3,0
16:56:56.615533,26731,263,14,1,0,0
16:56:56.615534,26731,263,14,4,3,0
16:56:56.633635,26731,265,6,1,0,0
16:56:56.633637,26731,265,6,4,3,0
16:56:56.652783,26731,267,0,1,0,0
16:56:56.652784,26731,267,0,4,3,0
16:56:56.670470,26731,268,11,1,0,0
16:56:56.670471,26731,268,11,4,3,0
16:56:56.688904,26731,270,4,1,0,0
16:56:56.688905,26731,270,4,4,3,0
16:56:56.710994,26731,271,16,1,0,0
16:56:56.710995,26731,271,16,4,3,0
16:56:57.441057,4687,330,14,1,0,0
16:56:57.441058,4687,330,14,4,3,0
16:56:57.459243,4687,332,7,1,0,0
16:56:57.459244,4687,332,7,4,3,0
16:56:57.477188,4687,334,0,1,0,0
16:56:57.477189,4687,334,0,4,3,0
16:56:57.494507,4687,335,12,1,0,0
16:56:57.494508,4687,335,12,4,3,0
16:56:57.512843,4687,337,5,1,0,0
16:56:57.512844,4687,337,5,4,3,0
16:56:57.530666,4687,338,17,1,0,0
16:56:57.530667,4687,338,17,4,3,0
16:56:58.210957,26731,401,5,1,0,0
16:56:58.210958,26731,401,5,4,3,0
16:56:58.228130,26731,402,17,1,0,0
16:56:58.228130,26731,402,17,4,3,0
16:56:58.246096,26731,404,10,1,0,0
16:56:58.246097,26731,404,10,4,3,0
16:56:58.263614,26731,406,2,1,0,0
16:56:58.263615,26731,406,2,4,3,0
16:56:58.281828,26731,407,15,1,0,0
16:56:58.281828,26731,407,15,4,3,0
16:56:58.299416,26731,409,7,1,0,0
16:56:58.299417,26731,409,7,4,3,0
16:56:58.991760,4687,471,5,1,0,0
16:56:58.991761,4687,471,5,4,3,0
16:56:59.008951,4687,472,16,1,0,0
16:56:59.008952,4687,472,16,4,3,0
16:56:59.027716,4687,474,10,1,0,0
16:56:59.027717,4687,474,10,4,3,0
16:56:59.045084,4687,476,2,1,0,0
16:56:59.045085,4687,476,2,4,3,0
16:56:59.062576,4687,477,14,1,0,0
16:56:59.062577,4687,477,14,4,3,0
16:56:59.080023,4687,479,6,1,0,0
16:56:59.080024,4687,479,6,4,3,0
16:56:59.753137,26731,541,4,1,0,0
16:56:59.753139,26731,541,4,4,3,0
16:56:59.770710,26731,542,16,1,0,0
16:56:59.770711,26731,542,16,4,3,0
16:56:59.789350,26731,544,10,1,0,0
16:56:59.789352,26731,544,10,4,3,0
16:56:59.806942,26731,546,2,1,0,0
16:56:59.806944,26731,546,2,4,3,0
16:56:59.824644,26731,547,14,1,0,0
16:56:59.824645,26731,547,14,4,3,0
16:56:59.842166,26731,549,5,1,0,0
16:56:59.842167,26731,549,5,4,3,0
16:57:00.559682,4687,605,4,1,0,0
16:57:00.559683,4687,605,4,4,3,0
16:57:00.579431,4687,607,0,1,0,0
16:57:00.579432,4687,607,0,4,3,0
16:57:00.596783,4687,608,12,1,0,0
16:57:00.596784,4687,608,12,4,3,0
16:57:00.614537,4687,610,5,1,0,0
16:57:00.614538,4687,610,5,4,3,0
16:57:00.631968,4687,611,17,1,0,0
16:57:00.631969,4687,611,17,4,3,0
16:57:00.649848,4687,613,10,1,0,0
16:57:00.649849,4687,613,10,4,3,0
16:57:01.359700,26731,679,4,1,0,0
16:57:01.359701,26731,679,4,4,3,0
16:57:01.377791,26731,680,17,1,0,0
16:57:01.377792,26731,680,17,4,3,0
16:57:01.395633,26731,682,10,1,0,0
16:57:01.395634,26731,682,10,4,3,0
16:57:01.461030,26731,684,2,1,0,0
16:57:01.461031,26731,684,2,4,3,0
16:57:01.522588,26731,685,14,1,0,0
16:57:01.522589,26731,685,14,4,3,0
16:57:01.540168,26731,687,6,1,0,0
16:57:01.540169,26731,687,6,4,3,0
