time,rnti,frame,slot,mcs,tbs
16:56:35.903845,26731,448,2,28,437
16:56:35.913809,4687,449,2,28,480
16:56:36.003263,26731,458,2,28,480
16:56:36.013792,4687,459,2,28,480
16:56:36.106049,26731,468,2,28,480
16:56:36.116103,4687,469,2,28,480
16:56:36.206461,26731,478,2,28,480
16:56:36.216403,4687,479,2,28,480
16:56:36.306280,26731,488,2,28,437
16:56:36.316107,4687,489,2,28,480
16:56:36.416071,26731,498,2,28,480
16:56:36.425863,4687,499,2,28,480
16:56:36.620729,26731,508,2,28,480
16:56:36.630479,4687,509,2,28,480
16:56:36.719741,26731,518,2,28,480
16:56:36.729744,4687,519,2,28,480
16:56:36.819676,26731,528,2,28,437
16:56:36.829623,4687,529,2,28,480
16:56:36.918867,26731,538,2,28,480
16:56:36.928691,4687,539,2,28,480
16:56:37.019275,26731,548,2,28,480
16:56:37.029072,4687,549,2,28,480
16:56:37.118116,26731,558,2,28,480
16:56:37.127688,4687,559,2,28,480
16:56:37.217173,26731,568,2,28,437
16:56:37.226750,4687,569,2,28,480
16:56:37.315264,26731,578,2,28,480
16:56:37.325101,4687,579,2,28,480
16:56:37.414513,26731,588,2,28,480
16:56:37.430236,4687,589,2,28,480
16:56:37.524367,26731,598,2,28,480
16:56:37.534647,4687,599,2,28,480
16:56:37.626436,26731,608,2,28,437
16:56:37.636480,4687,609,2,28,480
16:56:37.725717,26731,618,2,28,480
16:56:37.735629,4687,619,2,28,480
16:56:37.824792,26731,628,2,28,480
16:56:37.834681,4687,629,2,28,480
16:56:37.923498,26731,638,2,28,480
16:56:37.933543,4687,639,2,28,480
16:56:38.030109,26731,648,2,28,437
16:56:38.040104,4687,649,2,28,480
16:56:38.129810,26731,658,2,28,480
16:56:38.140103,4687,659,2,28,480
16:56:38.229909,26731,668,2,28,480
16:56:38.239944,4687,669,2,28,480
16:56:38.329040,26731,678,2,28,480
16:56:38.339039,4687,679,2,28,480
16:56:38.428004,26731,688,2,28,437
16:56:38.438044,4687,689,2,28,480
16:56:38.528316,26731,698,2,28,480
16:56:38.538222,4687,699,2,28,480
16:56:38.678807,26731,708,2,28,480
16:56:38.688950,4687,709,2,28,480
16:56:38.779542,26731,718,2,28,480
16:56:38.789809,4687,719,2,28,480
16:56:38.880228,26731,728,2,28,437
16:56:38.890311,4687,729,2,28,480
16:56:38.981505,26731,738,2,28,480
16:56:38.991562,4687,739,2,28,480
16:56:39.081878,26731,748,2,28,480
16:56:39.091761,4687,749,2,28,480
16:56:39.180638,26731,758,2,28,480
16:56:39.190582,4687,759,2,28,480
16:56:39.280339,26731,768,2,28,437
16:56:39.290515,4687,769,2,28,480
16:56:39.380048,26731,778,2,28,480
16:56:39.390158,4687,779,2,28,480
16:56:39.480120,26731,788,2,28,480
16:56:39.490025,4687,789,2,28,480
16:56:39.580614,26731,798,2,28,480
16:56:39.590635,4687,799,2,28,480
16:56:39.680410,26731,808,2,28,437
16:56:39.690836,4687,809,2,28,480
16:56:39.781113,26731,818,2,28,480
16:56:39.791373,4687,819,2,28,480
16:56:39.880163,26731,828,2,28,480
16:56:39.890282,4687,829,2,28,480
16:56:39.996928,26731,838,2,28,480
16:56:40.006892,4687,839,2,28,480
16:56:40.096973,26731,848,2,28,437
16:56:40.106856,4687,849,2,28,480
16:56:40.196851,26731,858,2,28,480
16:56:40.207042,4687,859,2,28,480
16:56:40.297923,26731,868,2,28,480
16:56:40.308330,4687,869,2,28,480
16:56:40.403149,26731,878,2,28,480
16:56:40.414035,4687,879,2,28,480
16:56:40.512940,26731,888,2,28,437
16:56:40.523574,4687,889,2,28,480
16:56:40.622069,26731,898,2,28,480
16:56:40.633407,4687,899,2,28,480
16:56:40.779894,26731,908,2,28,480
16:56:40.791348,4687,909,2,28,480
16:56:40.892156,26731,918,2,28,480
16:56:40.903528,4687,919,2,28,480
16:56:41.005119,26731,928,2,28,437
16:56:41.016431,4687,929,2,28,480
16:56:41.116572,26731,938,2,28,480
16:56:41.128606,4687,939,2,28,480
16:56:41.228236,26731,948,2,28,480
16:56:41.239492,4687,949,2,28,480
16:56:41.339976,26731,958,2,28,480
16:56:41.350933,4687,959,2,28,480
16:56:41.451830,26731,968,2,28,437
16:56:41.462680,4687,969,2,28,480
16:56:41.561538,26731,978,2,28,480
16:56:41.572695,4687,979,2,28,480
16:56:41.673613,26731,988,2,28,480
16:56:41.685492,4687,989,2,28,480
16:56:41.832688,26731,998,2,28,480
16:56:41.843607,4687,999,2,28,480
16:56:41.942572,26731,1008,2,28,437
16:56:41.953815,4687,1009,2,28,480
16:56:42.052545,26731,1018,2,28,480
16:56:42.063494,4687,1019,2,28,480
16:56:42.161910,26731,4,2,28,480
16:56:42.173036,4687,5,2,28,480
16:56:42.272015,26731,14,2,28,480
16:56:42.283121,4687,15,2,28,480
16:56:42.382865,26731,24,2,28,437
16:56:42.394135,4687,25,2,28,480
16:56:42.493100,26731,34,2,28,480
16:56:42.503767,4687,35,2,28,480
16:56:42.601918,26731,44,2,28,480
16:56:42.613146,4687,45,2,28,480
16:56:42.713623,26731,54,2,28,480
16:56:42.725335,4687,55,2,28,480
16:56:42.830618,26731,64,2,28,437
16:56:42.841555,4687,65,2,28,480
16:56:42.962135,26731,74,2,28,480
16:56:42.973834,4687,75,2,28,480
16:56:43.075419,26731,84,2,28,480
16:56:43.086715,4687,85,2,28,480
16:56:43.187433,26731,94,2,28,480
16:56:43.198559,4687,95,2,28,480
16:56:43.299586,26731,104,2,28,437
16:56:43.310645,4687,105,2,28,480
16:56:43.412128,26731,114,2,28,480
16:56:43.423774,4687,115,2,28,480
16:56:43.526645,26731,124,2,28,480
16:56:43.538469,4687,125,2,28,480
16:56:43.641934,26731,134,2,28,480
16:56:43.653634,4687,135,2,28,480
16:56:43.758422,26731,144,2,28,437
16:56:43.769974,4687,145,2,28,480
16:56:43.873441,26731,154,2,28,480
16:56:43.884580,4687,155,2,28,480
16:56:44.013952,26731,164,2,28,480
16:56:44.025801,4687,165,2,28,480
16:56:44.130509,26731,174,2,28,480
16:56:44.142259,4687,175,2,28,480
16:56:44.244343,26731,184,2,28,437
16:56:44.255715,4687,185,2,28,480
16:56:44.357280,26731,194,2,28,480
16:56:44.369095,4687,195,2,28,480
16:56:44.459340,26731,204,2,28,480
16:56:44.470226,4687,205,2,28,480
16:56:44.558391,26731,214,2,28,480
16:56:44.568504,4687,215,2,28,480
16:56:44.662103,26731,224,2,28,437
16:56:44.673112,4687,225,2,28,480
16:56:44.770406,26731,234,2,28,480
16:56:44.781221,4687,235,2,28,480
16:56:44.970754,26731,244,2,28,480
16:56:44.982138,4687,245,2,28,480
16:56:45.081650,26731,254,2,28,480
16:56:45.092856,4687,255,2,28,480
