recv_raw_ns,recv_wall_ns,source_ip,ue_id,message_id,chunk_index,total_chunks,udp_payload_bytes,onwire_bytes,duplicate
880768096029689,1786666131554264520,127.0.0.1,1,736870912,0,7,60000,60028,0
880768096128050,1786666131554324572,127.0.0.1,1,736870912,1,7,60000,60028,0
880768096160961,1786666131554355794,127.0.0.1,1,736870912,2,7,60000,60028,0
880768096195746,1786666131554390301,127.0.0.1,1,736870912,3,7,60000,60028,0
880768096224037,1786666131554418480,127.0.0.1,1,736870912,4,7,60000,60028,0
880768096250565,1786666131554445176,127.0.0.1,1,736870912,5,7,60000,60028,0
880768096280131,1786666131554474621,127.0.0.1,1,736870912,6,7,49656,49684,0
880768345651290,1786666131803866489,127.0.0.1,0,368435456,0,7,60000,60028,0
880768345737453,1786666131803939801,127.0.0.1,0,368435456,1,7,60000,60028,0
880768345794964,1786666131803992832,127.0.0.1,0,368435456,2,7,60000,60028,0
880768345827572,1786666131804024925,127.0.0.1,0,368435456,3,7,60000,60028,0
880768345855895,1786666131804053106,127.0.0.1,0,368435456,4,7,60000,60028,0
880768345885045,1786666131804082417,127.0.0.1,0,368435456,5,7,60000,60028,0
880768345908076,1786666131804105299,127.0.0.1,0,368435456,6,7,49656,49684,0
880768595812038,1786666132054029415,127.0.0.1,1,736870913,0,7,60000,60028,0
880768595862588,1786666132054067061,127.0.0.1,1,736870913,1,7,60000,60028,0
880768595879403,1786666132054079507,127.0.0.1,1,736870913,2,7,60000,60028,0
880768595889831,1786666132054089725,127.0.0.1,1,736870913,3,7,60000,60028,0
880768595925586,1786666132054125439,127.0.0.1,1,736870913,4,7,60000,60028,0
880768595932950,1786666132054133023,127.0.0.1,1,736870913,5,7,60000,60028,0
880768595961974,1786666132054163962,127.0.0.1,1,736870913,6,7,49656,49684,0
880768846039733,1786666132304256154,127.0.0.1,0,368435457,0,7,60000,60028,0
880768846110064,1786666132304316442,127.0.0.1,0,368435457,1,7,60000,60028,0
880768846125069,1786666132304327957,127.0.0.1,0,368435457,2,7,60000,60028,0
880768846134893,1786666132304337256,127.0.0.1,0,368435457,3,7,60000,60028,0
880768846142787,1786666132304344977,127.0.0.1,0,368435457,4,7,60000,60028,0
880768846148991,1786666132304351442,127.0.0.1,0,368435457,5,7,60000,60028,0
880768846157086,1786666132304361189,127.0.0.1,0,368435457,6,7,49656,49684,0
880769095786755,1786666132554005859,127.0.0.1,1,736870914,0,7,60000,60028,0
880769095852299,1786666132554061562,127.0.0.1,1,736870914,1,7,60000,60028,0
880769095868527,1786666132554074039,127.0.0.1,1,736870914,2,7,60000,60028,0
880769095878300,1786666132554083169,127.0.0.1,1,736870914,3,7,60000,60028,0
880769095886365,1786666132554091036,127.0.0.1,1,736870914,4,7,60000,60028,0
