recv_raw_ns,recv_wall_ns,source_ip,ue_id,message_id,chunk_index,total_chunks,udp_payload_bytes,onwire_bytes,duplicate
880820019327548,1786666183478130373,192.168.70.134,1,736870912,0,7,60000,60028,0
880820034145055,1786666183492882717,192.168.70.134,1,736870912,1,7,60000,60028,0
880820048753063,1786666183507492209,192.168.70.134,1,736870912,2,7,60000,60028,0
880820062397271,1786666183521130312,192.168.70.134,1,736870912,3,7,60000,60028,0
880820073664422,1786666183532393676,192.168.70.134,1,736870912,4,7,60000,60028,0
880820089028156,1786666183547849909,192.168.70.134,1,736870912,5,7,60000,60028,0
880820099103770,1786666183557838448,192.168.70.134,1,736870912,6,7,49656,49684,0
880820817305826,1786666184276067853,192.168.70.134,0,368435456,0,7,60000,60028,0
880820831970233,1786666184290729517,192.168.70.134,0,368435456,1,7,60000,60028,0
880820846252582,1786666184305008107,192.168.70.134,0,368435456,2,7,60000,60028,0
880820861688167,1786666184320437722,192.168.70.134,0,368435456,3,7,60000,60028,0
880820871262538,1786666184330015558,192.168.70.134,0,368435456,4,7,60000,60028,0
880820885890341,1786666184344640293,192.168.70.134,0,368435456,5,7,60000,60028,0
880820895665222,1786666184354408765,192.168.70.134,0,368435456,6,7,49656,49684,0
880821616659986,1786666185075425904,192.168.70.134,1,736870913,0,7,60000,60028,0
880821632054791,1786666185090813895,192.168.70.134,1,736870913,1,7,60000,60028,0
880821645640501,1786666185104399499,192.168.70.134,1,736870913,2,7,60000,60028,0
880821660160789,1786666185118914552,192.168.70.134,1,736870913,3,7,60000,60028,0
880821671019349,1786666185129766080,192.168.70.134,1,736870913,4,7,60000,60028,0
880821685948371,1786666185144695526,192.168.70.134,1,736870913,5,7,60000,60028,0
880821695818870,1786666185154569431,192.168.70.134,1,736870913,6,7,49656,49684,0
880822416969635,1786666185875743111,192.168.70.134,0,368435457,0,7,60000,60028,0
880822431507643,1786666185890282166,192.168.70.134,0,368435457,1,7,60000,60028,0
880822445528836,1786666185904292122,192.168.70.134,0,368435457,2,7,60000,60028,0
880822459522643,1786666185918284977,192.168.70.134,0,368435457,3,7,60000,60028,0
880822470258019,1786666185929019864,192.168.70.134,0,368435457,4,7,60000,60028,0
880822504685992,1786666185963451499,192.168.70.134,0,368435457,5,7,60000,60028,0
880822518418184,1786666185977179628,192.168.70.134,0,368435457,6,7,49656,49684,0
880823169046683,1786666186627824831,192.168.70.134,1,736870914,0,7,60000,60028,0
880823183596320,1786666186642373828,192.168.70.134,1,736870914,1,7,60000,60028,0
880823198879536,1786666186657656323,192.168.70.134,1,736870914,2,7,60000,60028,0
880823214217994,1786666186672987599,192.168.70.134,1,736870914,3,7,60000,60028,0
880823224605602,1786666186683372560,192.168.70.134,1,736870914,4,7,60000,60028,0
880823239309473,1786666186698079431,192.168.70.134,1,736870914,5,7,60000,60028,0
