ue_id,frame_id,message_id,scheduled_raw_ns,first_chunk_raw_ns,complete_raw_ns,complete_latency_ms,payload_bytes,chunks,onwire_bytes,checksum_expected,checksum_actual,checksum_ok,identity_ok,source_ip
1,200000000,736870912,880819974817725,880820019327548,880820099103770,124.286045,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000000,368435456,880820774817725,880820817305826,880820895665222,120.847497,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000001,736870913,880821574817725,880821616659986,880821695818870,121.001145,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000001,368435457,880822374817725,880822416969635,880822518418184,143.600459,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000002,736870914,880823124817725,880823169046683,880823249189912,124.372187,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000002,368435458,880823924817725,880823974807475,880824053636429,128.818704,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000003,736870915,880824724817725,880824752874045,880824830283081,105.465356,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000003,368435459,880825524817725,880825553267202,880825632787427,107.969702,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000004,736870916,880826274817725,880826408398215,880826487645671,212.827946,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000004,368435460,880827074817725,880827121234166,880827209719088,134.901363,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000005,736870917,880827874817725,880827920333252,880828012032702,137.214977,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000005,368435461,880828674817725,880828721548627,880828811498866,136.681141,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000006,736870918,880829424817725,880829475500221,880829565406918,140.589193,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000006,368435462,880830224817725,880830281895588,880830389409047,164.591322,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000007,736870919,880831024817725,880831075001815,880831167355105,142.53738,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000007,368435463,880831824817725,880831870835442,880831959268716,134.450991,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000008,736870920,880832574817725,880832616821497,880832704214850,129.397125,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000008,368435464,880833374817725,880833402360808,880833585774411,210.956686,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000009,736870921,880834174817725,880834221639200,880834320046442,145.228717,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
