ue_id,frame_id,scheduled_raw_ns,scheduled_elapsed_s,demand_rate_mbps,controller,status,decision_raw_ns,send_start_raw_ns,send_end_raw_ns,send_lag_ms,payload_bytes,chunks,onwire_bytes,c_hat_mbps,c1_budget_mbps,admit_reason,local_error
1,200000000,880819974817725,0.75,2.08,open_loop,sent,880819974909427,880819974910258,880819975936173,0.092533,409600,7,409852,nan,nan,open_loop,
0,100000000,880820774817725,1.55,2.08,open_loop,sent,880820774951330,880820774952065,880820775619900,0.13434,409600,7,409852,nan,nan,open_loop,
1,200000001,880821574817725,2.35,2.08,open_loop,sent,880821574912725,880821574915872,880821575842766,0.098147,409600,7,409852,nan,nan,open_loop,
0,100000001,880822374817725,3.15,2.08,open_loop,sent,880822374892400,880822374893105,880822375696313,0.07538,409600,7,409852,nan,nan,open_loop,
1,200000002,880823124817725,3.9,2.08,open_loop,sent,880823124922116,880823124923860,880823125881761,0.106135,409600,7,409852,nan,nan,open_loop,
0,100000002,880823924817725,4.7,2.08,open_loop,sent,880823925069860,880823925070894,880823926009559,0.253169,409600,7,409852,nan,nan,open_loop,
1,200000003,880824724817725,5.5,2.08,open_loop,sent,880824724918087,880824724918656,880824725780599,0.100931,409600,7,409852,nan,nan,open_loop,
0,100000003,880825524817725,6.3,2.08,open_loop,sent,880825524904853,880825524905496,880825525815998,0.087771,409600,7,409852,nan,nan,open_loop,
1,200000004,880826274817725,7.05,2.08,open_loop,sent,880826274991933,880826274992676,880826275734728,0.174951,409600,7,409852,nan,nan,open_loop,
0,100000004,880827074817725,7.85,2.08,open_loop,sent,880827074922873,880827074923763,880827075806732,0.106038,409600,7,409852,nan,nan,open_loop,
1,200000005,880827874817725,8.65,2.08,open_loop,sent,880827874927413,880827874928158,880827875787693,0.110433,409600,7,409852,nan,nan,open_loop,
0,100000005,880828674817725,9.45,2.08,open_loop,sent,880828674917778,880828674918544,880828675885478,0.100819,409600,7,409852,nan,nan,open_loop,
1,200000006,880829424817725,10.2,2.08,open_loop,sent,880829424907648,880829424908413,880829425770044,0.090688,409600,7,409852,nan,nan,open_loop,
0,100000006,880830224817725,11.0,2.08,open_loop,sent,880830224938325,880830224940065,880830225806596,0.12234,409600,7,409852,nan,nan,open_loop,
1,200000007,880831024817725,11.8,2.08,open_loop,sent,880831024879961,880831024880838,880831025677811,0.063113,409600,7,409852,nan,nan,open_loop,
0,100000007,880831824817725,12.6,2.08,open_loop,sent,880831824916550,880831824917443,880831825629592,0.099718,409600,7,409852,nan,nan,open_loop,
1,200000008,880832574817725,13.35,2.08,open_loop,sent,880832574951846,880832574952593,880832575691636,0.134868,409600,7,409852,nan,nan,open_loop,
0,100000008,880833374817725,14.15,2.08,open_loop,sent,880833374901995,880833374902684,880833375800082,0.084959,409600,7,409852,nan,nan,open_loop,
1,200000009,880834174817725,14.95,2.08,open_loop,sent,880834174904642,880834174905337,880834175876477,0.087612,409600,7,409852,nan,nan,open_loop,
