ue_id,frame_id,scheduled_raw_ns,scheduled_elapsed_s,demand_rate_mbps,controller,status,decision_raw_ns,send_start_raw_ns,send_end_raw_ns,send_lag_ms,payload_bytes,chunks,onwire_bytes,c_hat_mbps,c1_budget_mbps,admit_reason,local_error
0,100000000,880871392264660,0.35,9.360000000000001,open_loop,sent,880871392359439,880871392360210,880871393504754,0.09555,409600,7,409852,nan,nan,open_loop,
0,100000001,880871742264660,0.7,9.360000000000001,open_loop,sent,880871742353332,880871742353847,880871743016595,0.089187,409600,7,409852,nan,nan,open_loop,
1,200000000,880871792264660,0.75,2.08,open_loop,sent,880871792352621,880871792353361,880871793094739,0.088701,409600,7,409852,nan,nan,open_loop,
0,100000002,880872092264660,1.05,9.360000000000001,open_loop,sent,880872092349478,880872092349998,880872093074459,0.085338,409600,7,409852,nan,nan,open_loop,
0,100000003,880872442264660,1.4,9.360000000000001,open_loop,sent,880872442361726,880872442363046,880872443189700,0.098386,409600,7,409852,nan,nan,open_loop,
0,100000004,880872792264660,1.75,9.360000000000001,open_loop,sent,880872792454934,880872792456636,880872793268096,0.191976,409600,7,409852,nan,nan,open_loop,
0,100000005,880873142264660,2.1,9.360000000000001,open_loop,sent,880873142374698,880873142376032,880873143790134,0.111372,409600,7,409852,nan,nan,open_loop,
1,200000001,880873392264660,2.35,2.08,open_loop,sent,880873392354926,880873392355669,880873393512955,0.091009,409600,7,409852,nan,nan,open_loop,
0,100000006,880873492264660,2.45,9.360000000000001,open_loop,sent,880873492373321,880873492374215,880873493337375,0.109555,409600,7,409852,nan,nan,open_loop,
0,100000007,880873842264660,2.8,9.360000000000001,open_loop,sent,880873842367825,880873842369279,880873843517588,0.104619,409600,7,409852,nan,nan,open_loop,
0,100000008,880874192264660,3.15,9.360000000000001,open_loop,sent,880874192404168,880874192405027,880874193260977,0.140367,409600,7,409852,nan,nan,open_loop,
0,100000009,880874542264660,3.5,9.360000000000001,open_loop,sent,880874542358960,880874542359595,880874543217581,0.094935,409600,7,409852,nan,nan,open_loop,
0,100000010,880874892264660,3.85,9.360000000000001,open_loop,sent,880874892386866,880874892388665,880874893230406,0.124005,409600,7,409852,nan,nan,open_loop,
1,200000002,880874942264660,3.9,2.08,open_loop,sent,880874942362342,880874942363651,880874943187304,0.098991,409600,7,409852,nan,nan,open_loop,
0,100000011,880875242264660,4.2,9.360000000000001,open_loop,sent,880875242672827,880875242674794,880875244004515,0.410134,409600,7,409852,nan,nan,open_loop,
0,100000012,880875592264660,4.55,9.360000000000001,open_loop,sent,880875592451937,880875592452853,880875593431354,0.188193,409600,7,409852,nan,nan,open_loop,
0,100000013,880875942264660,4.9,9.360000000000001,open_loop,sent,880875942368603,880875942370026,880875943244477,0.105366,409600,7,409852,nan,nan,open_loop,
0,100000014,880876292264660,5.25,9.360000000000001,open_loop,sent,880876292362714,880876292364245,880876293386345,0.099585,409600,7,409852,nan,nan,open_loop,
1,200000003,880876542264660,5.5,2.08,open_loop,sent,880876542437841,880876542438398,880876543405241,0.173738,409600,7,409852,nan,nan,open_loop,
0,100000015,880876642264660,5.6,9.360000000000001,open_loop,sent,880876642363998,880876642364839,880876643562270,0.100179,409600,7,409852,nan,nan,open_loop,
0,100000016,880876992264660,5.95,9.360000000000001,open_loop,sent,880876992572144,880876992573010,880876993482948,0.30835,409600,7,409852,nan,nan,open_loop,
0,100000017,880877342264660,6.3,9.360000000000001,open_loop,sent,880877342360181,880877342361016,880877344771411,0.096356,409600,7,409852,nan,nan,open_loop,
