time,direction,rnti,frame,diff,old_mcs,new_mcs,max_mcs_input,max_mcs_applied,min_mcs,opt_max_mcs,num_sched,num_retx,bler_window_ppm,bler_before_ppm,bler_after_ppm,lower_ppm,upper_ppm,branch,updated
17:10:24.018974,0,59179,932,100,0,0,28,28,0,28,1,0,0,15,14,50000,150000,3,1
17:10:24.018974,0,35341,932,100,0,0,28,28,0,28,1,0,0,19,17,50000,150000,3,1
17:10:25.258864,0,59179,8,100,0,0,28,28,0,28,1,1,1000000,14,100012,50000,150000,3,1
17:10:25.258865,0,35341,8,100,0,0,28,28,0,28,1,1,1000000,17,100015,50000,150000,3,1
17:10:26.504744,0,59179,108,100,0,0,28,28,0,28,1,1,1000000,100012,190011,50000,150000,3,1
17:10:26.504745,0,35341,108,100,0,0,28,28,0,28,1,1,1000000,100015,190014,50000,150000,3,1
17:10:27.730082,0,59179,208,100,0,0,28,28,0,28,1,1,1000000,190011,271010,50000,150000,3,1
17:10:27.730083,0,35341,208,100,0,0,28,28,0,28,1,1,1000000,190014,271012,50000,150000,3,1
17:10:28.972297,0,59179,308,100,0,0,28,28,0,28,1,1,1000000,271010,343909,50000,150000,3,1
17:10:28.972298,0,35341,308,100,0,0,28,28,0,28,1,1,1000000,271012,343911,50000,150000,3,1
17:10:30.281532,0,59179,408,100,0,0,28,28,0,28,1,1,1000000,343909,409518,50000,150000,3,1
17:10:30.281533,0,35341,408,100,0,0,28,28,0,28,1,1,1000000,343911,409520,50000,150000,3,1
17:10:31.434395,0,59179,508,100,0,0,28,28,0,28,1,0,0,409518,368566,50000,150000,3,1
17:10:31.434395,0,35341,508,100,0,0,28,28,0,28,1,1,1000000,409520,468568,50000,150000,3,1
17:10:32.601696,0,59179,608,100,0,0,28,28,0,28,1,1,1000000,368566,431710,50000,150000,3,1
17:10:32.601696,0,35341,608,100,0,0,28,28,0,28,1,1,1000000,468568,521711,50000,150000,3,1
17:10:33.848738,0,59179,708,100,0,0,28,28,0,28,1,1,1000000,431710,488539,50000,150000,3,1
17:10:33.848738,0,35341,708,100,0,0,28,28,0,28,1,1,1000000,521711,569540,50000,150000,3,1
17:10:35.028000,0,35341,800,92,0,0,28,28,0,28,1,1,1000000,569540,612586,50000,150000,3,1
17:10:35.055047,0,35341,802,2,0,0,28,28,0,28,-1,-1,-1,612586,612586,50000,150000,0,0
17:10:35.083423,0,35341,805,5,0,0,28,28,0,28,-1,-1,-1,612586,612586,50000,150000,0,0
17:10:35.115541,0,59179,808,100,0,0,28,28,0,28,1,1,1000000,488539,539685,50000,150000,3,1
17:10:35.115541,0,35341,808,8,0,0,28,28,0,28,-1,-1,-1,612586,612586,50000,150000,0,0
17:10:35.141029,0,35341,810,10,0,0,28,28,0,28,4,4,1000000,612586,651327,50000,150000,2,1
17:10:35.198630,0,35341,815,5,0,0,28,28,0,28,-1,-1,-1,651327,651327,50000,150000,0,0
17:10:35.225287,0,35341,817,7,0,0,28,28,0,28,-1,-1,-1,651327,651327,50000,150000,0,0
17:10:35.271362,0,35341,820,10,0,0,28,28,0,28,3,3,1000000,651327,686195,50000,150000,3,1
17:10:35.300182,0,35341,822,2,0,0,28,28,0,28,-1,-1,-1,686195,686195,50000,150000,0,0
17:10:35.409966,0,59179,832,24,0,0,28,28,0,28,1,1,1000000,539685,585716,50000,150000,3,1
17:10:35.415517,0,35341,832,12,0,0,28,28,0,28,2,2,1000000,686195,717575,50000,150000,3,1
17:10:35.437691,0,59179,834,2,0,0,28,28,0,28,-1,-1,-1,585716,585716,50000,150000,0,0
17:10:35.465085,0,59179,837,5,0,0,28,28,0,28,-1,-1,-1,585716,585716,50000,150000,0,0
