scenario,controller,frames,split_pct,skip_pct,degraded_tier_pct,over_budget_pct,shield_ood_pct,selected_true_safe_pct,selected_matched_true_safe_pct,false_admit_selected_pct,false_admit_selected_matched_pct,false_reject_frame_pct,false_reject_frame_matched_pct,matched_false_admit_count,admitted_send_count,matched_false_admit_conditional_pct,matched_false_admit_ci95_low_pct,matched_false_admit_ci95_high_pct,false_reject_count,true_feasible_frame_count,false_reject_conditional_pct,false_reject_ci95_low_pct,false_reject_ci95_high_pct,matched_false_reject_count,matched_true_feasible_frame_count,matched_false_reject_conditional_pct,matched_false_reject_ci95_low_pct,matched_false_reject_ci95_high_pct,mean_bound_m,mean_risk_sigma_m,max_risk_sigma_m,p95_true_risk_m,p95_matched_true_risk_m,mean_reward,mean_predicted_reward,mean_true_scored_reward,mean_matched_true_scored_reward,mean_matched_true_scored_reward_finite,matched_true_reward_finite_frame_count,mean_prb_cost,mean_oracle_reward_gap_safe_only,oracle_action_set_mismatch_pct,shield_skip_clairvoyant_split_pct,attempts,capture_attempt_pct,delivery_pct_attempted,c1_estimate_miss_count,c1_estimate_miss_pct_attempted,c1_estimate_miss_ci95_low_pct,c1_estimate_miss_ci95_high_pct,truth_objects,observed_objects,unobserved_gt_objects,observation_coverage_pct
ALL_VERIFIED_VEHICLE_REPLAY,fixed,3998,25.387693846923458,74.61230615307653,1.5257628814407203,72.38619309654828,0.0,65.80790395197599,79.73986993496749,6.628314157078539,0.02501250625312656,49.92496248124062,52.25112556278139,0,958,0.0,0.0,0.3993858640075784,1996,2908,68.6382393397524,66.92828666430773,70.29901486738429,2089,3192,65.44486215538848,63.77746251680517,67.07513179066858,22.926007871744524,1.2885029600452041e-17,7.105427357601002e-15,1000000.0,63.66165817660274,0.15252611607864025,0.15252611607864025,-2894.7143360180066,0.39607682450705184,0.39607682450705184,3998,0.08701829401476095,0.06180102495823621,16.73336668334167,11.730865432716358,527,13.1815907953977,100.0,0,0.0,0.0,0.7236546348938583,6380,4662,1718,73.07210031347962
ALL_VERIFIED_VEHICLE_REPLAY,greedy,3998,2.5512756378189096,97.4487243621811,1.3256628314157077,72.6113056528264,0.0,57.37868934467234,79.83991995998,14.957478739369684,0.0,49.92496248124062,52.551275637818904,0,45,0.0,0.0,7.865159873288836,1996,2910,68.59106529209622,66.88108421528443,70.25202735894352,2101,3196,65.73842302878599,64.07505923418763,67.36399838620967,23.045528149907092,1.849446059030401e-17,1.4210854715202004e-14,1000000.0,63.66076672759495,0.24108448277001987,0.24108448277001987,-5527.283475233987,0.4871578421715654,0.4871578421715654,3998,0.008709443014724226,0.002366317014041815,23.58679339669835,22.161080540270135,63,1.5757878939469734,100.0,0,0.0,3.469446951953614e-16,5.747119958885172,6380,4662,1718,73.07210031347962
ALL_VERIFIED_VEHICLE_REPLAY,linucb,3998,4.9524762381190595,95.04752376188094,1.375687843921961,72.63631815907954,0.0,58.454227113556776,79.78989494747374,13.83191595797899,0.02501250625312656,49.89994997498749,52.551275637818904,0,141,0.0,0.0,2.6521818075925645,1995,2908,68.6038514442916,66.89344363235227,70.2651728411632,2101,3194,65.77958672510958,64.11612065192713,67.40514183028898,23.04678442719351,1.2274101472844402e-17,1.4210854715202004e-14,1000000.0,63.66076672759495,0.22988981698099067,0.22988981698099067,-5195.867639809814,0.47551254373132157,0.47551254373132157,3998,0.012621238924966914,0.005235401189570889,22.836418209104554,20.885442721360683,88,2.2011005502751377,100.0,0,0.0,0.0,4.18270666648922,6380,4662,1718,73.07210031347962
ALL_VERIFIED_VEHICLE_REPLAY,mpc,3998,2.1510755377688846,97.84892446223111,1.3256628314157077,72.6113056528264,0.0,57.47873936968484,79.83991995998,14.85742871435718,0.0,49.92496248124062,52.551275637818904,0,29,0.0,0.0,11.696979849974074,1996,2910,68.59106529209622,66.88108421528443,70.25202735894352,2101,3196,65.73842302878599,64.07505923418763,67.36399838620967,23.0454631816406,1.8438921669612406e-17,1.4210854715202004e-14,1000000.0,63.66076672759495,0.24140072252859035,0.24140072252859035,-5552.296143748018,0.48749695322568803,0.48749695322568803,3998,0.008393331512300697,0.002357827292204092,23.311655827913956,22.26113056528264,62,1.5507753876938468,100.0,0,0.0,0.0,5.834407210137249,6380,4662,1718,73.07210031347962
ALL_VERIFIED_VEHICLE_REPLAY,rule,3998,2.451225612806403,97.54877438719359,1.4507253626813406,72.26113056528264,0.0,57.32866433216608,79.73986993496749,15.207603801900952,0.02501250625312656,49.92496248124062,52.15107553776889,0,41,0.0,0.0,8.566757018443186,1996,2909,68.61464420763149,66.90467700131778,70.27551338358798,2085,3193,65.29909176323207,63.63050050627245,66.93091495911673,22.892620725308777,1.6328442683331467e-17,7.105427357601002e-15,1000000.0,63.66165817660274,0.19934690229616184,0.19934690229616184,-5552.340182084874,0.4426343333475204,0.4426343333475204,3998,0.010939601167570704,0.005555237000337268,23.51175587793897,22.28614307153577,82,2.051025512756378,100.0,0,0.0,0.0,4.475062369010033,6380,4662,1718,73.07210031347962
policy_corpus_vehicle_v2__test__dense__01,fixed,600,8.5,91.5,2.0,92.5,0.0,54.166666666666664,86.66666666666667,5.0,0.0,67.16666666666666,79.16666666666666,0,41,0.0,0.0,8.566757018443186,403,418,96.41148325358851,94.1642300282475,97.81345302943446,475,520,91.34615384615384,88.61626103757591,93.4696435351633,12.154870867563519,2.3684757858670008e-17,7.105427357601002e-15,1000000.0,11.186042362537915,0.6647804520505113,0.6647804520505113,-5999.264007634829,0.8172732951388356,0.8172732951388356,600,0.03139973418420561,0.008118190680620049,30.166666666666668,24.333333333333336,32,5.333333333333334,100.0,0,0.0,0.0,10.71791982550706,984,661,323,67.17479674796748
policy_corpus_vehicle_v2__test__dense__01,greedy,600,2.166666666666667,97.83333333333334,1.3333333333333335,93.66666666666667,0.0,54.166666666666664,86.66666666666667,3.833333333333333,0.0,67.16666666666666,80.33333333333333,0,3,0.0,5.551115123125783e-15,56.14970317550454,403,418,96.41148325358851,94.1642300282475,97.81345302943446,482,520,92.6923076923077,90.1286093420469,94.6298595656187,12.77927553144423,3.811765717879704e-17,7.105427357601002e-15,1000000.0,11.181216868817618,0.6859104345583277,0.6859104345583277,-6249.235831881957,0.8481474510413146,0.8481474510413146,600,0.01269843776308471,0.005884014710140905,26.333333333333332,25.166666666666664,13,2.166666666666667,100.0,0,0.0,0.0,22.80953723541984,984,661,323,67.17479674796748
policy_corpus_vehicle_v2__test__dense__01,linucb,600,3.0,97.0,1.3333333333333335,93.83333333333333,0.0,54.166666666666664,86.66666666666667,3.6666666666666665,0.0,67.16666666666666,80.5,0,8,0.0,0.0,32.440756488388026,403,418,96.41148325358851,94.1642300282475,97.81345302943446,483,520,92.88461538461539,90.34628064887454,94.79398316378055,12.782416015103676,2.183438615096141e-17,7.105427357601002e-15,1000000.0,11.181216868817618,0.673390581608986,0.673390581608986,-6249.247158611396,0.834878534312912,0.834878534312912,600,0.015385961310614805,0.005809482216784035,27.166666666666668,25.166666666666664,14,2.3333333333333335,100.0,0,0.0,1.3877787807814457e-15,21.531080273763582,984,661,323,67.17479674796748
policy_corpus_vehicle_v2__test__dense__01,mpc,600,2.166666666666667,97.83333333333334,1.3333333333333335,93.66666666666667,0.0,54.166666666666664,86.66666666666667,3.833333333333333,0.0,67.16666666666666,80.33333333333333,0,3,0.0,5.551115123125783e-15,56.14970317550454,403,418,96.41148325358851,94.1642300282475,97.81345302943446,482,520,92.6923076923077,90.1286093420469,94.6298595656187,12.77927553144423,3.811765717879704e-17,7.105427357601002e-15,1000000.0,11.181216868817618,0.6859104345583277,0.6859104345583277,-6249.235831881957,0.8481474510413146,0.8481474510413146,600,0.01269843776308471,0.005884014710140905,26.333333333333332,25.166666666666664,13,2.166666666666667,100.0,0,0.0,0.0,22.80953723541984,984,661,323,67.17479674796748
policy_corpus_vehicle_v2__test__dense__01,rule,600,3.166666666666667,96.83333333333334,1.6666666666666667,92.33333333333333,0.0,54.166666666666664,86.66666666666667,5.166666666666667,0.0,67.16666666666666,79.0,0,9,0.0,0.0,29.914504841954408,403,418,96.41148325358851,94.1642300282475,97.81345302943446,474,520,91.15384615384616,88.40168302198698,93.30242664576275,12.237605106652314,2.1094237467877975e-17,3.552713678800501e-15,1000000.0,11.181465796883112,0.6513898787191064,0.6513898787191064,-6249.27354158058,0.8046610740118295,0.8046610740118295,600,0.014763670364656593,0.006059477762746429,27.333333333333332,25.166666666666664,17,2.833333333333333,100.0,0,0.0,0.0,18.43181350088518,984,661,323,67.17479674796748
