profile_id,payload_kib,miou,pedestrian_recall,vehicle_recall,metrics_source,metrics_sha256,utility_v5
ae32__uint4__roi0.5,49.4,0.656,0.852,0.9201782820097245,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae32__uint4__roi0.5/metrics/test_fusion_evaluation_metrics.json,7932a2b257cff9895d859db486eb9417703e5bb74f0794e3bd7893d40c41173d,0.9057100635399452
ae64__uint4__roi0.5,61.3,0.702,0.871,0.9181523500810372,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae64__uint4__roi0.5/metrics/test_fusion_evaluation_metrics.json,ed903f23156179167392acbbc596282acc8b200b3ba5c13e2a568e4ef94611e7,0.9328985698133655
ae32__uint4__roi0.3,64.1,0.715,0.86,0.9222042139384117,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae32__uint4__roi0.3/metrics/test_fusion_evaluation_metrics.json,36162561d5deb29c70213670cc633ef300feb7734e2a4d21740ed91e21ad2320,0.9344474309982046
ae64__uint4__roi0.3,75.2,0.739,0.862,0.9193679092382496,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae64__uint4__roi0.3/metrics/test_fusion_evaluation_metrics.json,bc53d695ba6bacf594ee318d99669e074e5b048446173127dd20f4735b718e43,0.9445844326032404
ae128__uint4__roi0.5,79.2,0.621,0.878,0.9254457050243112,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae128__uint4__roi0.5/metrics/test_fusion_evaluation_metrics.json,dcae408fb4bffb0e8e125d2e55e2cd938508c468ebb30520b08041baf8f84a3e,0.9042722020204841
ae32__uint4__roi0.0,90.0,0.822,0.86,0.9238249594813615,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae32__uint4__roi0.0/metrics/test_fusion_evaluation_metrics.json,cef176f57a585d03304e6ca04cccb3c0c7631e82dfa0a7c0bfa6151a36ff46f8,0.9794678585987845
ae32__uint6__roi0.5,94.2,0.759,0.85,0.9213938411669368,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae32__uint6__roi0.5/metrics/test_fusion_evaluation_metrics.json,63e0d2f57ee031f674c52640e82d78dcc1aa943d7f0f267d410dcea2ec028cbd,0.9480526343343296
ae128__uint4__roi0.3,96.4,0.684,0.886,0.9242301458670988,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae128__uint4__roi0.3/metrics/test_fusion_evaluation_metrics.json,0a0f7db5ec94a753980261174ae470004cc29b0e7734ac050d5388dbbb3b81cc,0.9338020476109173
ae64__uint4__roi0.0,101.1,0.824,0.862,0.9193679092382496,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae64__uint4__roi0.0/metrics/test_fusion_evaluation_metrics.json,f6a49ab284e234f9dc074929f2a1587eb6f5b7eca9f924ab0cc061321bdf9789,0.9800010992699071
ae64__uint6__roi0.5,117.9,0.781,0.867,0.9149108589951378,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae64__uint6__roi0.5/metrics/test_fusion_evaluation_metrics.json,ed63c94c010e28e839c6851881a1d60290d923e088d5569e02e6b3fe4bcbaa25,0.9631372148001053
